Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
1,Zhou Qi,2018-19,23,HOU,NBA,0,0,40.1,80.4,52
2,Trevon Duval,2018-19,20,MIL,NBA,0.1,0.1,19.1,38.3,24.4
3,Gary Payton,2018-19,26,WAS,NBA,0.1,0.1,8.3,36.9,18.9
4,Jordan Sibert,2018-19,26,ATL,NBA,0,0,13.7,29.7,16
5,Troy Caupain,2018-19,23,ORL,NBA,0.1,0.1,9.6,30.7,13.3
6,Alan Williams,2018-19,26,BRK,NBA,0.2,0.1,7.6,32.9,11.8
7,James Harden,2018-19,29,HOU,NBA,15.2,11.4,9.4,30.6,11
8,Giannis Antetokounmpo,2018-19,24,MIL,NBA,14.4,8.9,6.3,30.9,10.4
9,Anthony Davis,2018-19,25,NOP,NBA,9.5,6.4,7.1,30.3,9.4
10,Nikola Jokić,2018-19,23,DEN,NBA,11.8,7.5,6.2,26.3,9.1
11,LeBron James,2018-19,34,LAL,NBA,7.2,4.7,6.4,25.6,8
12,Paul George,2018-19,28,OKC,NBA,11.9,7,5.6,23.3,7.2
13,Kyrie Irving,2018-19,26,BOS,NBA,9.1,6.2,6,24.3,7.2
14,Kawhi Leonard,2018-19,27,TOR,NBA,9.5,6.1,6.1,25.8,7.2
15,Stephen Curry,2018-19,30,GSW,NBA,9.7,7.2,7.1,24.4,6.6
16,Nikola Vučević,2018-19,28,ORL,NBA,10.1,5.4,5,25.5,6.6
17,Damian Lillard,2018-19,28,POR,NBA,12.1,9.7,6.6,23.7,6.4
18,Karl-Anthony Towns,2018-19,23,MIN,NBA,10.4,7.2,5.4,26.3,6
19,Kevin Durant,2018-19,30,GSW,NBA,11.5,8.6,5.4,24.2,5.5
20,Scott Machado,2018-19,28,LAL,NBA,0.1,0.1,2.9,22.2,5.5
21,Rudy Gobert,2018-19,26,UTA,NBA,14.4,8.7,3,24.6,5.4
22,Russell Westbrook,2018-19,30,OKC,NBA,6.8,1.8,2.8,21.1,5.2
23,Blake Griffin,2018-19,29,DET,NBA,8,5.1,4.9,21,5.1
24,Al Horford,2018-19,32,BOS,NBA,7.5,4.5,3.3,20.2,5.1
25,Joel Embiid,2018-19,24,PHI,NBA,8.7,4.9,4,26.1,4.9
26,Mike Conley,2018-19,31,MEM,NBA,8,5.7,4.6,21.4,4.7
27,Ekpe Udoh,2018-19,31,UTA,NBA,1.6,0.9,0.8,20.9,4.7
28,Demetrius Jackson,2018-19,24,PHI,NBA,0.2,0.2,3.6,21,4.5
29,Danilo Gallinari,2018-19,30,LAC,NBA,8.2,6.4,4.9,21,4.3
30,Kemba Walker,2018-19,28,CHO,NBA,7.4,5.5,5.2,21.7,4.2
31,Luka Dončić,2018-19,19,DAL,NBA,4.9,2.1,3.6,19.6,3.9
32,Chris Paul,2018-19,33,HOU,NBA,6.6,4.4,2.7,19.7,3.9
33,Jimmy Butler,2018-19,29,TOT,NBA,7.9,5.4,2.8,20.2,3.7
34,Jusuf Nurkić,2018-19,24,POR,NBA,7.8,4.4,2.1,23.4,3.7
