Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
1,Sim Bhullar,2014-15,22,SAC,NBA,0,0,14.9,44.3,32.5
2,Tyrus Thomas,2014-15,28,MEM,NBA,0.1,0.1,11.2,31.4,18.5
3,Eric Moreland,2014-15,23,SAC,NBA,0,0,8.7,40.8,17.2
4,Kevin Durant,2014-15,26,OKC,NBA,4.8,3.8,8.6,27.6,10
5,Stephen Curry,2014-15,26,GSW,NBA,15.7,11.5,8.2,28,9.9
6,Anthony Davis,2014-15,21,NOP,NBA,14,9.9,6.6,30.8,8.9
7,James Harden,2014-15,25,HOU,NBA,16.4,12.2,7,26.7,8.8
8,Russell Westbrook,2014-15,26,OKC,NBA,10.6,7.5,6.9,29.1,8.1
9,Chris Paul,2014-15,29,LAC,NBA,16.1,12.9,6.4,26,8
10,LeBron James,2014-15,30,CLE,NBA,10.4,7.4,6.1,25.9,7.1
11,Kawhi Leonard,2014-15,23,SAS,NBA,8.6,4.2,2.8,22,5.9
12,George Hill,2014-15,28,IND,NBA,5.4,3.7,4.1,21.5,5.3
13,Tim Duncan,2014-15,38,SAS,NBA,9.6,4.9,2.3,22.6,5.1
14,Marc Gasol,2014-15,30,MEM,NBA,10.2,5.5,2.7,21.7,5.1
15,Damian Lillard,2014-15,24,POR,NBA,10.6,7.3,4.3,20.7,4.7
16,Jimmy Butler,2014-15,25,CHI,NBA,11.2,8.2,3.4,21.3,4.6
17,Danny Green,2014-15,27,SAS,NBA,7.8,4,2.6,16.5,4.6
18,Klay Thompson,2014-15,24,GSW,NBA,8.8,5.7,4.5,20.8,4.4
19,DeMarcus Cousins,2014-15,24,SAC,NBA,6,2.8,2.8,25.2,4.3
20,Jeremy Evans,2014-15,27,UTA,NBA,1.3,0.9,2,20.5,4.2
21,Rudy Gobert,2014-15,22,UTA,NBA,9.3,5,1.7,21.6,4.2
22,Al Horford,2014-15,28,ATL,NBA,8.7,5.1,2.6,21.4,4.1
23,Lester Hudson,2014-15,30,LAC,NBA,0.2,0.1,-0.7,16,4.1
24,Kyrie Irving,2014-15,22,CLE,NBA,10.4,8.4,4.4,21.5,4.1
25,Hassan Whiteside,2014-15,25,MIA,NBA,5.3,2.8,2.5,26.2,4.1
26,Blake Griffin,2014-15,25,LAC,NBA,9,6.6,3.8,22.8,4
27,Gordon Hayward,2014-15,24,UTA,NBA,8.7,5.8,3.5,20.2,4
28,Brandan Wright,2014-15,27,TOT,NBA,6.1,4.3,2.1,20.4,3.7
29,John Wall,2014-15,24,WAS,NBA,7.8,3.6,2.6,19.9,3.6
30,Pau Gasol,2014-15,34,CHI,NBA,10.4,6,2.9,22.7,3.5
31,Draymond Green,2014-15,24,GSW,NBA,8.5,3.3,0.7,16.4,3.5
32,Paul Millsap,2014-15,29,ATL,NBA,8.3,4,1.7,20,3.4
33,Brandon Jennings,2014-15,25,DET,NBA,3.3,2.6,4,19.7,3.3
34,Isaiah Thomas,2014-15,25,TOT,NBA,6.1,5,4.1,20.6,3.2
35,Wesley Matthews,2014-15,28,POR,NBA,6.2,4,2,16.1,3.1
36,Carmelo Anthony,2014-15,30,NYK,NBA,2.9,2.2,4.9,21.5,3
37,Kyle Lowry,2014-15,28,TOR,NBA,7.1,5.1,3.2,19.3,3
38,LaMarcus Aldridge,2014-15,29,POR,NBA,8.6,4.9,3.2,22.8,2.9
39,DeAndre Jordan,2014-15,26,LAC,NBA,12.8,7.4,2.2,21,2.9
40,Alexey Shved,2014-15,26,TOT,NBA,2.2,1.7,3.7,19.5,2.9
41,Jeff Teague,2014-15,26,ATL,NBA,7.7,5,2.7,20.6,2.9
42,Mike Conley,2014-15,27,MEM,NBA,6.8,4.2,2.6,18.6,2.8
43,Jrue Holiday,2014-15,24,NOP,NBA,3.4,2.3,2.5,18.8,2.8
44,Kyle Korver,2014-15,33,ATL,NBA,7.5,5,2.4,14.8,2.8
45,Rudy Gay,2014-15,28,SAC,NBA,6.1,4.8,3.4,19.7,2.7
46,Kevin Love,2014-15,26,CLE,NBA,8.7,5.8,3.2,18.8,2.7
47,Tyson Chandler,2014-15,32,DAL,NBA,10.3,7.2,2.4,20.1,2.6
48,Lou Williams,2014-15,28,TOR,NBA,6.6,5.4,3.5,19.9,2.6
49,Derrick Favors,2014-15,23,UTA,NBA,8.3,5,1.9,21.8,2.5
50,Patrick Patterson,2014-15,25,TOR,NBA,6.1,4.4,2.3,14.6,2.5
51,Andrew Bogut,2014-15,30,GSW,NBA,5.2,1.9,-0.9,15.8,2.4
52,Danilo Gallinari,2014-15,26,DEN,NBA,3.9,3,2.6,16.8,2.4
