Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
1,Jarnell Stokes,2016-17,23,DEN,NBA,0.1,0.1,4.9,31.5,16.8
2,Russell Westbrook,2016-17,28,OKC,NBA,13.1,8.5,8.7,30.6,11.1
3,Demetrius Jackson,2016-17,22,BOS,NBA,0.1,0.1,9.7,30.8,9.8
4,Kawhi Leonard,2016-17,25,SAS,NBA,13.6,8.9,7.1,27.6,9.4
5,Kevin Durant,2016-17,28,GSW,NBA,12,8,6.7,27.6,8.9
6,Josh Huestis,2016-17,25,OKC,NBA,0.2,0.1,7.6,26.1,8.8
7,James Harden,2016-17,27,HOU,NBA,15,11.5,7.5,27.4,8.7
8,Chris Paul,2016-17,31,LAC,NBA,10.6,7.9,6.3,26.2,8.7
9,LeBron James,2016-17,32,CLE,NBA,12.9,9.8,6.4,27,7.6
10,Giannis Antetokounmpo,2016-17,22,MIL,NBA,12.4,7.9,4.9,26.1,7.3
11,Jimmy Butler,2016-17,27,CHI,NBA,13.8,10.1,5.6,25.1,7.3
12,Nikola Jokić,2016-17,21,DEN,NBA,9.7,7.7,5.9,26.3,7.3
13,Stephen Curry,2016-17,28,GSW,NBA,12.6,8.7,6.7,24.6,6.9
14,Mike Conley,2016-17,29,MEM,NBA,10,7.5,6,23.2,6.8
15,DeMarcus Cousins,2016-17,26,TOT,NBA,7.6,3.9,5,25.8,6.8
16,Isaiah Thomas,2016-17,27,BOS,NBA,12.5,10.9,7.8,26.5,6.7
17,Kyle Lowry,2016-17,30,TOR,NBA,10.1,7.8,5.8,22.9,6.1
18,Anthony Davis,2016-17,23,NOP,NBA,11,5.9,4.4,27.5,5.9
19,Boban Marjanović,2016-17,28,DET,NBA,1.7,1.2,5.4,29.6,5.5
20,Marc Gasol,2016-17,32,MEM,NBA,7.7,4.2,3.8,20.3,5.2
21,Gordon Hayward,2016-17,26,UTA,NBA,10.4,7.1,4.6,22.2,5
22,Damian Lillard,2016-17,26,POR,NBA,10.4,8.8,6.1,24.1,5
23,Draymond Green,2016-17,26,GSW,NBA,8.2,2.8,1,16.5,4.9
24,Blake Griffin,2016-17,27,LAC,NBA,7.7,5.4,4.2,22.6,4.7
25,Karl-Anthony Towns,2016-17,21,MIN,NBA,12.7,9.9,5.5,25.9,4.7
26,John Wall,2016-17,26,WAS,NBA,8.8,5.8,4.6,23.2,4.7
27,Joel Embiid,2016-17,22,PHI,NBA,1.9,0.5,1.9,24.1,4.5
28,Rudy Gobert,2016-17,24,UTA,NBA,14.3,8.3,2.2,23.3,4.4
29,Kemba Walker,2016-17,26,CHO,NBA,8.1,5.9,4.9,21.3,4.1
30,Pau Gasol,2016-17,36,SAS,NBA,6.4,3.3,2.6,20.2,4
31,Lou Williams,2016-17,30,TOT,NBA,6.1,5.1,4.6,21.4,3.9
32,George Hill,2016-17,30,UTA,NBA,5.9,4,3,19.3,3.8
33,Eric Bledsoe,2016-17,27,PHO,NBA,5.3,4,3.7,20.5,3.6
34,Joel Bolomboy,2016-17,23,UTA,NBA,0.2,0.1,2.3,19.7,3.4
35,Al Horford,2016-17,30,BOS,NBA,6.3,3.6,2.3,17.7,3.4
36,Kyrie Irving,2016-17,24,CLE,NBA,8.9,7.4,4.7,23,3.4
37,Bradley Beal,2016-17,23,WAS,NBA,8.5,6.9,4.2,20.1,3.3
38,DeAndre Jordan,2016-17,28,LAC,NBA,11.8,7.2,2.5,21.8,3.3
39,Otto Porter,2016-17,23,WAS,NBA,9.4,6.4,2.4,17.3,3.3
40,Edy Tavares,2016-17,24,TOT,NBA,0.1,0,-1.4,21.3,3.3
41,Paul George,2016-17,26,IND,NBA,7.1,3.9,3,20.2,3.1
42,John Lucas III,2016-17,34,MIN,NBA,0,0,-4,9.1,3.1
43,DeMar DeRozan,2016-17,27,TOR,NBA,9,6.7,4.1,24,3
44,James Johnson,2016-17,29,MIA,NBA,5.1,1.9,1.1,17,2.8
45,David West,2016-17,36,GSW,NBA,2.6,0.9,-0.7,16.6,2.8
46,Goran Dragić,2016-17,30,MIA,NBA,7.5,5,2.7,19.8,2.6
47,Andre Iguodala,2016-17,33,GSW,NBA,6.9,4.1,0.8,14.3,2.5
48,Dwyane Wade,2016-17,35,CHI,NBA,3.4,0.9,1.6,18.5,2.5
49,Nerlens Noel,2016-17,22,TOT,NBA,4,2.1,0.1,20.4,2.4
50,Brook Lopez,2016-17,28,BRK,NBA,4.9,3.1,2.9,20.4,2.3
51,John Jenkins,2016-17,25,PHO,NBA,0,0,4.3,17.3,2.2
52,Jeff Teague,2016-17,28,IND,NBA,8.1,5.7,2.3,19.2,2.2
53,Jordan Farmar,2016-17,30,SAC,NBA,0,0,2.8,14.4,2.1
54,Kevin Love,2016-17,28,CLE,NBA,6.4,4,3.3,21.1,2.1
55,Paul Millsap,2016-17,31,ATL,NBA,6.4,2.6,0.8,17.8,2.1
56,Jeremy Lin,2016-17,28,BRK,NBA,2.1,1.3,1.9,19.2,2
57,CJ McCollum,2016-17,25,POR,NBA,7.6,6.2,3.4,19.9,2
58,Lucas Nogueira,2016-17,24,TOR,NBA,3.7,1.7,-1,15.5,2
59,Mason Plumlee,2016-17,26,TOT,NBA,6,3.6,0.6,18.1,2
60,Delon Wright,2016-17,24,TOR,NBA,1.1,0.5,-0.1,15,2
61,Rudy Gay,2016-17,30,SAC,NBA,1.8,0.8,1.4,17.9,1.9
62,Archie Goodwin,2016-17,22,TOT,NBA,0.7,0.6,2.2,18.7,1.9
63,Kyle O'Quinn,2016-17,26,NYK,NBA,3.9,2.1,0.2,20.5,1.9
64,Kyle Anderson,2016-17,23,SAS,NBA,2.7,0.7,-1.4,12.5,1.8
65,David Lee,2016-17,33,SAS,NBA,5.7,3.2,0.7,18.5,1.8
66,Greg Monroe,2016-17,26,MIL,NBA,5.6,3,1.3,21.1,1.8
67,Enes Kanter,2016-17,24,OKC,NBA,5.8,4,3,23.7,1.7
68,Brandan Wright,2016-17,29,MEM,NBA,1.6,1.1,1,18.5,1.7
69,Tobias Harris,2016-17,24,DET,NBA,6.8,4,1.3,16.9,1.6
70,Joe Ingles,2016-17,29,UTA,NBA,5,2,-0.7,12.4,1.6
71,Patty Mills,2016-17,28,SAS,NBA,5.1,2.9,1.4,15.2,1.6
72,J.J. Barea,2016-17,32,DAL,NBA,1.3,0.8,3,17.2,1.5
73,Hassan Whiteside,2016-17,27,MIA,NBA,9.5,4.2,0.9,22.6,1.5
74,Danilo Gallinari,2016-17,28,DEN,NBA,6.8,6.2,2.8,17.4,1.4
75,Manu Ginóbili,2016-17,39,SAS,NBA,3,0.6,-0.7,13.9,1.4
76,Dwight Howard,2016-17,31,ATL,NBA,8.3,3.8,0.6,20.8,1.4
77,Tyler Johnson,2016-17,24,MIA,NBA,5.8,3.1,0.4,15.9,1.4
78,Nikola Vučević,2016-17,26,ORL,NBA,4,0.8,0.8,19.1,1.4
79,Jeff Withey,2016-17,26,UTA,NBA,1.8,1,-0.4,18.8,1.4
80,Dāvis Bertāns,2016-17,24,SAS,NBA,2.3,1.1,0.5,12.9,1.3
81,Jordan Crawford,2016-17,28,NOP,NBA,0.9,0.6,2.2,17.6,1.3
82,Jrue Holiday,2016-17,26,NOP,NBA,3.8,1.3,1,17.1,1.3
83,Clint Capela,2016-17,22,HOU,NBA,5.9,3.8,1.3,21.4,1.2
84,Seth Curry,2016-17,26,DAL,NBA,4.6,2.9,0.8,15.5,1.2
85,Shawn Long,2016-17,24,PHI,NBA,0.9,0.6,2.3,24.1,1.2
86,JaVale McGee,2016-17,29,GSW,NBA,3.5,2,1,25.2,1.2
87,Patrick Beverley,2016-17,28,HOU,NBA,5.3,2.9,-0.2,13,1.1
88,Mike Muscala,2016-17,25,ATL,NBA,3.4,1.8,-0.1,14.4,1.1
89,Myles Turner,2016-17,20,IND,NBA,8,4.3,-0.1,18.5,1.1
90,Trevor Ariza,2016-17,31,HOU,NBA,6,2.8,-0.1,12.4,1
91,Bruno Caboclo,2016-17,21,TOR,NBA,0.1,0,0.2,14.6,1
92,Andre Drummond,2016-17,23,DET,NBA,6.7,1.4,0.1,20.9,1
93,Channing Frye,2016-17,33,CLE,NBA,3.7,2.3,1.4,15.6,1
94,Montrezl Harrell,2016-17,23,HOU,NBA,4.1,3.1,0.9,19.2,1
95,Richaun Holmes,2016-17,23,PHI,NBA,3.8,2.2,0.5,18.6,1
96,Dwight Powell,2016-17,25,DAL,NBA,4.6,2.7,-0.1,17.6,1
97,Jae Crowder,2016-17,26,BOS,NBA,6.7,4.1,1,14.9,0.9
98,Danuel House,2016-17,23,WAS,NBA,0,0,-8.9,12.2,0.9
99,Ricky Rubio,2016-17,26,MIN,NBA,6.1,4.5,1.2,16.8,0.9
100,LaMarcus Aldridge,2016-17,31,SAS,NBA,7.2,3.5,0.7,18.6,0.8
101,Nicolas Batum,2016-17,28,CHO,NBA,4.6,1.7,0.6,15.8,0.8
102,Vince Carter,2016-17,40,MEM,NBA,4,1.9,-0.3,11.7,0.8
103,Danny Green,2016-17,29,SAS,NBA,3.4,0.4,-1,10.1,0.8
104,Nenê Hilário,2016-17,34,HOU,NBA,4.1,2.5,0,18.9,0.8
105,Dirk Nowitzki,2016-17,38,DAL,NBA,2.5,0.6,0.8,17,0.8
106,Elfrid Payton,2016-17,22,ORL,NBA,4.4,2.4,0.8,17.2,0.8
107,Klay Thompson,2016-17,26,GSW,NBA,7.1,4.2,2.4,17.4,0.8
108,Carmelo Anthony,2016-17,32,NYK,NBA,4.7,3.2,2.3,17.9,0.7
