Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
1,DeAndre Liggins,2013-14,25,MIA,NBA,0,0,42.1,129.1,41.5
2,Tony Mitchell,2013-14,24,MIL,NBA,0.1,0,9,30.9,10.6
3,Kevin Durant,2013-14,25,OKC,NBA,19.2,14.8,8.8,29.8,10.2
4,Kevin Love,2013-14,25,MIN,NBA,14.3,10.6,8.3,26.9,8.9
5,LeBron James,2013-14,29,MIA,NBA,15.9,12.3,7.8,29.3,8.8
6,Chris Paul,2013-14,28,LAC,NBA,12.2,9,6,25.9,8.6
7,Stephen Curry,2013-14,25,GSW,NBA,13.4,9.3,6.3,24.1,7.4
8,James Harden,2013-14,24,HOU,NBA,12.8,10.1,5.4,23.5,5.6
9,Russell Westbrook,2013-14,25,OKC,NBA,5.2,3,4.8,24.7,5.5
10,Joakim Noah,2013-14,28,CHI,NBA,11.2,4.5,1.7,20,5.3
11,DeMarcus Cousins,2013-14,23,SAC,NBA,7.9,4.1,3.6,26.1,5.2
12,Kawhi Leonard,2013-14,22,SAS,NBA,7.7,3.8,2.1,19.4,5.1
13,Carmelo Anthony,2013-14,29,NYK,NBA,10.7,8.1,5.8,24.4,5
14,Dirk Nowitzki,2013-14,35,DAL,NBA,10.9,8.6,5,23.6,5
15,Paul George,2013-14,23,IND,NBA,10.8,4.4,2.7,20.1,4.9
16,Anthony Davis,2013-14,20,NOP,NBA,10.4,7.2,4,26.5,4.8
17,Maalik Wayns,2013-14,22,LAC,NBA,0.1,0,-8.7,19.3,4.8
18,Seth Curry,2013-14,23,TOT,NBA,0,0,-2.5,13.8,4.7
19,Kyle Lowry,2013-14,27,TOR,NBA,11.7,8.4,4.1,20.1,4.7
20,Chris Copeland,2013-14,29,IND,NBA,1,0.6,4.2,17.6,4.5
21,Blake Griffin,2013-14,24,LAC,NBA,12.2,8.1,3.8,23.9,4.5
22,James Johnson,2013-14,26,MEM,NBA,3,1.4,1.6,18.5,4.5
23,Manu Ginóbili,2013-14,36,SAS,NBA,5.7,3.3,2.8,20,4
24,Patty Mills,2013-14,25,SAS,NBA,5.6,3.4,2.9,18.7,4
25,Goran Dragić,2013-14,27,PHO,NBA,10.3,8.4,4.1,21.4,3.9
26,Mike Conley,2013-14,26,MEM,NBA,8.2,5.5,3.4,20,3.8
27,Brook Lopez,2013-14,25,BRK,NBA,2.3,1.9,4,25.4,3.7
28,Nicolas Batum,2013-14,25,POR,NBA,7.9,4.8,2.2,15.8,3.4
29,Kyrie Irving,2013-14,21,CLE,NBA,6.7,4.6,3.6,20.1,3.4
30,Brandan Wright,2013-14,26,DAL,NBA,5.1,4.1,3.4,23.5,3.4
31,Tim Duncan,2013-14,37,SAS,NBA,7.4,2.8,1.2,21.3,3.3
32,Danny Green,2013-14,26,SAS,NBA,4.2,1.4,1.2,13.9,3.2
33,James Jones,2013-14,33,MIA,NBA,0.7,0.6,4.1,15.4,3.2
34,Damian Lillard,2013-14,23,POR,NBA,9.6,7.8,3.8,18.6,3.2
35,Isaiah Thomas,2013-14,24,SAC,NBA,7.7,6.4,3.9,20.5,3.2
36,Eric Bledsoe,2013-14,24,PHO,NBA,4.1,2.6,2.3,19.6,3.1
37,Andrew Bogut,2013-14,29,GSW,NBA,6.5,2.4,-0.2,17,3
38,Marc Gasol,2013-14,29,MEM,NBA,5.6,2.6,1.1,18.2,3
39,Al Horford,2013-14,27,ATL,NBA,2.8,1.5,2.2,22,3
40,Dwyane Wade,2013-14,32,MIA,NBA,5.5,3.5,2.9,22,2.9
41,Paul Millsap,2013-14,28,ATL,NBA,6.7,2.7,1.4,19.8,2.8
42,Al Jefferson,2013-14,29,CHA,NBA,7.8,3.1,2.2,22.7,2.7
43,Jannero Pargo,2013-14,34,CHA,NBA,0.5,0.2,2.9,18.9,2.7
44,John Wall,2013-14,23,WAS,NBA,7.9,4,2.4,19.5,2.7
45,David West,2013-14,33,IND,NBA,8.1,3.1,0.8,17.5,2.6
46,DeAndre Jordan,2013-14,25,LAC,NBA,11.1,5.3,0.9,18.2,2.5
47,C.J. Miles,2013-14,26,CLE,NBA,2.5,1.5,1.5,16,2.4
48,LaMarcus Aldridge,2013-14,28,POR,NBA,7.5,4,2.3,21.8,2.3
49,Trevor Ariza,2013-14,28,WAS,NBA,8,4.3,1.3,15.8,2.3
50,Andre Iguodala,2013-14,30,GSW,NBA,5.8,2.7,-0.1,13.7,2.3
51,Ty Lawson,2013-14,26,DEN,NBA,6.3,4.8,2.9,19,2.3
52,Terrence Jones,2013-14,22,HOU,NBA,7.3,4.6,1.9,19.1,2.2
53,Josh McRoberts,2013-14,26,CHA,NBA,6.5,3.5,0.5,13.8,2
54,José Calderón,2013-14,32,DAL,NBA,6.3,5.4,2.5,15.2,1.9
55,Draymond Green,2013-14,23,GSW,NBA,4.5,0.7,-1.7,12.7,1.9
56,Wesley Matthews,2013-14,27,POR,NBA,8.2,6.3,1.9,15.7,1.9
57,Dwight Howard,2013-14,28,HOU,NBA,8,4,0.9,21.3,1.8
58,DeMar DeRozan,2013-14,24,TOR,NBA,8.8,5.8,1.9,18.4,1.7
59,Rudy Gay,2013-14,27,TOT,NBA,4.8,2.3,1.8,18.3,1.7
60,Serge Ibaka,2013-14,24,OKC,NBA,9.6,5.2,1.1,19.6,1.7
61,Chandler Parsons,2013-14,25,HOU,NBA,7.6,5.1,1.5,15.9,1.7
62,J.J. Redick,2013-14,29,LAC,NBA,3,2.3,2.5,16.6,1.7
63,D.J. Stephens,2013-14,23,MIL,NBA,0,0,2.2,16.1,1.7
64,Kemba Walker,2013-14,23,CHA,NBA,5.1,1.8,1.4,16.8,1.7
65,Jamal Crawford,2013-14,33,LAC,NBA,5.3,3.8,3,17.3,1.6
66,George Hill,2013-14,27,IND,NBA,7.8,3.8,-0.1,13.4,1.6
67,Paul Pierce,2013-14,36,BRK,NBA,5.2,2.9,1.3,16.8,1.6
68,Cole Aldrich,2013-14,25,NYK,NBA,1.2,0.6,-0.1,19.1,1.5
69,Darren Collison,2013-14,26,LAC,NBA,5.9,3.8,1.1,16.2,1.5
70,Steve Novak,2013-14,30,TOR,NBA,1.4,1,1.5,11.1,1.5
71,Ryan Anderson,2013-14,25,NOP,NBA,2.3,2.2,4.5,18.8,1.4
72,D.J. Augustin,2013-14,26,TOT,NBA,6.2,3.8,1.9,16.2,1.4
73,Andre Drummond,2013-14,20,DET,NBA,9.9,6.4,2,22.6,1.4
74,Gerald Green,2013-14,28,PHO,NBA,6.1,4.2,2,16.5,1.4
75,Anderson Varejão,2013-14,31,CLE,NBA,5.4,2.7,0.3,17,1.4
76,Marco Belinelli,2013-14,27,SAS,NBA,5.9,3.5,1,15,1.3
77,Boris Diaw,2013-14,31,SAS,NBA,4.9,2.3,0.4,14.1,1.3
78,David Lee,2013-14,30,GSW,NBA,7.6,4.1,1.1,19.1,1.3
79,Lance Stephenson,2013-14,23,IND,NBA,7.4,2.6,0.4,14.7,1.3
80,C.J. Watson,2013-14,29,IND,NBA,3.2,1.1,-1.1,13,1.3
81,Chris Andersen,2013-14,35,MIA,NBA,6,3.8,0.6,18.5,1.2
82,Vince Carter,2013-14,37,DAL,NBA,4.3,3,1.8,15.9,1.2
83,Pau Gasol,2013-14,33,LAL,NBA,3,1.3,1,19.3,1.2
84,Robin Lopez,2013-14,25,POR,NBA,9.5,7,1.2,17.7,1.2
85,Ricky Rubio,2013-14,23,MIN,NBA,5.9,2.2,-0.6,15.4,1.2
86,Deron Williams,2013-14,29,BRK,NBA,5.4,3.8,1.9,17.6,1.2
87,Jimmy Butler,2013-14,24,CHI,NBA,7.1,2.4,-0.9,13.5,1.1
88,Kyle Korver,2013-14,32,ATL,NBA,5.9,3.9,0.9,13.5,1.1
89,Tony Allen,2013-14,32,MEM,NBA,2.7,0.5,-1.1,15.6,1
90,Matt Bonner,2013-14,33,SAS,NBA,1.8,0.8,0,11.2,1
91,Kenneth Faried,2013-14,24,DEN,NBA,6.5,4,1.2,19.8,1
92,Jon Leuer,2013-14,24,MEM,NBA,2,1.1,1,17.6,1
93,Markieff Morris,2013-14,24,PHO,NBA,6.4,4,0.8,18.4,1
94,Mason Plumlee,2013-14,23,BRK,NBA,4.7,3,0.2,19,1
95,P.J. Tucker,2013-14,28,PHO,NBA,6.1,3.3,0.1,13.3,1
96,Kris Humphries,2013-14,28,BOS,NBA,4.1,2.3,0.5,18.2,0.9
97,Cory Joseph,2013-14,22,SAS,NBA,2.9,1.6,-0.4,14.7,0.9
98,Courtney Lee,2013-14,28,TOT,NBA,4.7,2.8,0.1,13.8,0.9
99,Tony Parker,2013-14,31,SAS,NBA,5.9,3.9,2,18.9,0.9
100,Dorell Wright,2013-14,28,POR,NBA,1.9,0.9,0.4,11.9,0.9
101,Chris Bosh,2013-14,29,MIA,NBA,8,4.6,1.3,19,0.8
102,Mike Dunleavy,2013-14,33,CHI,NBA,6.5,2.4,-0.3,12.6,0.8
103,Marcin Gortat,2013-14,29,WAS,NBA,8.1,4.1,0.2,17.6,0.8
104,Gordon Hayward,2013-14,23,UTA,NBA,3.6,2.2,1,16.2,0.8
105,Andre Miller,2013-14,37,TOT,NBA,2.2,1.4,-0.3,13.9,0.8
106,Klay Thompson,2013-14,23,GSW,NBA,6.7,3.5,0.9,14.3,0.8
107,DeMarre Carroll,2013-14,27,ATL,NBA,5.8,3.2,-0.1,13.9,0.7
108,Robert Covington,2013-14,23,HOU,NBA,0.1,0.1,1.5,15,0.7
109,Channing Frye,2013-14,30,PHO,NBA,5.3,2.9,0.4,13.2,0.7
110,Jordan Hamilton,2013-14,23,TOT,NBA,1.6,0.4,0.2,12.7,0.7
111,Amir Johnson,2013-14,26,TOR,NBA,6.3,3.2,-0.4,15.4,0.7
112,Patrick Beverley,2013-14,25,HOU,NBA,4.2,2.7,-0.3,12.4,0.6
113,Tyreke Evans,2013-14,24,NOP,NBA,3.1,1.8,1.3,18.4,0.6
114,Jimmer Fredette,2013-14,24,TOT,NBA,0.8,0.5,2,15.8,0.6
115,Spencer Hawes,2013-14,25,TOT,NBA,4.5,2.2,0.3,15.7,0.6
116,Nikola Peković,2013-14,28,MIN,NBA,5.9,4.3,2.2,20.7,0.6
117,Nate Robinson,2013-14,29,DEN,NBA,1.8,1.3,0.8,15.6,0.6
118,Tiago Splitter,2013-14,29,SAS,NBA,4.3,2.3,-0.3,16.5,0.6
119,Randy Foye,2013-14,30,DEN,NBA,4.6,3.3,0.9,13.3,0.5
120,Marcus Morris,2013-14,24,PHO,NBA,4.2,2.3,0.6,14.8,0.5
121,Patrick Patterson,2013-14,24,TOT,NBA,3.8,1.8,0,14.6,0.5
122,Pablo Prigioni,2013-14,36,NYK,NBA,3.4,2.5,-0.3,13,0.5
123,Ronny Turiaf,2013-14,31,MIN,NBA,1.5,0.6,-1.5,13.9,0.5
124,Troy Daniels,2013-14,22,HOU,NBA,0.2,0.2,3.7,16,0.4
125,Luol Deng,2013-14,28,TOT,NBA,4.5,2.2,0.6,15.2,0.4
126,Drew Gooden,2013-14,32,WAS,NBA,1.4,0.9,0.6,18.4,0.4
127,Jrue Holiday,2013-14,23,NOP,NBA,1.5,0.8,1.2,17.1,0.4
128,Shaun Livingston,2013-14,28,BRK,NBA,4.4,2.6,-0.6,14.5,0.4
129,Mike Miller,2013-14,33,MEM,NBA,3.9,2.6,0.7,12.5,0.4
130,Tony Mitchell,2013-14,21,DET,NBA,0.2,0.1,0.5,18.1,0.4
131,Rasual Butler,2013-14,34,IND,NBA,1.1,0.5,0,12.2,0.3
132,Elias Harris,2013-14,24,LAL,NBA,0,0,-0.6,7.6,0.3
