Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
69,Channing Frye,2015-16,32,TOT,NBA,3,1.6,0.3,12.9,0.8
70,Charlie Villanueva,2015-16,31,DAL,NBA,0.2,-0.6,-1.9,11.9,-2.7
71,Chase Budinger,2015-16,27,TOT,NBA,1.4,0.4,-1.8,10.7,-1.3
72,Chris Andersen,2015-16,37,TOT,NBA,1.3,0.8,0.7,15.3,0.7
73,Chris Bosh,2015-16,31,MIA,NBA,6.4,4.1,3.6,20.2,4
74,Chris Copeland,2015-16,31,MIL,NBA,-0.1,-0.1,-3.3,5.4,-6.4
75,Chris Johnson,2015-16,25,UTA,NBA,1.1,-0.1,-3.3,8.2,-2
76,Chris Kaman,2015-16,33,POR,NBA,0.1,0,-2.6,11.1,-3.6
77,Chris McCullough,2015-16,20,BRK,NBA,0.3,-0.1,-2.7,12.2,-2.4
78,Chris Paul,2015-16,30,LAC,NBA,12.7,9.2,5.9,26.2,7.9
79,Christian Wood,2015-16,20,PHI,NBA,0.3,0.2,0.4,16.4,-0.2
80,Chuck Hayes,2015-16,32,HOU,NBA,0,0,-8.6,1.6,-8.1
81,CJ McCollum,2015-16,24,POR,NBA,6,4.4,2.3,17.7,1.3
82,Cleanthony Early,2015-16,24,NYK,NBA,-0.2,-0.3,-7.2,2.2,-8.6
83,Cliff Alexander,2015-16,20,POR,NBA,0,0,-0.5,11.6,0
84,Clint Capela,2015-16,21,HOU,NBA,4.4,2.4,-0.3,18.3,-0.4
85,Cody Zeller,2015-16,23,CHO,NBA,6.3,3.6,-1.1,16.1,-0.1
86,Cole Aldrich,2015-16,27,LAC,NBA,3.5,1.4,-0.9,21.3,2.4
87,Corey Brewer,2015-16,29,HOU,NBA,1.2,0.1,-2.7,9.9,-2.9
88,Cory Jefferson,2015-16,25,PHO,NBA,0.1,0,-2.7,12.7,-6.4
89,Cory Joseph,2015-16,24,TOR,NBA,3.5,1.8,-1.1,12.4,-1.2
90,Coty Clarke,2015-16,23,BOS,NBA,0,0,15,23.9,14.1
91,Courtney Lee,2015-16,30,TOT,NBA,3.9,2.1,-1.3,11.5,-1
92,Cristiano Felício,2015-16,23,CHI,NBA,1.2,0.7,0.1,17.6,0.3
93,D.J. Augustin,2015-16,28,TOT,NBA,2.6,2,0.6,13.9,-0.4
94,Dahntay Jones,2015-16,35,CLE,NBA,0.1,0,-2.7,10.3,-3
95,Damian Lillard,2015-16,25,POR,NBA,9.2,7.7,5.7,22.2,4.4
96,Damien Inglis,2015-16,20,MIL,NBA,-0.1,-0.2,-4.9,6.7,-5.6
97,Damjan Rudež,2015-16,29,MIN,NBA,0.1,0.1,-2.7,5.5,-4.8
98,D'Angelo Russell,2015-16,19,LAL,NBA,0,-0.7,-0.7,13.2,-2.3
99,Danilo Gallinari,2015-16,27,DEN,NBA,6.3,5.5,3.4,19,2.7
100,Danny Green,2015-16,28,SAS,NBA,4.2,0.2,-1,10.5,1.1
101,Dante Cunningham,2015-16,28,NOP,NBA,2.1,1.5,-2.3,8.6,-2.8
102,Darrell Arthur,2015-16,27,DEN,NBA,2.3,1,-1.3,12.5,-0.8
103,Darren Collison,2015-16,28,SAC,NBA,5.2,4.5,0.9,15.9,0.1
104,Darrun Hilliard,2015-16,22,DET,NBA,0.5,0.2,-1.9,10.7,-2.5
105,David Lee,2015-16,32,TOT,NBA,3,1.7,0.7,19.6,1.3
106,David West,2015-16,35,SAS,NBA,5.4,2.4,0.3,17.6,2.9
