Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
1,Naz Mitrou-Long,2017-18,24,UTA,NBA,0.1,0.1,199.4,133.8,242.2
2,Anthony Brown,2017-18,25,MIN,NBA,0,0,26.2,41.9,30.5
3,Kawhi Leonard,2017-18,26,SAS,NBA,0.9,0.3,5.2,26,10.1
4,James Harden,2017-18,28,HOU,NBA,15.4,11.6,8.5,29.8,9.9
5,Vince Hunter,2017-18,23,MEM,NBA,0,0,10.4,35.8,9.7
6,Monte Morris,2017-18,22,DEN,NBA,0.2,0.1,4.3,27.1,9.4
7,LeBron James,2017-18,33,CLE,NBA,14,11,7.3,28.6,8.7
8,David Stockton,2017-18,26,UTA,NBA,0.1,0.1,6.7,33.9,7.9
9,Stephen Curry,2017-18,29,GSW,NBA,9.1,7.2,7.8,28.2,7.7
10,Kevin Durant,2017-18,29,GSW,NBA,10.4,7.5,6.7,26,7.3
11,Kyrie Irving,2017-18,25,BOS,NBA,8.9,6.3,6.4,25,7.3
12,Damian Lillard,2017-18,27,POR,NBA,12.6,9.9,7,25.2,7.2
13,MarShon Brooks,2017-18,29,MEM,NBA,0.7,0.6,7.5,26.1,7.1
14,Chris Paul,2017-18,32,HOU,NBA,10.2,7.5,5.2,24.4,7.1
15,Nikola Jokić,2017-18,22,DEN,NBA,10.7,7.8,5.3,24.4,6.9
16,Edmond Sumner,2017-18,22,IND,NBA,0,0,-2.4,39.8,6.9
17,Anthony Davis,2017-18,24,NOP,NBA,13.7,8.8,5.3,28.9,6.7
18,Russell Westbrook,2017-18,29,OKC,NBA,10.1,5.5,4.8,24.7,6.3
19,Giannis Antetokounmpo,2017-18,23,MIL,NBA,11.9,8.3,5.3,27.3,6.2
20,Jimmy Butler,2017-18,28,MIN,NBA,8.9,7.1,5,23.7,5.8
21,Victor Oladipo,2017-18,25,IND,NBA,8.2,4.3,4.1,23.1,5.8
22,Kyle Lowry,2017-18,31,TOR,NBA,10.2,7,4.7,19.5,5.2
23,Lucas Nogueira,2017-18,25,TOR,NBA,1.6,0.7,0.1,17.3,5.2
24,Karl-Anthony Towns,2017-18,22,MIN,NBA,14,10.6,4.9,24.9,5.1
25,DeMarcus Cousins,2017-18,27,NOP,NBA,4.7,1.5,2.5,22.6,4.7
26,Tyreke Evans,2017-18,28,MEM,NBA,4.2,3.1,4.9,21.1,4.5
27,Ben Simmons,2017-18,21,PHI,NBA,9.2,4.2,2,20,4.5
28,Al Horford,2017-18,31,BOS,NBA,7.8,4,2.4,17.6,4.4
29,Andre Ingram,2017-18,32,LAL,NBA,0.2,0.1,1.7,16.3,4.3
30,Jordan Crawford,2017-18,29,NOP,NBA,0.2,0.1,4.9,19.1,4.2
31,Jonathan Gibson,2017-18,30,BOS,NBA,0.2,0.1,4.9,25.4,4.1
32,Kemba Walker,2017-18,27,CHO,NBA,8.6,6.5,4.7,20.6,4
33,LaMarcus Aldridge,2017-18,32,SAS,NBA,10.9,7.4,4.3,25,3.9
34,Otto Porter,2017-18,24,WAS,NBA,8.1,5,2.6,18.3,3.5
35,Clint Capela,2017-18,23,HOU,NBA,10.2,6.2,2.4,24.5,3.4
36,Pau Gasol,2017-18,37,SAS,NBA,6,2.7,1.5,18.9,3.4
37,Rudy Gobert,2017-18,25,UTA,NBA,8.1,4.2,0.9,20.7,3.4
38,Blake Griffin,2017-18,28,TOT,NBA,4.9,3.2,3.6,19.6,3.4
39,Joel Embiid,2017-18,23,PHI,NBA,6.2,2.3,2,22.9,3.3
40,Montrezl Harrell,2017-18,24,LAC,NBA,5.5,4.3,3.1,24.7,3.3
41,Kevin Love,2017-18,29,CLE,NBA,6.4,4.7,4.5,22.4,3.3
42,Delon Wright,2017-18,25,TOR,NBA,4.5,2.5,1.4,16.5,3.3
43,Andre Drummond,2017-18,24,DET,NBA,10.3,4.6,1.5,22.9,3.2
44,Justin Patton,2017-18,20,MIN,NBA,0,0,-2.2,19.8,3.2
45,Kyle O'Quinn,2017-18,27,NYK,NBA,4.8,2.7,0.4,20,3.1
46,Ekpe Udoh,2017-18,30,UTA,NBA,3.2,1.3,-1.3,15.2,3.1
47,David West,2017-18,37,GSW,NBA,3.5,1.8,0.7,20.9,3.1
48,John Wall,2017-18,27,WAS,NBA,2.7,1.2,3.5,19.1,3
49,Kyle Anderson,2017-18,24,SAS,NBA,6.2,2.4,-0.4,15.9,2.9
50,Paul George,2017-18,27,OKC,NBA,8.9,5,2.3,18.7,2.9
51,Jordan Bell,2017-18,23,GSW,NBA,2.9,1.6,0,18,2.8
52,DeMar DeRozan,2017-18,28,TOR,NBA,9.6,6.8,3.3,21,2.8
53,Draymond Green,2017-18,27,GSW,NBA,6.1,2.6,0.9,16.1,2.8
54,Darren Collison,2017-18,30,IND,NBA,7.6,5.8,2.4,18.8,2.7
55,Thabo Sefolosha,2017-18,33,UTA,NBA,2.6,1,0.2,15.8,2.7
56,Nikola Vučević,2017-18,27,ORL,NBA,3.6,1.3,1.7,19.7,2.7
57,Hassan Whiteside,2017-18,28,MIA,NBA,5.3,2.3,1.5,24.1,2.6
58,Eric Bledsoe,2017-18,28,TOT,NBA,5.6,3.1,2.3,19.7,2.5
59,Trey Burke,2017-18,25,NYK,NBA,2.4,2,3.9,21,2.5
60,Boban Marjanović,2017-18,29,TOT,NBA,1.5,1,2.3,26,2.5
