Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Tarik Black,2016,LAL,39,493.60,-0.68,2.68,2,1.6
Manu Ginobili,2016,SAS,68,"1,318.50",1.24,0.74,1.98,4.3
Jae Crowder,2016,BOS,79,"2,497.10",0.83,1.11,1.95,8
Jrue Holiday,2016,NOP,65,"1,823.30",2.05,-0.14,1.91,5.7
Paul Millsap,2016,ATL,91,"2,988.00",0.92,0.99,1.91,9.5
Chris Bosh,2016,MIA,53,"1,770.00",0.64,1.26,1.9,5.6
Gorgui Dieng,2016,MIN,82,"2,211.10",0.42,1.39,1.82,6.8
Khris Middleton,2016,MIL,79,"2,842.60",1.86,-0.04,1.82,8.8
Al Horford,2016,ATL,92,"2,951.00",0.11,1.69,1.81,9.2
Carmelo Anthony,2016,NYK,72,"2,521.30",2.69,-0.9,1.79,7.7
Clint Capela,2016,HOU,82,"1,508.70",-0.21,1.97,1.76,4.6
Marvin Williams,2016,CHO,88,"2,557.20",1.44,0.3,1.74,7.8
Andrew Bogut,2016,GSW,92,"1,812.20",-1.59,3.3,1.71,5.5
Anthony Davis,2016,NOP,61,"2,156.80",0.74,0.93,1.67,6.5
Cody Zeller,2016,CHO,80,"1,904.70",0.34,1.33,1.67,5.7
Isaiah Thomas,2016,BOS,88,"2,855.90",3.05,-1.39,1.66,8.5
Derrick Favors,2016,UTA,62,"1,974.70",0.73,0.92,1.65,5.9
Jeff Withey,2016,UTA,51,655.10,-0.98,2.62,1.63,2
Amir Johnson,2016,BOS,85,"1,927.70",-0.08,1.68,1.6,5.7
CJ McCollum,2016,POR,91,"3,214.00",1.41,0.18,1.59,9.4
Tristan Thompson,2016,CLE,103,"2,881.00",0.44,1.11,1.55,8.3
Jimmy Butler,2016,CHI,67,"2,467.20",1.51,0.03,1.54,7.2
Jared Sullinger,2016,BOS,87,"1,992.00",0.4,1.11,1.5,5.7
Otto Porter,2016,WAS,75,"2,265.40",0.23,1.26,1.49,6.5
Kyrie Irving,2016,CLE,74,"2,432.90",2.98,-1.5,1.48,6.9
Marcin Gortat,2016,WAS,75,"2,246.60",0.13,1.35,1.48,6.5
Eric Bledsoe,2016,PHO,31,"1,054.30",0.93,0.53,1.45,3
Marc Gasol,2016,MEM,52,"1,784.60",-0.2,1.64,1.44,5.1
Mario Chalmers,2016,TOT,61,"1,368.70",0.69,0.76,1.44,3.9
Kyle Korver,2016,ATL,90,"2,709.10",0.22,1.12,1.34,7.6
Pau Gasol,2016,CHI,72,"2,286.00",0.37,0.96,1.33,6.3
Ed Davis,2016,POR,92,"1,882.50",-0.55,1.87,1.32,5.2
Jonas Valanciunas,2016,TOR,72,"1,876.60",1.01,0.31,1.32,5.2
Nicolas Batum,2016,CHO,75,"2,581.00",1.31,-0.02,1.29,7.1
Salah Mejri,2016,DAL,38,471.80,-0.9,2.17,1.27,1.3
Patrick Beverley,2016,HOU,76,"2,163.30",0.76,0.5,1.25,5.8
J.R. Smith,2016,CLE,98,"3,082.50",2.27,-1.03,1.23,8.2
Nikola Mirotic,2016,CHI,66,"1,640.90",0.96,0.22,1.18,4.4
Dwight Howard,2016,HOU,76,"2,449.80",-0.34,1.51,1.17,6.5
Blake Griffin,2016,LAC,39,"1,291.20",0.83,0.34,1.16,3.4
Gordon Hayward,2016,UTA,80,"2,882.20",1.46,-0.32,1.15,7.6
Kentavious Caldwell-Pope,2016,DET,80,"2,941.80",0.92,0.23,1.15,7.8
Patty Mills,2016,SAS,91,"1,819.90",1.37,-0.24,1.13,4.8
Rondae Hollis-Jefferson,2016,BRK,29,612.80,-1.32,2.43,1.1,1.6
Danilo Gallinari,2016,DEN,53,"1,831.60",1.51,-0.44,1.07,4.7
Patrick Patterson,2016,TOR,99,"2,594.30",1.11,-0.04,1.07,6.7
Reggie Jackson,2016,DET,83,"2,565.50",2.38,-1.32,1.06,6.6
Tyreke Evans,2016,NOP,25,762.90,1.05,0,1.05,2
Richaun Holmes,2016,PHI,51,698.00,0.68,0.33,1,1.8
Andre Roberson,2016,OKC,88,"2,015.20",-0.9,1.86,0.96,5.1
Joakim Noah,2016,CHI,29,632.20,-1.21,2.15,0.94,1.6
Marcus Morris,2016,DET,84,"2,992.30",0.63,0.29,0.92,7.4
Ryan Kelly,2016,LAL,36,468.10,-1,1.91,0.91,1.2
George Hill,2016,IND,81,"2,749.70",0.33,0.56,0.89,6.8
Goran Dragic,2016,MIA,86,"2,824.30",0.66,0.21,0.87,6.9
Channing Frye,2016,TOT,87,"1,432.50",-0.01,0.87,0.86,3.5
Dennis Schroder,2016,ATL,90,"1,799.30",0.38,0.48,0.86,4.4
Mason Plumlee,2016,POR,93,"2,383.40",0.37,0.49,0.85,5.8
Jeremy Lamb,2016,CHO,69,"1,232.50",-0.94,1.77,0.83,3
Thaddeus Young,2016,BRK,73,"2,399.30",0.18,0.65,0.83,5.8
Marcelo Huertas,2016,LAL,53,864.60,-0.37,1.18,0.81,2.1
Victor Oladipo,2016,ORL,72,"2,369.80",0.79,0,0.79,5.7
Aaron Gordon,2016,ORL,78,"1,856.10",0.14,0.64,0.78,4.4
Bismack Biyombo,2016,TOR,102,"2,305.70",-1.75,2.53,0.78,5.5
Nene Hilario,2016,WAS,57,"1,086.70",-0.64,1.4,0.76,2.6
Boban Marjanovic,2016,SAS,61,548.90,1.71,-0.97,0.75,1.3
Michael Kidd-Gilchrist,2016,CHO,7,204.20,0.14,0.61,0.75,0.5
Robert Covington,2016,PHI,67,"1,895.50",-0.59,1.31,0.72,4.5
David West,2016,SAS,88,"1,573.00",-0.44,1.14,0.7,3.7
Justin Anderson,2016,DAL,60,739.60,-0.83,1.52,0.69,1.7
Jon Leuer,2016,PHO,67,"1,250.60",-0.07,0.75,0.68,2.9
Kenneth Faried,2016,DEN,67,"1,691.00",1.16,-0.49,0.67,3.9
Rodney Hood,2016,UTA,79,"2,531.10",1.36,-0.7,0.66,5.8
Giannis Antetokounmpo,2016,MIL,80,"2,814.50",0.82,-0.19,0.63,6.4
Tobias Harris,2016,TOT,80,"2,658.90",0.06,0.58,0.63,6.1
Tony Parker,2016,SAS,82,"2,234.50",0.18,0.43,0.61,5.1
Larry Nance,2016,LAL,63,"1,260.80",-0.54,1.13,0.59,2.9
Nikola Vucevic,2016,ORL,65,"2,029.30",0.22,0.36,0.58,4.6
Jusuf Nurkic,2016,DEN,32,545.30,-0.98,1.54,0.56,1.2
Ryan Anderson,2016,NOP,66,"2,002.20",1.97,-1.41,0.56,4.5
Rasual Butler,2016,SAS,46,430.40,-0.14,0.65,0.5,1
Brandon Jennings,2016,TOT,48,865.10,0.43,0.05,0.48,1.9
Chandler Parsons,2016,DAL,61,"1,794.80",0.47,0.01,0.48,3.9
Luol Deng,2016,MIA,88,"2,877.30",0.34,0.12,0.46,6.3
Al-Farouq Aminu,2016,POR,93,"2,705.20",0.38,0.07,0.45,5.9
Avery Bradley,2016,BOS,77,"2,561.50",1.74,-1.3,0.44,5.5
Karl-Anthony Towns,2016,MIN,82,"2,613.40",1.27,-0.83,0.44,5.6
Omri Casspi,2016,SAC,69,"1,872.00",0.43,-0.05,0.38,4
Wesley Matthews,2016,DAL,83,"2,807.70",1.85,-1.48,0.37,5.9
Ronnie Price,2016,PHO,62,"1,205.80",-1.45,1.79,0.34,2.5
Monta Ellis,2016,IND,88,"2,948.70",-0.44,0.76,0.32,6.1
Metta World Peace,2016,LAL,35,587.50,-1.16,1.47,0.31,1.2
Damian Lillard,2016,POR,86,"3,103.20",3.42,-3.13,0.3,6.4
Zaza Pachulia,2016,DAL,81,"2,109.50",-0.86,1.11,0.25,4.3
Josh Richardson,2016,MIA,66,"1,487.50",-0.17,0.41,0.24,3
Alan Williams,2016,PHO,10,67.90,0.06,0.14,0.2,0.1
Al Jefferson,2016,CHO,54,"1,258.80",-0.87,1.06,0.19,2.5
Andrew Wiggins,2016,MIN,81,"2,832.70",1.07,-0.89,0.18,5.6
Toney Douglas,2016,NOP,61,"1,258.70",0.76,-0.59,0.18,2.5
Josh McRoberts,2016,MIA,52,726.30,-0.72,0.87,0.16,1.4
Greg Monroe,2016,MIL,79,"2,307.30",1.26,-1.11,0.15,4.5
Jared Dudley,2016,WAS,81,"2,085.90",-0.2,0.33,0.13,4.1
Rudy Gay,2016,SAC,70,"2,369.10",0.08,0.03,0.11,4.6
Delon Wright,2016,TOR,36,270.00,-0.2,0.3,0.1,0.5
Trevor Booker,2016,UTA,79,"1,623.20",-1.13,1.21,0.09,3.1
Elton Brand,2016,PHI,17,223.90,-1.3,1.36,0.06,0.4
Kelly Olynyk,2016,BOS,73,"1,421.10",-0.66,0.72,0.06,2.7
Jarnell Stokes,2016,TOT,7,18.60,-0.01,0.05,0.04,0
Erick Green,2016,TOT,9,42,0.06,-0.04,0.02,0.1
Lucas Nogueira,2016,TOR,34,253.00,-0.61,0.63,0.02,0.5
Dorell Wright,2016,MIA,5,18.90,-0.01,0.02,0.01,0
K.J. McDaniels,2016,HOU,41,268.3,-0.74,0.74,0.01,0.5
Jordan Adams,2016,MEM,2,14.70,-0.01,0.01,0,0
Coty Clarke,2016,BOS,3,5.8,-0.01,0,-0.01,0
Elijah Millsap,2016,UTA,20,171.60,-0.57,0.56,-0.01,0.3
John Holland,2016,BOS,1,1.30,-0.01,0,-0.01,0
Keith Appling,2016,ORL,5,26.6,-0.08,0.07,-0.01,0.1
Thanasis Antetokounmpo,2016,NYK,2,6.30,-0.01,0,-0.01,0
Amar'e Stoudemire,2016,MIA,61,841.2,-1.11,1.09,-0.02,1.6
Dewayne Dedmon,2016,ORL,58,702.3,-1.31,1.29,-0.02,1.3
J.J. O'Brien,2016,UTA,2,6.3,-0.02,-0.01,-0.02,0
Jordan Mickey,2016,BOS,18,67.00,-0.27,0.25,-0.02,0.1
Lavoy Allen,2016,IND,85,"1,643.90",-0.68,0.66,-0.02,3
Sam Dekker,2016,HOU,3,6.2,-0.01,-0.01,-0.02,0
Jodie Meeks,2016,DET,4,44.4,-0.1,0.07,-0.04,0.1
Rakeem Christmas,2016,IND,1,6.1,0,-0.04,-0.04,0
Tiago Splitter,2016,ATL,36,574.5,-0.98,0.94,-0.04,1.1
Alan Anderson,2016,WAS,13,190.50,-0.26,0.22,-0.05,0.4
Courtney Lee,2016,TOT,86,"2,583.00",-0.07,0.03,-0.05,4.7
Elliot Williams,2016,MEM,5,45.2,-0.07,0.01,-0.06,0.1
Rajon Rondo,2016,SAC,72,"2,527.30",0.23,-0.29,-0.06,4.6
Shelvin Mack,2016,TOT,52,"1,061.60",0.04,-0.1,-0.06,1.9
Solomon Hill,2016,IND,66,"1,061.30",0.02,-0.1,-0.07,1.9
Christian Wood,2016,PHI,17,145.00,-0.13,0.05,-0.08,0.3
Cory Jefferson,2016,PHO,7,49.80,-0.07,-0.01,-0.08,0.1
Matthew Dellavedova,2016,CLE,96,"2,099.40",-0.39,0.3,-0.09,3.8
Eric Moreland,2016,SAC,8,47.5,-0.13,0.02,-0.1,0.1
Chuck Hayes,2016,HOU,2,23.6,-0.12,0.01,-0.11,0
Duje Dukan,2016,SAC,1,24.00,-0.07,-0.03,-0.11,0
Dwight Powell,2016,DAL,73,"1,052.20",-1.56,1.45,-0.11,1.9
Tim Frazier,2016,TOT,51,737.90,-0.27,0.16,-0.11,1.3
Tony Allen,2016,MEM,68,"1,707.60",-1.03,0.92,-0.11,3.1
Tony Snell,2016,CHI,64,"1,297.00",-1.68,1.57,-0.11,2.3
Cameron Bairstow,2016,CHI,18,102.5,-0.46,0.34,-0.12,0.2
Cliff Alexander,2016,POR,8,35.6,-0.17,0.05,-0.12,0.1
Mirza Teletovic,2016,PHO,79,"1,678.00",2.01,-2.15,-0.13,3
Nate Robinson,2016,NOP,2,23.3,-0.1,-0.02,-0.13,0
Jimmer Fredette,2016,TOT,6,17.6,-0.13,-0.02,-0.14,0
Mike Scott,2016,ATL,85,"1,307.40",-0.61,0.46,-0.14,2.3
Phil Pressey,2016,TOT,23,281.9,-0.9,0.76,-0.14,0.5
Robin Lopez,2016,NYK,82,"2,208.40",-0.12,-0.02,-0.14,3.9
Steve Novak,2016,TOT,10,44.3,-0.09,-0.04,-0.14,0.1
Cole Aldrich,2016,LAC,66,873.00,-2.09,1.94,-0.15,1.5
Shayne Whittington,2016,IND,7,39.70,-0.15,0,-0.15,0.1
John Henson,2016,MIL,57,956,-2.18,2.02,-0.16,1.7
Joel Anthony,2016,DET,19,95.7,-0.45,0.27,-0.17,0.2
Alex Stepheson,2016,TOT,8,72.1,-0.18,0,-0.18,0.1
Edy Tavares,2016,ATL,11,69.6,-0.08,-0.09,-0.18,0.1
Joe Harris,2016,CLE,5,15.3,-0.1,-0.08,-0.18,0
Andrew Nicholson,2016,ORL,56,819.00,-1.07,0.89,-0.19,1.4
Bruno Caboclo,2016,TOR,6,42.80,-0.22,0.03,-0.19,0.1
Jorge Gutierrez,2016,CHO,15,74.80,-0.13,-0.06,-0.19,0.1
Kyle O'Quinn,2016,NYK,65,761.1,-1.31,1.13,-0.19,1.3
Willie Reed,2016,BRK,39,423.40,-0.73,0.55,-0.19,0.7
Chris Johnson,2016,UTA,70,853.10,-1.5,1.29,-0.2,1.5
Matt Bonner,2016,SAS,30,205.00,0.43,-0.63,-0.2,0.4
Carl Landry,2016,PHI,36,568.5,1.4,-1.61,-0.21,1
Kent Bazemore,2016,ATL,85,"2,393.70",-0.71,0.5,-0.21,4.1
Nazr Mohammed,2016,OKC,10,29.20,-0.27,0.06,-0.21,0.1
Andrew Goudelock,2016,HOU,10,61.40,-0.26,0.04,-0.22,0.1
Luc Mbah a Moute,2016,LAC,79,"1,348.90",-1.52,1.3,-0.22,2.3
Jose Calderon,2016,NYK,72,"2,012.30",0.43,-0.65,-0.23,3.4
James Ennis,2016,TOT,22,327.80,0.97,-1.22,-0.25,0.6
Tyler Johnson,2016,MIA,41,919.40,-0.65,0.4,-0.25,1.5
Bryce Cotton,2016,TOT,8,38.6,-0.06,-0.2,-0.26,0.1
Cory Joseph,2016,TOR,100,"2,489.80",-0.71,0.45,-0.26,4.2
Lorenzo Brown,2016,PHO,8,59.90,-0.21,-0.05,-0.26,0.1
Norman Powell,2016,TOR,67,929.10,-0.54,0.28,-0.26,1.6
Joe Johnson,2016,TOT,95,"3,183.60",0.47,-0.75,-0.27,5.3
Branden Dawson,2016,LAC,6,28.80,-0.14,-0.14,-0.28,0.1
Justin Harper,2016,DET,5,35.10,-0.15,-0.13,-0.28,0.1
Justise Winslow,2016,MIA,91,"2,549.30",-2.13,1.85,-0.28,4.2
Marcus Smart,2016,BOS,67,"1,852.00",-1.25,0.96,-0.29,3.1
Russ Smith,2016,MEM,15,66.2,-0.21,-0.08,-0.29,0.1
Kevon Looney,2016,GSW,5,20.4,-0.13,-0.17,-0.3,0
Sasha Vujacic,2016,NYK,61,905.20,-0.61,0.31,-0.3,1.5
J.J. Hickson,2016,TOT,35,435.1,-0.91,0.6,-0.31,0.7
Jordan McRae,2016,TOT,24,199.10,-0.18,-0.13,-0.31,0.3
Jeremy Evans,2016,DAL,30,250.6,-1.33,1.02,-0.32,0.4
Eric Gordon,2016,NOP,45,"1,477.10",0.08,-0.41,-0.33,2.4
Trevor Ariza,2016,HOU,86,"3,028.50",1.13,-1.46,-0.33,5
Anthony Bennett,2016,TOR,19,83.90,-0.28,-0.06,-0.34,0.1
Orlando Johnson,2016,TOT,7,101.2,-0.4,0.06,-0.34,0.2
Dwyane Wade,2016,MIA,88,"2,718.50",1.02,-1.37,-0.35,4.4
T.J. McConnell,2016,PHI,81,"1,598.40",-0.09,-0.26,-0.35,2.6
Deron Williams,2016,DAL,68,"2,149.80",-0.35,-0.01,-0.36,3.5
Jeremy Lin,2016,CHO,85,"2,227.90",-1.34,0.97,-0.37,3.6
Spencer Hawes,2016,CHO,62,"1,084.40",-1.97,1.59,-0.38,1.7
Jarrett Jack,2016,BRK,32,"1,022.30",-0.12,-0.27,-0.4,1.6
Robert Sacre,2016,LAL,25,318.00,-1.13,0.73,-0.4,0.5
Elfrid Payton,2016,ORL,73,"2,137.20",-0.56,0.14,-0.42,3.4
Thabo Sefolosha,2016,ATL,85,"1,942.10",-1.68,1.26,-0.42,3
Tibor Pleiss,2016,UTA,12,81.40,-0.3,-0.12,-0.42,0.1
Maurice Harkless,2016,POR,89,"1,722.90",-0.59,0.15,-0.43,2.7
Bryce Dejean-Jones,2016,NOP,14,277.7,-0.82,0.35,-0.47,0.4
Aaron Harrison,2016,CHO,23,100.60,-0.58,0.09,-0.48,0.2
Josh Huestis,2016,OKC,7,64.80,-0.4,-0.11,-0.51,0.1
C.J. Wilcox,2016,LAC,25,173.9,-0.54,0.02,-0.52,0.3
Luis Montero,2016,POR,18,49.50,-0.4,-0.13,-0.52,0.1
Anthony Tolliver,2016,DET,75,"1,362.30",-1.06,0.53,-0.53,2
Tim Hardaway,2016,ATL,60,946.80,-0.25,-0.29,-0.54,1.4
DeMarre Carroll,2016,TOR,46,"1,380.30",-1.14,0.58,-0.56,2
Willie Cauley-Stein,2016,SAC,66,"1,405.90",-0.17,-0.42,-0.59,2.1
Donald Sloan,2016,BRK,61,"1,315.30",0.2,-0.81,-0.61,1.9
Lou Williams,2016,LAL,67,"1,898.90",1.12,-1.74,-0.61,2.7
Garrett Temple,2016,WAS,80,"1,943.10",-1.64,1.01,-0.63,2.8
Montrezl Harrell,2016,HOU,41,389,-0.83,0.2,-0.63,0.6
Cleanthony Early,2016,NYK,17,153.50,-0.96,0.32,-0.64,0.2
Raul Neto,2016,UTA,81,"1,492.50",-0.99,0.35,-0.64,2.1
Alexis Ajinca,2016,NOP,59,858.60,-2.13,1.47,-0.66,1.2
JaMychal Green,2016,MEM,82,"1,513.20",-0.79,0.14,-0.66,2.1
Brandan Wright,2016,MEM,12,211.70,-0.46,-0.21,-0.67,0.3
Jarell Eddie,2016,WAS,26,145.30,-0.31,-0.37,-0.68,0.2
Kyle Anderson,2016,SAS,88,"1,369.50",-1.16,0.47,-0.68,1.9
Will Barton,2016,DEN,82,"2,344.50",0.11,-0.79,-0.68,3.3
Boris Diaw,2016,SAS,85,"1,537.00",-0.6,-0.09,-0.69,2.1
Festus Ezeli,2016,GSW,69,968.60,-1.23,0.54,-0.69,1.4
Damien Inglis,2016,MIL,20,156.00,-1.25,0.53,-0.73,0.2
Meyers Leonard,2016,POR,61,"1,329.10",-0.28,-0.45,-0.73,1.8
DeMar DeRozan,2016,TOR,98,"3,543.50",1.01,-1.75,-0.74,4.8
Dahntay Jones,2016,CLE,16,92.1,-0.87,0.09,-0.78,0.1
Jason Smith,2016,ORL,76,"1,177.20",-1.52,0.74,-0.78,1.6
Aaron Brooks,2016,CHI,69,"1,104.10",-0.21,-0.59,-0.8,1.5
P.J. Tucker,2016,PHO,82,"2,531.40",-1.29,0.48,-0.8,3.3
Terrence Ross,2016,TOR,93,"2,076.40",-0.79,-0.01,-0.8,2.7
Darrell Arthur,2016,DEN,70,"1,511.40",-1.4,0.58,-0.82,2
Vince Carter,2016,MEM,64,"1,092.20",-0.08,-0.74,-0.82,1.4
Caron Butler,2016,SAC,17,174.8,-0.78,-0.05,-0.83,0.2
Langston Galloway,2016,NYK,82,"2,025.90",-1.57,0.74,-0.83,2.6
Chase Budinger,2016,TOT,66,924.90,-0.67,-0.18,-0.84,1.2
Jeff Teague,2016,ATL,89,"2,516.10",0.31,-1.16,-0.85,3.2
Sasha Kaun,2016,CLE,25,95.10,-0.92,0.07,-0.85,0.1
Anthony Brown,2016,LAL,29,596.80,-1.64,0.78,-0.86,0.8
Kostas Papanikolaou,2016,DEN,26,293.10,-1.97,1.11,-0.86,0.4
Alec Burks,2016,UTA,31,791.9,-0.45,-0.41,-0.87,1
Emmanuel Mudiay,2016,DEN,68,"2,060.10",-0.59,-0.3,-0.89,2.6
Taj Gibson,2016,CHI,73,"1,930.80",-0.8,-0.1,-0.9,2.4
Bradley Beal,2016,WAS,55,"1,700.60",0.31,-1.22,-0.91,2.1
David Lee,2016,TOT,57,931.30,-1.34,0.43,-0.91,1.1
Devyn Marble,2016,ORL,28,248.50,-1.42,0.49,-0.93,0.3
Darren Collison,2016,SAC,74,"2,207.80",1.09,-2.04,-0.94,2.7
Andre Iguodala,2016,GSW,89,"2,487.60",-0.1,-0.85,-0.95,3.1
Luke Babbitt,2016,NOP,47,842.80,0.09,-1.03,-0.95,1
Marcus Thornton,2016,TOT,61,"1,105.00",0.55,-1.5,-0.95,1.4
Wesley Johnson,2016,LAC,86,"1,733.00",-1.96,1,-0.96,2.1
Michael Carter-Williams,2016,MIL,54,"1,643.50",-1.36,0.39,-0.97,2
Zach Randolph,2016,MEM,72,"2,129.10",0.29,-1.27,-0.98,2.5
Devin Harris,2016,DAL,69,"1,395.00",-1.02,-0.01,-1.03,1.6
Kris Humphries,2016,TOT,57,886.80,-0.55,-0.48,-1.03,1
Mitch McGary,2016,OKC,20,72.5,-0.62,-0.41,-1.04,0.1
Ben McLemore,2016,SAC,68,"1,435.60",-0.85,-0.21,-1.06,1.6
Brandon Knight,2016,PHO,52,"1,864.10",0.31,-1.37,-1.06,2.1
Briante Weber,2016,TOT,9,174.20,-0.63,-0.43,-1.06,0.2
Iman Shumpert,2016,CLE,75,"1,676.00",-1.73,0.66,-1.07,1.9
Gerald Henderson,2016,POR,83,"1,659.30",-0.92,-0.17,-1.09,1.9
Kirk Hinrich,2016,TOT,52,656.00,-1.55,0.47,-1.09,0.7
Chris Andersen,2016,TOT,31,478.90,-0.77,-0.33,-1.1,0.5
E'Twaun Moore,2016,CHI,59,"1,260.30",-0.54,-0.56,-1.1,1.4
Pat Connaughton,2016,POR,40,151.20,-1.08,-0.02,-1.1,0.2
JaVale McGee,2016,DAL,36,382,-1.64,0.53,-1.11,0.4
Miles Plumlee,2016,MIL,61,867.40,-1.82,0.69,-1.13,0.9
Spencer Dinwiddie,2016,DET,13,160.40,-1.15,0.02,-1.13,0.2
Raymond Felton,2016,DAL,85,"2,356.70",-0.29,-0.85,-1.14,2.6
Axel Toupane,2016,DEN,21,304.80,-0.53,-0.62,-1.15,0.3
Justin Holiday,2016,TOT,53,769.90,-1.26,0.11,-1.15,0.8
Sergey Karasev,2016,BRK,40,399.80,-0.6,-0.57,-1.17,0.4
Gerald Green,2016,MIA,81,"1,659.50",-0.72,-0.46,-1.18,1.7
Seth Curry,2016,SAC,44,689.5,0.23,-1.41,-1.18,0.7
Jonas Jerebko,2016,BOS,84,"1,333.40",-1.91,0.72,-1.19,1.4
Mike Dunleavy,2016,CHI,31,702.30,-0.13,-1.07,-1.2,0.8
Darrun Hilliard,2016,DET,38,382.4,-1.06,-0.15,-1.21,0.4
Ersan Ilyasova,2016,TOT,74,"1,876.80",-0.51,-0.71,-1.22,1.9
Lou Amundson,2016,NYK,29,204.30,-1.7,0.48,-1.22,0.2
Tony Wroten,2016,PHI,8,143.70,-1,-0.26,-1.26,0.1
Myles Turner,2016,IND,67,"1,558.20",-2.2,0.93,-1.27,1.5
Andre Miller,2016,TOT,43,494.20,0.23,-1.53,-1.29,0.5
Chris Kaman,2016,POR,20,143.6,-1.26,-0.03,-1.29,0.1
Ish Smith,2016,TOT,77,"2,228.10",-0.09,-1.2,-1.29,2.2
Rodney Stuckey,2016,IND,65,"1,395.20",-1.14,-0.14,-1.29,1.3
Udonis Haslem,2016,MIA,46,343.70,-1.64,0.35,-1.29,0.3
Gary Harris,2016,DEN,76,"2,431.90",0.28,-1.58,-1.3,2.4
Evan Turner,2016,BOS,87,"2,475.00",-2.25,0.94,-1.31,2.3
Mike Muscala,2016,ATL,69,627.80,-1.39,0.09,-1.31,0.6
Jeff Ayres,2016,LAC,19,108.70,-0.78,-0.54,-1.32,0.1
Markieff Morris,2016,TOT,64,"1,622.90",-1.43,0.12,-1.32,1.5
Nerlens Noel,2016,PHI,67,"1,953.30",-2.74,1.4,-1.33,1.8
Jerami Grant,2016,PHI,77,"2,053.50",-1.83,0.49,-1.35,1.9
Joe Ingles,2016,UTA,81,"1,232.80",-1.55,0.18,-1.37,1.1
Quincy Acy,2016,SAC,59,874.30,-1.42,0.06,-1.37,0.8
Alex Len,2016,PHO,78,"1,813.60",-2.43,1.01,-1.41,1.6
Nick Young,2016,LAL,54,"1,029.70",-0.54,-0.87,-1.41,0.9
Jason Thompson,2016,TOT,57,524.80,-1.78,0.35,-1.43,0.5
Jeff Green,2016,TOT,86,"2,402.30",-0.84,-0.6,-1.44,2.1
Nemanja Bjelica,2016,MIN,60,"1,069.40",-1.32,-0.13,-1.45,0.9
Frank Kaminsky,2016,CHO,88,"1,889.90",-2.35,0.88,-1.47,1.6
Nikola Pekovic,2016,MIN,12,155.50,-0.88,-0.59,-1.47,0.1
D.J. Augustin,2016,TOT,62,"1,175.10",-0.17,-1.33,-1.5,1
Greg Smith,2016,MIN,18,190.50,-1.15,-0.35,-1.5,0.2
