Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Draymond Green,2016,GSW,104,"3,673.80",5.15,4.6,9.75,27.9
LeBron James,2016,CLE,97,"3,520.30",6.14,2.33,8.46,24.7
Stephen Curry,2016,GSW,97,"3,302.00",7.34,0.84,8.18,22.5
Chris Paul,2016,LAC,78,"2,535.50",5.68,1.87,7.54,16.6
Russell Westbrook,2016,OKC,98,"3,406.20",5.82,0.76,6.57,20.4
Kawhi Leonard,2016,SAS,82,"2,703.80",3.03,3.43,6.46,16.5
DeAndre Jordan,2016,LAC,83,"2,784.00",2.8,3.41,6.21,16.2
Kevin Durant,2016,OKC,90,"3,288.80",5.09,0.57,5.66,17.9
Kyle Lowry,2016,TOR,97,"3,608.80",3.94,1.05,4.99,18.5
Nikola Jokic,2016,DEN,80,"1,726.80",1.28,2.89,4.17,8.1
Kevin Love,2016,CLE,97,"3,025.80",3.12,0.64,3.76,13
Hassan Whiteside,2016,MIA,83,"2,405.70",0.69,3.02,3.72,10.5
DeMarcus Cousins,2016,SAC,65,"2,238.70",1.4,2.14,3.54,9.5
Andre Drummond,2016,DET,85,"2,788.40",0.91,2.55,3.46,11.7
Klay Thompson,2016,GSW,104,"3,504.00",3.69,-0.34,3.35,14.2
Ricky Rubio,2016,MIN,76,"2,312.20",2.05,1.27,3.32,9.4
Tim Duncan,2016,SAS,71,"1,745.40",-0.23,3.5,3.27,7.2
Rudy Gobert,2016,UTA,61,"1,924.30",-0.02,3.28,3.26,7.9
James Harden,2016,HOU,87,"3,305.30",4.28,-1.29,2.99,12.7
Serge Ibaka,2016,OKC,96,"3,089.50",1.41,1.51,2.92,11.7
Paul George,2016,IND,88,"3,082.60",2.23,0.63,2.86,11.7
J.J. Redick,2016,LAC,81,"2,257.10",3.08,-0.31,2.78,8.4
Danny Green,2016,SAS,89,"2,318.20",0.01,2.63,2.64,8.5
Mike Conley,2016,MEM,56,"1,755.90",2.29,0.34,2.63,6.4
Kevin Garnett,2016,MIN,38,554.50,-1.25,3.84,2.59,2
John Wall,2016,WAS,77,"2,769.70",1.65,0.93,2.58,10
Kemba Walker,2016,CHO,88,"3,133.80",2.69,-0.18,2.51,11.2
LaMarcus Aldridge,2016,SAS,84,"2,586.70",1.48,1.02,2.5,9.2
Dirk Nowitzki,2016,DAL,80,"2,527.80",2.44,-0.16,2.28,8.5
Cristiano Felicio,2016,CHI,31,319.50,0.58,1.56,2.14,1.1
Brandon Bass,2016,LAL,66,"1,337.10",1.36,0.76,2.12,4.4
Kristaps Porzingis,2016,NYK,72,"2,043.40",0.52,1.54,2.06,6.7
Ian Mahinmi,2016,IND,78,"1,979.50",-1.13,3.17,2.05,6.5
Brook Lopez,2016,BRK,73,"2,448.40",0.45,1.57,2.02,7.9
Steven Adams,2016,OKC,98,"2,558.20",-0.19,2.21,2.01,8.2
