Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Stephen Curry,2018,GSW,66,"2,172.80",7.03,-0.61,6.41,12
James Harden,2018,HOU,89,"3,153.60",5.91,-0.07,5.84,16.5
Chris Paul,2018,HOU,73,"2,349.00",4.35,1.22,5.58,12
Victor Oladipo,2018,IND,82,"2,792.30",2.78,2.42,5.2,13.9
Nikola Jokic,2018,DEN,75,"2,430.50",3.73,1.24,4.97,11.5
Russell Westbrook,2018,OKC,86,"3,126.90",3.52,1.28,4.81,14.8
Anthony Davis,2018,NOP,84,"3,070.50",2.14,2.48,4.62,14.2
Robert Covington,2018,PHI,90,"2,794.10",0.71,3.9,4.61,13
Karl-Anthony Towns,2018,MIN,87,"3,074.20",3.87,0.7,4.57,13.8
Kevin Durant,2018,GSW,89,"3,115.60",5.45,-1.03,4.42,13.7
Jimmy Butler,2018,MIN,64,"2,322.90",3.32,1.07,4.39,10.3
Joel Embiid,2018,PHI,71,"2,178.50",2.15,2.02,4.17,9.4
Giannis Antetokounmpo,2018,MIL,82,"3,019.00",2.37,1.79,4.16,13
LeBron James,2018,CLE,104,"3,927.00",5.74,-1.69,4.05,16.4
Kemba Walker,2018,CHO,80,"2,719.40",3.71,0.29,4.01,11.5
Damian Lillard,2018,POR,77,"2,820.70",4.09,-0.14,3.95,11.9
Jrue Holiday,2018,NOP,90,"3,258.60",1.43,2.5,3.93,13.7
Draymond Green,2018,GSW,91,"3,089.60",1.24,2.42,3.65,12.3
Rudy Gobert,2018,UTA,67,"2,185.10",-0.4,4.03,3.63,8.9
LaMarcus Aldridge,2018,SAS,80,"2,668.20",2.34,1.17,3.51,10.6
Otto Porter,2018,WAS,82,"2,574.10",1.85,1.54,3.39,9.9
Clint Capela,2018,HOU,91,"2,537.30",1.14,2.18,3.32,9.5
Kyle Lowry,2018,TOR,88,"2,855.00",2.87,0.43,3.3,10.7
Al Horford,2018,BOS,91,"2,940.60",1.65,1.59,3.24,11.1
Ben Simmons,2018,PHI,91,"3,082.00",1.44,1.34,2.79,10.7
Nikola Vucevic,2018,ORL,57,"1,674.40",0.97,1.68,2.65,5.7
Fred VanVleet,2018,TOR,82,"1,619.60",1.8,0.84,2.65,5.4
Kristaps Porzingis,2018,NYK,48,"1,546.90",0.86,1.7,2.57,5.2
Kelly Olynyk,2018,MIA,81,"1,911.30",2.25,0.28,2.52,6.3
Salah Mejri,2018,DAL,61,725.50,-0.62,3.09,2.48,2.4
Eric Bledsoe,2018,TOT,81,"2,531.60",2.16,0.27,2.43,8.1
Kyrie Irving,2018,BOS,60,"1,921.90",3.3,-0.96,2.34,6.1
Jayson Tatum,2018,BOS,99,"3,109.50",0.5,1.8,2.3,9.9
Shaquille Harrison,2018,PHO,23,381.10,0.49,1.76,2.25,1.2
DeMarcus Cousins,2018,NOP,48,"1,729.90",1.32,0.89,2.2,5.3
Kyle Korver,2018,CLE,95,"2,064.80",1.09,1.08,2.17,6.3
Dwight Howard,2018,CHO,81,"2,448.40",0.31,1.83,2.14,7.5
Tyreke Evans,2018,MEM,52,"1,596.20",2.7,-0.58,2.12,4.8
Lucas Nogueira,2018,TOR,54,434.10,-1.36,3.46,2.1,1.3
Dwight Powell,2018,DAL,79,"1,661.00",0.83,1.24,2.07,5
John Wall,2018,WAS,47,"1,634.90",1.9,0.12,2.02,4.8
Jonas Valanciunas,2018,TOR,87,"1,966.00",1.32,0.69,2.01,5.8
Kyle Anderson,2018,SAS,79,"2,039.70",-0.54,2.54,2,6.1
Kevin Love,2018,CLE,80,"2,299.10",2.02,-0.03,1.99,6.7
Boban Marjanovic,2018,TOT,39,335.10,1.22,0.77,1.99,1
Donovan Mitchell,2018,UTA,90,"3,028.20",1.1,0.87,1.96,8.9
Nikola Mirotic,2018,TOT,64,"1,803.00",1.77,0.18,1.95,5.2
Al-Farouq Aminu,2018,POR,73,"2,193.80",0.45,1.45,1.9,6.3
Jamal Murray,2018,DEN,81,"2,549.70",3.09,-1.21,1.88,7.2
Eric Gordon,2018,HOU,86,"2,685.60",2.91,-1.07,1.84,7.5
Klay Thompson,2018,GSW,94,"3,281.10",1.85,-0.06,1.78,9.1
Paul George,2018,OKC,85,"3,119.40",1.39,0.39,1.78,8.7
Joe Ingles,2018,UTA,93,"2,939.20",0.89,0.85,1.74,8.2
J.J. Redick,2018,PHI,80,"2,444.80",2.38,-0.64,1.74,6.8
Dejounte Murray,2018,SAS,86,"1,823.20",-1.55,3.29,1.74,5.2
Dirk Nowitzki,2018,DAL,77,"1,894.20",1.32,0.4,1.73,5.2
Andre Roberson,2018,OKC,39,"1,030.90",-1.63,3.35,1.72,2.9
P.J. Tucker,2018,HOU,99,"2,830.80",0.49,1.21,1.69,7.7
Steven Adams,2018,OKC,82,"2,669.30",1.4,0.29,1.69,7.3
Jaylen Brown,2018,BOS,88,"2,721.60",0.75,0.9,1.66,7.4
Ricky Rubio,2018,UTA,83,"2,422.10",-0.07,1.72,1.66,6.7
Kyle O'Quinn,2018,NYK,77,"1,378.90",-0.04,1.66,1.62,3.7
Brandan Wright,2018,TOT,28,377.6,-0.26,1.88,1.62,1
Jusuf Nurkic,2018,POR,83,"2,174.20",-0.93,2.52,1.59,5.9
Thaddeus Young,2018,IND,88,"2,824.30",0.31,1.24,1.55,7.5
Andre Drummond,2018,DET,78,"2,605.60",0.55,0.93,1.48,6.8
Khris Middleton,2018,MIL,89,"3,238.50",2.5,-1.05,1.45,8.3
Lonzo Ball,2018,LAL,52,"1,772.00",-0.56,2,1.45,4.6
John Henson,2018,MIL,78,"2,030.80",-0.15,1.58,1.44,5.2
Serge Ibaka,2018,TOR,86,"2,341.30",0.78,0.65,1.43,6
Aaron Gordon,2018,ORL,58,"1,899.90",1.01,0.42,1.43,4.9
Kawhi Leonard,2018,SAS,9,209.10,0.17,1.25,1.42,0.6
Larry Nance,2018,TOT,86,"1,717.00",-0.79,2.18,1.39,4.4
Blake Griffin,2018,TOT,58,"1,958.60",1.63,-0.25,1.38,5
Montrezl Harrell,2018,LAC,76,"1,283.00",1.41,-0.05,1.35,3.2
Nene Hilario,2018,HOU,63,863.20,-0.2,1.55,1.35,2.2
Gary Harris,2018,DEN,67,"2,291.50",1.5,-0.22,1.28,5.6
Spencer Dinwiddie,2018,BRK,80,"2,291.50",1.86,-0.63,1.24,5.6
J.J. Barea,2018,DAL,69,"1,596.20",2.26,-1.04,1.22,3.9
Channing Frye,2018,TOT,53,689.10,0.47,0.76,1.22,1.7
DeMar DeRozan,2018,TOR,90,"3,050.90",2.71,-1.54,1.18,7.3
Zaza Pachulia,2018,GSW,76,991.60,0.59,0.57,1.16,2.4
Marvin Williams,2018,CHO,78,"1,995.20",0.07,1.07,1.13,4.8
Derrick Favors,2018,UTA,88,"2,423.30",0.49,0.63,1.12,5.8
Justin Holiday,2018,CHI,72,"2,254.10",-0.28,1.39,1.11,5.4
Pascal Siakam,2018,TOR,91,"1,841.00",0.03,1.08,1.11,4.3
Jordan Bell,2018,GSW,74,965.7,-0.17,1.28,1.11,2.3
Trevor Ariza,2018,HOU,84,"2,834.20",0.33,0.76,1.09,6.6
Myles Turner,2018,IND,72,"2,019.20",-0.33,1.38,1.06,4.7
Patrick Beverley,2018,LAC,11,332.30,0.29,0.71,1.01,0.8
Delon Wright,2018,TOR,79,"1,633.20",0.26,0.72,0.98,3.7
Darren Collison,2018,IND,76,"2,217.40",1.68,-0.71,0.96,5
Andre Iguodala,2018,GSW,79,"2,009.20",-0.7,1.64,0.94,4.5
Bradley Beal,2018,WAS,88,"3,174.60",1.32,-0.42,0.9,7
Danilo Gallinari,2018,LAC,21,666.7,0.09,0.81,0.9,1.5
Willy Hernangomez,2018,TOT,48,486.10,-0.07,0.97,0.9,1.1
Paul Millsap,2018,DEN,38,"1,137.30",0.5,0.37,0.87,2.5
OG Anunoby,2018,TOR,84,"1,712.70",0.36,0.48,0.84,3.7
Khem Birch,2018,ORL,42,571.90,-0.24,1.08,0.84,1.3
Ekpe Udoh,2018,UTA,69,820.30,-1.43,2.26,0.83,1.8
Dario Saric,2018,PHI,88,"2,623.70",1.18,-0.4,0.79,5.6
Hassan Whiteside,2018,MIA,59,"1,433.10",-1.36,2.12,0.76,3.1
Tyus Jones,2018,MIN,86,"1,508.90",0.12,0.61,0.74,3.2
Devin Harris,2018,TOT,71,"1,332.50",0.84,-0.1,0.74,2.8
Mike Conley,2018,MEM,12,371.60,1.23,-0.49,0.74,0.8
Bobby Portis,2018,CHI,73,"1,631.20",1.91,-1.2,0.7,3.4
