Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Giannis Antetokounmpo,2019,MIL,87,"2,875.40",4.04,3.76,7.8,18.6
Stephen Curry,2019,GSW,93,"3,252.00",6.32,0.68,7,19.2
Joel Embiid,2019,PHI,75,"2,493.20",3.37,3.38,6.76,14.7
Paul George,2019,OKC,82,"3,047.60",3.88,2.25,6.12,16.9
Kevin Durant,2019,GSW,90,"3,157.30",5.56,0.46,6.02,16.9
Anthony Davis,2019,NOP,56,"1,851.60",3.35,2.19,5.54,9.6
James Harden,2019,HOU,89,"3,292.80",6.7,-1.49,5.21,16.1
Jusuf Nurkic,2019,POR,72,"1,974.30",2.25,2.75,5.01,9.6
Damian Lillard,2019,POR,96,"3,490.50",4.84,-0.02,4.82,16.5
Rudy Gobert,2019,UTA,86,"2,731.90",1.03,3.51,4.54,12.7
Nikola Jokic,2019,DEN,94,"3,061.70",3.33,1.17,4.5,13.9
LeBron James,2019,LAL,55,"1,938.80",3.42,1.05,4.47,8.9
Kawhi Leonard,2019,TOR,87,"3,105.80",4.03,0.24,4.27,13.7
Kyle Lowry,2019,TOR,92,"3,238.40",2.92,1.34,4.26,14.3
Draymond Green,2019,GSW,90,"3,000.10",0.89,3.23,4.12,12.9
Brook Lopez,2019,MIL,96,"2,760.90",1.25,2.81,4.06,11.9
Nikola Vucevic,2019,ORL,85,"2,660.00",2.43,1.63,4.06,11.5
Eric Bledsoe,2019,MIL,93,"2,696.90",2.38,1.54,3.92,11.4
Danny Green,2019,TOR,104,"2,902.20",2.28,1.57,3.85,12
Jrue Holiday,2019,NOP,67,"2,404.70",2.92,0.82,3.74,9.8
Pascal Siakam,2019,TOR,105,"3,483.80",1.49,2.12,3.61,14.1
Chris Paul,2019,HOU,69,"2,259.40",1.55,1.81,3.36,8.7
Russell Westbrook,2019,OKC,78,"2,828.80",2.65,0.59,3.24,10.7
Andre Drummond,2019,DET,82,"2,749.30",2.02,1.22,3.24,10.4
Al Horford,2019,BOS,77,"2,285.60",1.84,1.38,3.21,8.6
Kyrie Irving,2019,BOS,76,"2,546.20",3.28,-0.25,3.03,9.3
Mike Conley,2019,MEM,70,"2,341.90",2.75,0.26,3.01,8.7
Paul Millsap,2019,DEN,84,"2,364.50",1.61,1.4,3.01,8.6
Al-Farouq Aminu,2019,POR,97,"2,692.70",1.36,1.29,2.65,9.1
Karl-Anthony Towns,2019,MIN,77,"2,546.80",2.74,-0.15,2.59,8.6
Davis Bertans,2019,SAS,80,"1,693.30",2.12,0.44,2.56,5.6
Victor Oladipo,2019,IND,36,"1,147.00",1.13,1.36,2.49,3.9
Dwight Powell,2019,DAL,77,"1,664.50",2.51,-0.03,2.48,5.5
Hassan Whiteside,2019,MIA,72,"1,676.60",-0.06,2.52,2.46,5.6
Mitchell Robinson,2019,NYK,66,"1,360.40",-0.49,2.89,2.41,4.5
Jimmy Butler,2019,TOT,77,"2,607.90",1.95,0.37,2.33,8.4
Clint Capela,2019,HOU,78,"2,581.80",1.16,1.16,2.31,8.2
Joe Ingles,2019,UTA,87,"2,722.60",0.78,1.52,2.3,8.8
Malcolm Brogdon,2019,MIL,71,"2,032.80",1.88,0.41,2.3,6.5
Kevin Love,2019,CLE,22,598.00,2.04,0.26,2.3,1.9
Khris Middleton,2019,MIL,92,"2,910.30",1.78,0.51,2.29,9.3
Derrick White,2019,SAS,74,"1,918.10",0.36,1.93,2.29,6.1
Steven Adams,2019,OKC,85,"2,831.60",1.09,1.08,2.16,8.8
Ed Davis,2019,BRK,84,"1,489.90",-0.94,3.09,2.15,4.7
Kemba Walker,2019,CHO,82,"2,864.40",3.34,-1.25,2.09,8.7
Danilo Gallinari,2019,LAC,74,"2,275.00",2.54,-0.47,2.07,6.9
Robert Covington,2019,TOT,35,"1,202.60",-0.69,2.75,2.06,3.7
Blake Griffin,2019,DET,77,"2,682.50",2.41,-0.36,2.04,8.1
Marc Gasol,2019,TOT,105,"3,229.90",-0.53,2.56,2.03,9.9
Jayson Tatum,2019,BOS,88,"2,750.70",0.53,1.48,2.01,8.3
Luke Kornet,2019,NYK,45,757.10,0.22,1.78,2,2.3
Bradley Beal,2019,WAS,82,"3,029.30",3.34,-1.35,1.99,9
Shabazz Napier,2019,BRK,59,"1,012.90",1.07,0.86,1.93,3
Donovan Mitchell,2019,UTA,82,"2,793.20",1.23,0.49,1.71,7.9
Maxi Kleber,2019,DAL,71,"1,503.30",-0.16,1.86,1.71,4.2
Nemanja Bjelica,2019,SAC,76,"1,777.50",0.82,0.81,1.63,4.9
Ricky Rubio,2019,UTA,73,"2,067.80",0.74,0.87,1.61,5.7
Willie Cauley-Stein,2019,SAC,80,"2,196.80",0.05,1.54,1.59,6
Derrick Favors,2019,UTA,81,"1,871.90",0.04,1.55,1.59,5.2
Myles Turner,2019,IND,78,"2,246.10",-1.37,2.9,1.53,6.1
Otto Porter,2019,TOT,56,"1,685.10",1.01,0.5,1.52,4.5
Justise Winslow,2019,MIA,66,"1,961.70",-0.16,1.66,1.5,5.3
Domantas Sabonis,2019,IND,78,"1,937.20",0.06,1.39,1.46,5.2
J.J. Barea,2019,DAL,38,753.80,1.58,-0.14,1.44,2
Rudy Gay,2019,SAS,75,"1,995.40",0.23,1.06,1.29,5.1
De'Aaron Fox,2019,SAC,80,"2,529.60",0.83,0.43,1.27,6.4
Maurice Harkless,2019,POR,76,"1,802.80",-0.35,1.61,1.25,4.5
Jamal Murray,2019,DEN,89,"2,958.40",2.15,-0.91,1.24,7.4
Jeremy Lamb,2019,CHO,79,"2,251.00",0.65,0.6,1.24,5.7
Marcus Smart,2019,BOS,82,"2,234.70",0.52,0.71,1.23,5.6
CJ McCollum,2019,POR,86,"3,013.40",2.21,-1,1.21,7.5
Jakob Poltl,2019,SAS,84,"1,451.20",0.11,1.06,1.17,3.6
Joakim Noah,2019,MEM,42,693.20,-0.45,1.59,1.14,1.7
Patrick Beverley,2019,LAC,84,"2,346.30",0.49,0.64,1.13,5.7
Jerami Grant,2019,OKC,84,"2,747.30",-0.32,1.35,1.03,6.5
Luka Doncic,2019,DAL,72,"2,319.00",1.78,-0.75,1.03,5.5
Andre Iguodala,2019,GSW,92,"2,334.30",-0.02,1.04,1.02,5.5
Kelly Olynyk,2019,MIA,79,"1,814.70",0.41,0.61,1.01,4.3
Luol Deng,2019,MIN,22,393.70,0.52,0.49,1.01,0.9
D.J. Augustin,2019,ORL,86,"2,411.40",1.74,-0.77,0.97,5.6
Bam Adebayo,2019,MIA,82,"1,915.10",-0.81,1.77,0.97,4.5
Cory Joseph,2019,IND,86,"2,152.20",-1.03,1.99,0.96,5.1
Larry Nance,2019,CLE,67,"1,798.10",-0.06,1.02,0.96,4.2
Ivica Zubac,2019,TOT,63,"1,078.50",-0.89,1.84,0.94,2.5
Kevon Looney,2019,GSW,103,"1,966.30",0.42,0.5,0.92,4.5
Ben Simmons,2019,PHI,91,"3,124.10",0.68,0.19,0.86,7.1
LaMarcus Aldridge,2019,SAS,87,"2,896.60",0.8,0.05,0.85,6.5
Josh Richardson,2019,MIA,73,"2,542.20",0.2,0.64,0.85,5.8
DeMarcus Cousins,2019,GSW,39,913.40,-1.09,1.92,0.83,2.1
John Collins,2019,ATL,61,"1,830.20",2.52,-1.7,0.82,4.1
George Hill,2019,TOT,74,"1,678.60",-0.16,0.98,0.82,3.8
J.J. Redick,2019,PHI,88,"2,756.70",1.15,-0.35,0.79,6.1
Eric Gordon,2019,HOU,79,"2,572.90",1.94,-1.17,0.77,5.6
Dewayne Dedmon,2019,ATL,64,"1,609.60",-0.22,0.99,0.77,3.6
Aaron Gordon,2019,ORL,83,"2,798.70",-0.19,0.9,0.72,6.1
Nikola Mirotic,2019,TOT,60,"1,545.50",0.92,-0.22,0.7,3.3
Thomas Bryant,2019,WAS,72,"1,498.60",0.34,0.32,0.66,3.2
Cody Zeller,2019,CHO,49,"1,243.70",0.23,0.43,0.66,2.6
Kenneth Faried,2019,TOT,43,784.70,0.9,-0.3,0.61,1.6
Jeff Teague,2019,MIN,42,"1,265.40",1.08,-0.59,0.49,2.6
Lonzo Ball,2019,LAL,47,"1,423.40",-1.23,1.69,0.46,2.9
Jonas Valanciunas,2019,TOT,49,"1,093.20",0.5,-0.06,0.43,2.2
Omri Casspi,2019,MEM,36,521.50,-0.39,0.82,0.43,1
David Nwaba,2019,CLE,51,985.70,-0.17,0.58,0.41,1.9
Daniel Theis,2019,BOS,73,951.70,-0.34,0.74,0.4,1.9
Khem Birch,2019,ORL,55,735.50,-1.08,1.49,0.4,1.5
Thabo Sefolosha,2019,UTA,54,651.20,-1.16,1.56,0.4,1.3
Pau Gasol,2019,TOT,30,360.90,-0.83,1.24,0.4,0.7
DeAndre Jordan,2019,TOT,69,"2,048.60",-1.16,1.54,0.39,4
Gary Harris,2019,DEN,71,"2,159.20",-0.02,0.4,0.38,4.2
Marvin Williams,2019,CHO,75,"2,134.10",0.07,0.29,0.37,4.1
Kyle Kuzma,2019,LAL,70,"2,314.10",0.81,-0.45,0.36,4.5
P.J. Tucker,2019,HOU,93,"3,230.20",-0.56,0.9,0.33,6.2
Robert Williams,2019,BOS,35,296.10,-2.32,2.63,0.32,0.6
Ryan Broekhoff,2019,DAL,40,441.00,0.51,-0.2,0.31,0.8
Jonathan Isaac,2019,ORL,80,"2,133.50",-1.09,1.4,0.3,4.1
Thaddeus Young,2019,IND,85,"2,622.10",-0.03,0.32,0.29,5
Richaun Holmes,2019,PHO,70,"1,185.00",-0.69,0.97,0.29,2.2
Montrezl Harrell,2019,LAC,88,"2,319.20",1.25,-1,0.25,4.3
Kadeem Allen,2019,NYK,18,387.1,0.52,-0.28,0.23,0.7
Brad Wanamaker,2019,BOS,40,360.20,-0.32,0.54,0.23,0.7
Henry Ellenson,2019,TOT,18,238.60,-0.35,0.58,0.23,0.4
Boban Marjanovic,2019,TOT,69,786.50,-0.16,0.39,0.22,1.5
Jalen Jones,2019,CLE,16,214.3,-0.2,0.41,0.22,0.4
Serge Ibaka,2019,TOR,101,"2,575.70",0.05,0.16,0.21,4.7
Salah Mejri,2019,DAL,36,399.90,-0.83,1.04,0.21,0.7
Jemerrio Jones,2019,LAL,6,144.00,-0.5,0.7,0.2,0.3
Michael Carter-Williams,2019,TOT,33,464.90,-1.03,1.2,0.17,0.8
Marcus Morris,2019,BOS,84,"2,346.30",0.6,-0.43,0.16,4.2
Raul Neto,2019,UTA,40,494.30,0.8,-0.64,0.16,0.9
DeMarre Carroll,2019,BRK,72,"1,826.20",0.14,0.01,0.15,3.3
Lauri Markkanen,2019,CHI,52,"1,685.00",0.77,-0.62,0.14,3
Rondae Hollis-Jefferson,2019,BRK,63,"1,298.50",-1.24,1.35,0.11,2.3
Jarrett Allen,2019,BRK,85,"2,208.00",0.02,0.06,0.08,3.9
Tyus Jones,2019,MIN,68,"1,560.00",-0.14,0.22,0.08,2.7
Bruno Caboclo,2019,MEM,34,800.60,0.05,0.03,0.08,1.4
JaKarr Sampson,2019,CHI,4,127.30,-0.04,0.11,0.08,0.2
Darren Collison,2019,IND,80,"2,262.80",0.44,-0.38,0.07,4
Patty Mills,2019,SAS,89,"2,062.50",1.85,-1.79,0.07,3.6
Alan Williams,2019,BRK,5,25.60,-0.02,0.09,0.07,0
D'Angelo Russell,2019,BRK,86,"2,597.60",1.04,-0.98,0.06,4.5
Danuel House,2019,HOU,46,"1,120.70",0.46,-0.4,0.06,2
Amile Jefferson,2019,ORL,12,68.60,0.06,0,0.06,0.1
Dzanan Musa,2019,BRK,11,54.1,-0.15,0.21,0.06,0.1
Tobias Harris,2019,TOT,94,"3,292.80",0.37,-0.33,0.05,5.7
R.J. Hunter,2019,BOS,1,25.80,0.01,0.04,0.05,0
Julius Randle,2019,NOP,73,"2,233.70",1.31,-1.29,0.03,3.8
Tomas Satoransky,2019,WAS,80,"2,165.20",0.21,-0.19,0.03,3.7
Tahjere McCall,2019,BRK,1,8.00,0,0.02,0.03,0
Isaiah Hicks,2019,NYK,2,11.3,-0.02,0.03,0.02,0
Emanuel Terry,2019,TOT,3,22.8,-0.02,0.02,0.01,0
JaVale McGee,2019,LAL,75,"1,673.20",-0.68,0.68,0,2.9
Gary Payton,2019,WAS,3,15.9,-0.03,0.03,0,0
Kostas Antetokounmpo,2019,DAL,2,10.6,-0.03,0.03,0,0
Kobi Simmons,2019,CLE,1,1.8,0,0.01,0,0
Tyler Ulis,2019,CHI,1,0.8,0,0,0,0
John Holland,2019,CLE,1,0.70,0,0,0,0
Alex Len,2019,ATL,77,"1,546.00",-0.32,0.31,-0.01,2.6
Jaron Blossomgame,2019,CLE,27,439.4,-1.17,0.17,-1,0.5
Troy Caupain,2019,ORL,4,15.7,-0.02,0,-0.01,0
Angel Delgado,2019,LAC,2,14.80,-0.08,0.07,-0.01,0
Jordan Sibert,2019,ATL,1,4.20,-0.01,0,-0.01,0
Zach Lofton,2019,DET,1,3.60,-0.01,0.01,-0.01,0
Zhou Qi,2019,HOU,1,1.00,0,0,-0.01,0
Tyler Davis,2019,OKC,1,0.9,-0.01,0,-0.01,0
J.R. Smith,2019,CLE,11,222.5,-0.87,0.85,-0.02,0.4
D.J. Stephens,2019,MEM,1,6.7,-0.02,0,-0.02,0
George King,2019,PHO,1,5.9,-0.01,0,-0.02,0
Kalin Lucas,2019,DET,1,5.60,-0.03,0.02,-0.02,0
Donte Grantham,2019,OKC,3,2.50,-0.01,-0.01,-0.02,0
PJ Dozier,2019,BOS,6,51.10,-0.1,0.08,-0.03,0.1
J.P. Macura,2019,CHO,2,16.8,-0.07,0.04,-0.03,0
Andre Ingram,2019,LAL,4,14.90,-0.06,0.03,-0.03,0
Okaro White,2019,WAS,3,6.20,-0.03,0.01,-0.03,0
Ike Anigbogu,2019,IND,3,6.2,-0.03,-0.01,-0.03,0
Yante Maten,2019,MIA,2,13.00,-0.05,0,-0.04,0
Joe Chealey,2019,CHO,1,7.8,-0.04,0,-0.04,0
Trevon Duval,2019,MIL,3,5.6,-0.02,-0.02,-0.04,0
Terrence Jones,2019,HOU,2,5.1,-0.04,-0.01,-0.05,0
Isaac Bonga,2019,LAL,22,121.10,-0.71,0.66,-0.06,0.2
Ante Zizic,2019,CLE,59,"1,084.00",-0.67,0.6,-0.07,1.8
Quincy Acy,2019,PHO,10,123.20,-0.58,0.51,-0.07,0.2
Billy Garrett,2019,NYK,3,49.90,-0.13,0.06,-0.07,0.1
Mitch Creek,2019,TOT,5,47.40,-0.11,0.04,-0.07,0.1
Davon Reed,2019,IND,10,47.10,-0.08,0.01,-0.07,0.1
Scott Machado,2019,LAL,4,19.20,-0.05,-0.01,-0.07,0
Caris LeVert,2019,BRK,45,"1,208.60",0.44,-0.51,-0.08,2
Goran Dragic,2019,MIA,36,991.30,0.39,-0.47,-0.08,1.6
Alex Caruso,2019,LAL,25,532.90,-0.58,0.5,-0.08,0.9
DeVaughn Akoon-Purcell,2019,DEN,7,21.70,-0.08,-0.01,-0.08,0
Ersan Ilyasova,2019,MIL,81,"1,480.70",-0.42,0.33,-0.09,2.4
Tyler Zeller,2019,TOT,6,93.3,-0.01,-0.08,-0.09,0.2
Dusty Hannahs,2019,MEM,2,26,-0.08,-0.01,-0.09,0
Vince Edwards,2019,HOU,2,15.70,-0.07,-0.03,-0.09,0
Derrick Rose,2019,MIN,51,"1,393.40",1.51,-1.62,-0.11,2.3
Frank Kaminsky,2019,CHO,47,755.6,0.64,-0.76,-0.11,1.2
Kyle O'Quinn,2019,IND,46,372.9,-1.06,0.95,-0.11,0.6
