Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Boban Marjanovic,2017,DET,35,292.4,1.47,1.15,2.62,1
Bradley Beal,2017,WAS,90,"3,178.10",3.83,-1.23,2.6,11
Gordon Hayward,2017,UTA,84,"2,914.70",2.71,-0.11,2.6,10.2
Klay Thompson,2017,GSW,95,"3,232.20",2.84,-0.25,2.59,11.2
Kyrie Irving,2017,CLE,90,"3,167.80",4.52,-1.93,2.59,10.9
Paul George,2017,IND,79,"2,851.00",2.52,-0.06,2.46,9.7
Isaiah Thomas,2017,BOS,91,"3,078.70",6.2,-3.83,2.37,10.2
Otto Porter,2017,WAS,93,"3,022.80",1.56,0.79,2.35,10
Cody Zeller,2017,CHO,62,"1,719.90",0.03,2.26,2.29,5.7
Danilo Gallinari,2017,DEN,63,"2,128.00",2.38,-0.19,2.18,6.8
Rudy Gay,2017,SAC,30,"1,006.60",0.81,1.29,2.1,3.2
Hassan Whiteside,2017,MIA,77,"2,502.70",0.63,1.45,2.08,7.9
Damian Lillard,2017,POR,79,"2,830.40",4.14,-2.09,2.05,8.8
Steven Adams,2017,OKC,85,"2,537.10",0.3,1.75,2.05,8
Greg Monroe,2017,MIL,87,"1,951.20",1.45,0.55,2,6.1
Clint Capela,2017,HOU,76,"1,833.00",0.82,1.11,1.94,5.6
Patrick Patterson,2017,TOR,75,"1,776.50",0.68,1.24,1.92,5.4
J.J. Redick,2017,LAC,85,"2,397.80",2.37,-0.47,1.89,7.2
James Johnson,2017,MIA,76,"2,076.00",-0.3,2.16,1.86,6.3
Jeremy Lin,2017,BRK,36,880.2,1.21,0.63,1.84,2.7
Andre Roberson,2017,OKC,84,"2,550.30",-0.81,2.62,1.81,7.7
Trevor Ariza,2017,HOU,91,"3,176.20",1.65,0.1,1.75,9.2
Patrick Beverley,2017,HOU,78,"2,376.20",1.13,0.61,1.74,6.9
Eric Bledsoe,2017,PHO,66,"2,170.90",2.1,-0.39,1.71,6.3
Ryan Anderson,2017,HOU,83,"2,443.40",1.87,-0.18,1.69,7
Alan Williams,2017,PHO,47,706.2,0.16,1.53,1.68,2.1
Marc Gasol,2017,MEM,80,"2,758.20",1.34,0.28,1.62,7.9
Al Horford,2017,BOS,86,"2,794.00",1.58,0.01,1.59,7.9
Robert Covington,2017,PHI,67,"2,107.50",-1.39,2.95,1.56,6
Manu Ginobili,2017,SAS,85,"1,566.50",0.55,0.99,1.54,4.4
David Lee,2017,SAS,94,"1,714.70",0.1,1.37,1.48,4.8
Delon Wright,2017,TOR,36,535.4,-0.57,2.04,1.46,1.5
Pau Gasol,2017,SAS,80,"1,982.40",1.05,0.38,1.44,5.4
Luc Mbah a Moute,2017,LAC,87,"2,004.90",-0.79,2.2,1.41,5.5
Elfrid Payton,2017,ORL,82,"2,407.10",1.4,-0.02,1.38,6.5
Salah Mejri,2017,DAL,73,901.2,-1.77,3.15,1.38,2.5
Aron Baynes,2017,DET,75,"1,160.80",-1.4,2.77,1.37,3.2
Karl-Anthony Towns,2017,MIN,82,"3,020.00",3.14,-1.78,1.36,8.1
Michael Kidd-Gilchrist,2017,CHO,81,"2,347.00",-1.75,3.1,1.35,6.4
Nikola Vucevic,2017,ORL,75,"2,156.40",-0.39,1.71,1.32,5.8
JaVale McGee,2017,GSW,93,882.8,1.49,-0.18,1.31,2.3
Markieff Morris,2017,WAS,89,"2,739.90",-0.6,1.9,1.3,7.3
Nerlens Noel,2017,TOT,51,"1,042.60",-0.37,1.68,1.3,2.8
Patty Mills,2017,SAS,96,"2,159.20",1.59,-0.31,1.28,5.7
Jeff Teague,2017,IND,86,"2,789.70",1.73,-0.47,1.27,7.3
Dewayne Dedmon,2017,SAS,88,"1,419.90",-1.92,3.17,1.26,3.8
Zaza Pachulia,2017,GSW,85,"1,483.00",-0.37,1.6,1.24,3.9
Nikola Mirotic,2017,CHI,76,"1,835.90",0.91,0.32,1.23,4.8
Ish Smith,2017,DET,81,"1,949.50",0.27,0.95,1.22,5.1
Dirk Nowitzki,2017,DAL,54,"1,419.10",0.28,0.92,1.2,3.7
Mason Plumlee,2017,TOT,81,"2,139.70",1.02,0.16,1.18,5.5
Tyson Chandler,2017,PHO,47,"1,294.10",0.16,1.02,1.18,3.3
Nicolas Batum,2017,CHO,77,"2,608.00",0.79,0.38,1.17,6.7
Tim Hardaway,2017,ATL,85,"2,341.00",1.41,-0.24,1.17,6
Amir Johnson,2017,BOS,94,"1,745.00",-0.5,1.66,1.16,4.5
Gary Harris,2017,DEN,57,"1,776.40",2.86,-1.72,1.13,4.5
Khris Middleton,2017,MIL,35,"1,114.10",0.29,0.84,1.13,2.8
Tobias Harris,2017,DET,82,"2,561.60",0.38,0.69,1.07,6.4
Nene Hilario,2017,HOU,76,"1,355.30",-0.54,1.6,1.06,3.4
Beno Udrih,2017,DET,39,559.3,0.14,0.91,1.05,1.4
Reggie Bullock,2017,DET,31,466.1,-0.22,1.27,1.05,1.2
Shawn Long,2017,PHI,18,232.7,1.39,-0.35,1.04,0.6
Maurice Harkless,2017,POR,81,"2,313.10",0.99,0.01,1,5.7
Ricky Rubio,2017,MIN,75,"2,461.90",1.1,-0.09,1,6
Terrence Ross,2017,TOT,78,"1,948.10",1.51,-0.51,1,4.8
Kyle Anderson,2017,SAS,87,"1,207.40",-1.31,2.29,0.97,3
Dwight Howard,2017,ATL,80,"2,344.30",-1.26,2.19,0.93,5.7
Fred VanVleet,2017,TOR,44,322.6,-1.08,2.01,0.93,0.8
Devin Harris,2017,DAL,65,"1,081.90",0.54,0.38,0.92,2.6
Gorgui Dieng,2017,MIN,82,"2,645.30",-0.96,1.87,0.91,6.3
Brook Lopez,2017,BRK,75,"2,213.20",1.05,-0.15,0.9,5.3
CJ McCollum,2017,POR,84,"2,924.50",1.95,-1.07,0.88,6.9
Marcin Gortat,2017,WAS,95,"2,954.30",0.12,0.71,0.83,6.9
Jrue Holiday,2017,NOP,67,"2,180.00",0.02,0.8,0.82,5.1
Tarik Black,2017,LAL,67,"1,087.00",-1.01,1.78,0.77,2.5
Joe Ingles,2017,UTA,93,"2,294.00",0.41,0.31,0.72,5.2
Shabazz Napier,2017,POR,57,556.6,0.58,0.11,0.69,1.3
Vince Carter,2017,MEM,79,"1,984.00",0.25,0.42,0.67,4.4
J.J. Barea,2017,DAL,35,768.1,1.25,-0.62,0.63,1.7
Aaron Gordon,2017,ORL,80,"2,292.30",1.37,-0.77,0.6,5
Kristaps Porzingis,2017,NYK,66,"2,158.80",-0.33,0.91,0.58,4.7
Tyus Jones,2017,MIN,60,772.4,0.24,0.34,0.57,1.7
Justin Holiday,2017,NYK,82,"1,631.80",-0.76,1.3,0.54,3.5
Larry Nance,2017,LAL,63,"1,435.50",-0.81,1.33,0.52,3.1
Stanley Johnson,2017,DET,77,"1,368.30",-1.46,1.96,0.5,2.9
Tyler Johnson,2017,MIA,73,"2,168.30",-0.43,0.93,0.5,4.6
Jared Dudley,2017,PHO,64,"1,360.40",-1.09,1.56,0.47,2.9
Kyle O'Quinn,2017,NYK,79,"1,224.10",-1.06,1.52,0.46,2.6
Pierre Jackson,2017,DAL,8,84.1,0.16,0.29,0.45,0.2
Victor Oladipo,2017,OKC,72,"2,392.80",-0.84,1.27,0.43,5
Lou Williams,2017,TOT,92,"2,257.40",2.11,-1.71,0.4,4.6
Thabo Sefolosha,2017,ATL,66,"1,593.10",-1.42,1.82,0.4,3.3
Raul Neto,2017,UTA,49,403.4,-0.94,1.33,0.39,0.8
Andre Iguodala,2017,GSW,92,"2,403.50",0.39,-0.02,0.37,4.9
DeMarre Carroll,2017,TOR,82,"2,030.10",-0.01,0.36,0.36,4.1
Chris McCullough,2017,TOT,16,80.7,0.14,0.16,0.31,0.2
David Nwaba,2017,LAL,20,395.3,-1.2,1.51,0.31,0.8
Thaddeus Young,2017,IND,78,"2,367.20",-0.67,0.96,0.28,4.7
Seth Curry,2017,DAL,70,"2,021.60",0.34,-0.08,0.26,4
Dion Waiters,2017,MIA,46,"1,376.60",0.34,-0.1,0.24,2.7
Jameer Nelson,2017,DEN,75,"2,038.20",0.4,-0.18,0.22,4
Willie Reed,2017,MIA,71,"1,026.50",-0.81,1.04,0.22,2
Al-Farouq Aminu,2017,POR,65,"1,876.50",-1.14,1.35,0.21,3.6
Caris LeVert,2017,BRK,57,"1,230.90",0.33,-0.12,0.21,2.4
Thon Maker,2017,MIL,63,677.9,-0.71,0.92,0.21,1.3
Danny Green,2017,SAS,84,"2,231.40",-0.81,1.02,0.2,4.3
Tristan Thompson,2017,CLE,96,"2,888.90",-0.72,0.86,0.14,5.4
Norman Powell,2017,TOR,85,"1,589.00",-0.11,0.23,0.12,3
Marvin Williams,2017,CHO,76,"2,290.20",-0.73,0.83,0.1,4.3
Cole Aldrich,2017,MIN,62,528.1,-1.93,2.01,0.07,1
Jeff Withey,2017,UTA,54,451.2,-0.53,0.6,0.07,0.8
Jerian Grant,2017,CHI,68,"1,077.40",-0.29,0.35,0.05,2
Malik Beasley,2017,DEN,22,164.1,-0.3,0.35,0.05,0.3
Eric Gordon,2017,HOU,86,"2,674.50",0.88,-0.85,0.03,4.8
Joel Bolomboy,2017,UTA,14,61.7,-0.07,0.09,0.02,0.1
John Jenkins,2017,PHO,4,12.9,0.01,0,0.02,0
John Lucas III,2017,MIN,5,10.7,-0.02,0.04,0.02,0
Goran Dragic,2017,MIA,73,"2,448.60",1.55,-1.55,0.01,4.4
Jonas Valanciunas,2017,TOR,90,"2,283.80",0.04,-0.04,0,4.1
Danuel House,2017,WAS,1,0.8,-0.01,0,-0.01,0
Evan Fournier,2017,ORL,68,"2,226.50",-0.23,-0.78,-1,2.5
Joakim Noah,2017,NYK,46,"1,012.90",-0.69,0.68,-0.01,1.8
Ron Baker,2017,NYK,52,853.6,-1.78,0.78,-1,1
Brice Johnson,2017,LAC,3,9.3,-0.03,0.01,-0.02,0
Jarnell Stokes,2017,DEN,2,6.7,-0.02,0,-0.02,0
Lamar Patterson,2017,ATL,5,40.3,-0.15,0.13,-0.02,0.1
Michael Gbinije,2017,DET,9,31.7,-0.04,0.02,-0.02,0.1
Bruno Caboclo,2017,TOR,9,40.5,-0.13,0.1,-0.03,0.1
Elijah Millsap,2017,PHO,2,23.1,-0.07,0.04,-0.03,0
Jordan Farmar,2017,SAC,2,35.4,0.03,-0.06,-0.03,0.1
Tiago Splitter,2017,PHI,8,75.5,0.03,-0.06,-0.03,0.1
Ben Bentil,2017,DAL,3,9.6,-0.03,-0.01,-0.04,0
Demetrius Jackson,2017,BOS,5,16.9,-0.05,0.01,-0.04,0
Derrick Favors,2017,UTA,61,"1,404.90",-1.19,1.15,-0.04,2.5
Gary Neal,2017,ATL,2,18.3,-0.08,0.03,-0.05,0
R.J. Hunter,2017,CHI,3,9.2,-0.05,0,-0.05,0
Jarell Eddie,2017,PHO,5,62.1,-0.18,0.12,-0.06,0.1
Steve Novak,2017,MIL,8,22,-0.04,-0.03,-0.07,0
Edy Tavares,2017,TOT,2,27.6,-0.14,0.04,-0.09,0.1
Justin Harper,2017,PHI,3,31.2,-0.06,-0.03,-0.09,0.1
Adreian Payne,2017,MIN,18,135.2,-0.59,0.48,-0.1,0.2
Josh Huestis,2017,OKC,2,30.6,-0.06,-0.05,-0.1,0.1
Larry Sanders,2017,CLE,5,12.8,-0.09,-0.02,-0.11,0
Tony Allen,2017,MEM,71,"1,903.60",-1.22,1.11,-0.11,3.3
Greivis Vasquez,2017,BRK,3,38.3,-0.11,-0.01,-0.12,0.1
Kenneth Faried,2017,DEN,61,"1,291.80",0.1,-0.22,-0.12,2.2
Rondae Hollis-Jefferson,2017,BRK,78,"1,755.20",-1.33,1.22,-0.12,3
Jordan Hill,2017,MIN,7,46.3,-0.2,0.07,-0.13,0.1
Jusuf Nurkic,2017,TOT,66,"1,401.60",-1.77,1.63,-0.13,2.4
Thomas Robinson,2017,LAL,48,557.4,-0.52,0.4,-0.13,1
Aaron Harrison,2017,CHO,5,16.6,-0.11,-0.04,-0.14,0
Ryan Kelly,2017,ATL,16,109.3,-0.54,0.41,-0.14,0.2
Josh Richardson,2017,MIA,53,"1,609.00",-0.98,0.82,-0.15,2.7
Manny Harris,2017,DAL,4,24.8,-0.09,-0.06,-0.15,0
Marcus Smart,2017,BOS,97,"2,927.70",-1.13,0.97,-0.16,4.9
Archie Goodwin,2017,TOT,15,213.4,0.19,-0.35,-0.17,0.4
Jarrett Jack,2017,NOP,2,33.1,-0.16,-0.01,-0.17,0.1
Jon Leuer,2017,DET,75,"1,939.10",-1.26,1.1,-0.17,3.3
Wayne Ellington,2017,MIA,62,"1,494.50",0.97,-1.14,-0.17,2.5
Ersan Ilyasova,2017,TOT,88,"2,219.50",-0.15,-0.04,-0.19,3.7
Spencer Dinwiddie,2017,BRK,59,"1,325.90",-0.87,0.68,-0.19,2.2
Tony Parker,2017,SAS,71,"1,791.40",-0.16,-0.04,-0.19,3
Malcolm Brogdon,2017,MIL,81,"2,156.10",0.64,-0.85,-0.2,3.6
Mike Tobey,2017,CHO,2,25,-0.19,0,-0.2,0
Arinze Onuaku,2017,ORL,8,28.3,-0.16,-0.05,-0.21,0.1
Ronnie Price,2017,PHO,14,134.5,-0.43,0.22,-0.21,0.2
JaMychal Green,2017,MEM,83,"2,210.60",-0.91,0.68,-0.22,3.6
Darren Collison,2017,SAC,68,"2,054.50",0.84,-1.07,-0.23,3.4
Andrew Bogut,2017,TOT,27,581.3,-3.94,3.7,-0.24,0.9
Tim Quarterman,2017,POR,18,86.8,-0.35,0.1,-0.24,0.1
P.J. Tucker,2017,TOT,91,"2,478.50",-1.65,1.4,-0.25,4
Willy Hernangomez,2017,NYK,72,"1,319.10",-0.42,0.18,-0.25,2.2
Marcus Georges-Hunt,2017,ORL,5,47.6,-0.22,-0.03,-0.26,0.1
Maurice Ndour,2017,NYK,32,330.3,-1.61,1.36,-0.26,0.5
LaMarcus Aldridge,2017,SAS,88,"2,859.00",-0.1,-0.19,-0.28,4.6
Patricio Garino,2017,ORL,5,43.2,-0.22,-0.06,-0.28,0.1
Axel Toupane,2017,TOT,4,47.5,-0.21,-0.09,-0.3,0.1
Derrick Jones,2017,PHO,32,544.7,-0.44,0.13,-0.31,0.9
Harrison Barnes,2017,DAL,79,"2,793.20",-0.65,0.34,-0.31,4.4
Alonzo Gee,2017,DEN,13,89.1,-0.48,0.16,-0.32,0.1
Metta World Peace,2017,LAL,25,160.1,-0.75,0.43,-0.32,0.3
Toney Douglas,2017,MEM,24,391.3,-0.65,0.33,-0.32,0.6
Diamond Stone,2017,LAC,7,24.4,-0.25,-0.08,-0.33,0
A.J. Hammons,2017,DAL,22,162.9,-0.74,0.4,-0.34,0.3
Brandan Wright,2017,MEM,30,457.8,-0.65,0.3,-0.35,0.7
Henry Ellenson,2017,DET,19,146.1,-0.44,0.1,-0.35,0.2
Quincy Acy,2017,TOT,38,554.3,-0.65,0.3,-0.35,0.9
Andre Drummond,2017,DET,81,"2,404.70",-0.71,0.35,-0.36,3.7
Dwyane Wade,2017,CHI,66,"1,978.20",-0.45,0.09,-0.36,3.1
Dahntay Jones,2017,CLE,11,45.5,-0.25,-0.12,-0.37,0.1
Jerryd Bayless,2017,PHI,3,71.5,-0.25,-0.13,-0.37,0.1
Malachi Richardson,2017,SAC,22,197,-0.5,0.14,-0.37,0.3
Richaun Holmes,2017,PHI,57,"1,184.60",0.12,-0.5,-0.38,1.8
Sasha Vujacic,2017,NYK,42,407.1,-1.2,0.82,-0.38,0.6
Serge Ibaka,2017,TOT,89,"2,721.80",-0.95,0.55,-0.41,4.1
Jason Terry,2017,MIL,80,"1,426.60",-0.93,0.49,-0.44,2.1
Davis Bertans,2017,SAS,80,915.7,-0.73,0.26,-0.46,1.4
Taj Gibson,2017,TOT,83,"2,099.60",-1.08,0.62,-0.46,3.1
C.J. Miles,2017,IND,80,"1,854.40",0.32,-0.78,-0.47,2.8
Terry Rozier,2017,BOS,91,"1,534.80",-1.84,1.35,-0.48,2.3
Christian Wood,2017,CHO,13,106.5,-0.43,-0.06,-0.49,0.2
Mike Miller,2017,DEN,20,149.8,-0.72,0.23,-0.49,0.2
Reggie Williams,2017,NOP,6,79.5,-0.38,-0.14,-0.52,0.1
Alex Poythress,2017,PHI,6,156.3,0.13,-0.67,-0.54,0.2
Channing Frye,2017,CLE,86,"1,546.30",0.38,-0.92,-0.54,2.2
Mindaugas Kuzminskas,2017,NYK,68,"1,010.70",-0.36,-0.18,-0.54,1.4
Terrence Jones,2017,TOT,54,"1,262.80",-1.02,0.47,-0.56,1.8
Anthony Bennett,2017,BRK,23,263.2,0.73,-1.31,-0.57,0.4
Chasson Randle,2017,TOT,26,297.5,0.24,-0.82,-0.58,0.4
Johnny O'Bryant,2017,TOT,11,80.3,-0.31,-0.27,-0.58,0.1
Marshall Plumlee,2017,NYK,21,170,-0.44,-0.14,-0.58,0.2
Chinanu Onuaku,2017,HOU,5,51.7,-0.33,-0.26,-0.59,0.1
Nick Young,2017,LAL,60,"1,552.30",0.98,-1.57,-0.59,2.2
DeMar DeRozan,2017,TOR,84,"2,982.80",1.52,-2.13,-0.61,4.1
Mike Muscala,2017,ATL,76,"1,309.80",-0.92,0.31,-0.61,1.8
Skal Labissiere,2017,SAC,33,611,-0.54,-0.06,-0.61,0.9
Isaiah Taylor,2017,HOU,7,61.3,-0.43,-0.19,-0.62,0.1
Jeremy Lamb,2017,CHO,62,"1,137.00",0.25,-0.88,-0.63,1.6
Malcolm Delaney,2017,ATL,74,"1,242.50",-1.78,1.15,-0.63,1.7
Nemanja Bjelica,2017,MIN,65,"1,186.10",-1.81,1.17,-0.64,1.6
Dwight Powell,2017,DAL,77,"1,327.10",-0.02,-0.64,-0.65,1.8
Kyle Wiltjer,2017,HOU,15,49.5,-0.49,-0.16,-0.65,0.1
Rajon Rondo,2017,CHI,71,"1,902.30",-0.61,-0.04,-0.65,2.6
Andrew Wiggins,2017,MIN,82,"3,037.20",1.96,-2.62,-0.66,4.1
Jared Sullinger,2017,TOR,11,116.8,-0.79,0.13,-0.66,0.2
Kosta Koufos,2017,SAC,71,"1,410.70",-2,1.33,-0.66,1.9
Darrell Arthur,2017,DEN,41,635.1,-0.87,0.2,-0.67,0.9
Georges Niang,2017,IND,23,93.3,-0.51,-0.16,-0.67,0.1
Corey Brewer,2017,TOT,82,"1,276.90",-1.64,0.96,-0.68,1.7
Stephen Zimmerman,2017,ORL,19,107.7,-0.57,-0.11,-0.68,0.1
Anthony Brown,2017,TOT,11,158.5,-0.61,-0.08,-0.69,0.2
Jamal Murray,2017,DEN,82,"1,756.00",-0.45,-0.24,-0.69,2.4
Marcelo Huertas,2017,LAL,23,235.7,-0.82,0.13,-0.69,0.3
Jakob Poltl,2017,TOR,60,649.8,-2.12,1.41,-0.71,0.9
Chris Andersen,2017,CLE,12,113.7,-0.77,0.05,-0.72,0.2
Ty Lawson,2017,SAC,69,"1,724.00",-0.01,-0.71,-0.72,2.3
Ivica Zubac,2017,LAL,38,606.4,-0.86,0.13,-0.73,0.8
Jarrod Uthoff,2017,DAL,9,114.4,-0.33,-0.39,-0.73,0.2
Marcus Morris,2017,DET,79,"2,559.90",-0.79,0.05,-0.73,3.3
John Henson,2017,MIL,60,"1,129.40",-1.5,0.77,-0.74,1.5
Frank Kaminsky,2017,CHO,75,"1,944.00",0.45,-1.2,-0.75,2.5
C.J. Wilcox,2017,ORL,22,107.2,-0.54,-0.22,-0.76,0.1
Jabari Parker,2017,MIL,51,"1,718.60",0.8,-1.56,-0.76,2.2
Luke Babbitt,2017,MIA,68,"1,060.00",-1.32,0.56,-0.76,1.4
Robin Lopez,2017,CHI,87,"2,425.30",-0.82,0.06,-0.76,3.1
Luol Deng,2017,LAL,56,"1,481.00",-1.57,0.8,-0.77,1.9
J.R. Smith,2017,CLE,59,"1,669.30",-0.07,-0.71,-0.78,2.2
Rodney Hood,2017,UTA,70,"1,864.80",-0.5,-0.28,-0.78,2.4
Leandro Barbosa,2017,PHO,67,962.2,-0.63,-0.18,-0.81,1.2
Mirza Teletovic,2017,MIL,73,"1,156.10",-0.4,-0.41,-0.81,1.5
D'Angelo Russell,2017,LAL,63,"1,804.40",0.83,-1.66,-0.83,2.3
Gary Payton,2017,MIL,6,99.2,-0.75,-0.1,-0.84,0.1
Cristiano Felicio,2017,CHI,72,"1,119.60",-1.42,0.58,-0.85,1.4
Pascal Siakam,2017,TOR,57,866.4,-2.09,1.23,-0.85,1.1
Solomon Hill,2017,NOP,80,"2,366.10",-1.46,0.6,-0.85,2.9
Michael Carter-Williams,2017,CHI,50,897.9,-1.99,1.12,-0.86,1.1
T.J. McConnell,2017,PHI,81,"2,122.20",-1.16,0.28,-0.88,2.5
Jonathon Simmons,2017,SAS,93,"1,692.80",-2.08,1.19,-0.89,2
Taurean Waller-Prince,2017,ATL,65,"1,162.30",-2.68,1.79,-0.89,1.4
Wilson Chandler,2017,DEN,71,"2,187.90",0.48,-1.37,-0.89,2.7
Yogi Ferrell,2017,TOT,46,"1,192.60",-0.1,-0.79,-0.89,1.4
Jordan Crawford,2017,NOP,19,440.5,1.85,-2.75,-0.91,0.5
Joel Anthony,2017,SAS,22,137.1,-1.09,0.18,-0.92,0.2
Kris Humphries,2017,ATL,57,687.9,-1.86,0.95,-0.92,0.8
Tyler Ennis,2017,TOT,53,585.8,-1.61,0.67,-0.94,0.7
Jodie Meeks,2017,ORL,36,735.2,0.09,-1.04,-0.95,0.9
Okaro White,2017,MIA,35,468.6,-0.94,-0.02,-0.95,0.6
Daniel Ochefu,2017,WAS,23,80.1,-0.67,-0.3,-0.96,0.1
Dante Cunningham,2017,NOP,66,"1,639.60",-0.76,-0.22,-0.98,1.9
Kelly Olynyk,2017,BOS,93,"1,877.00",-1.69,0.71,-0.98,2.1
Michael Beasley,2017,MIL,60,978.1,-0.6,-0.39,-0.99,1.1
Carmelo Anthony,2017,NYK,74,"2,530.60",1.33,-2.34,-1.01,2.9
Tyreke Evans,2017,TOT,40,784.1,-1.14,0.11,-1.03,0.9
Kent Bazemore,2017,ATL,79,"2,102.70",-1,-0.05,-1.05,2.3
Tim Frazier,2017,NOP,65,"1,519.10",-0.69,-0.41,-1.09,1.6
Juan Hernangomez,2017,DEN,62,838.9,-0.85,-0.25,-1.1,0.9
Anthony Tolliver,2017,SAC,65,"1,469.20",-0.22,-0.88,-1.11,1.6
Dorian Finney-Smith,2017,DAL,81,"1,636.10",-1.28,0.16,-1.11,1.7
Jonas Jerebko,2017,BOS,90,"1,354.80",-1.2,0.08,-1.12,1.4
Will Barton,2017,DEN,60,"1,700.70",-0.31,-0.82,-1.13,1.8
Garrett Temple,2017,SAC,65,"1,720.20",-0.77,-0.37,-1.14,1.8
Wesley Matthews,2017,DAL,73,"2,485.70",-0.89,-0.25,-1.14,2.5
Mike Scott,2017,ATL,18,194.5,-1.31,0.16,-1.15,0.2
Kentavious Caldwell-Pope,2017,DET,76,"2,522.70",0.16,-1.32,-1.16,2.6
Timothe Luwawu-Cabarrot,2017,PHI,69,"1,185.40",-1.15,-0.01,-1.16,1.2
Deron Williams,2017,TOT,82,"1,913.90",-0.53,-0.65,-1.18,1.9
Devin Booker,2017,PHO,78,"2,724.90",1.01,-2.18,-1.18,2.8
Jordan Mickey,2017,BOS,27,158.4,-1.15,-0.02,-1.18,0.2
Luis Scola,2017,BRK,36,458.6,-0.24,-0.95,-1.19,0.5
Nick Collison,2017,OKC,20,126.5,-0.9,-0.29,-1.19,0.1
Ian Mahinmi,2017,WAS,36,614.2,-2.77,1.57,-1.2,0.6
Sergio Rodriguez,2017,PHI,68,"1,509.40",-0.47,-0.74,-1.2,1.5
Willie Cauley-Stein,2017,SAC,75,"1,414.80",-1.39,0.19,-1.2,1.4
Jake Layman,2017,POR,37,264.2,-1.84,0.64,-1.21,0.3
Montrezl Harrell,2017,HOU,63,"1,080.70",-0.06,-1.16,-1.21,1.1
James Young,2017,BOS,39,258.4,-1.47,0.21,-1.26,0.2
Joe Young,2017,IND,33,135.2,-0.87,-0.38,-1.26,0.1
Pat Connaughton,2017,POR,42,338.1,-1.12,-0.15,-1.27,0.3
Cheick Diallo,2017,NOP,17,198.8,-0.66,-0.64,-1.29,0.2
Anderson Varejao,2017,GSW,14,91.7,-0.87,-0.43,-1.3,0.1
James Ennis,2017,MEM,70,"1,652.80",-1.67,0.35,-1.32,1.5
Roy Hibbert,2017,TOT,48,679.9,-2.27,0.95,-1.32,0.6
Udonis Haslem,2017,MIA,16,129.5,-1.26,-0.08,-1.34,0.1
Langston Galloway,2017,TOT,74,"1,485.90",-0.87,-0.48,-1.36,1.3
Justise Winslow,2017,MIA,18,623.6,-2.19,0.81,-1.38,0.5
Nicolas Brussino,2017,DAL,54,519.9,-0.59,-0.79,-1.38,0.5
Cory Joseph,2017,TOR,90,"2,208.30",-0.72,-0.68,-1.4,1.9
Joe Johnson,2017,UTA,89,"2,158.80",0.18,-1.58,-1.4,1.9
Justin Anderson,2017,TOT,75,"1,221.60",-0.28,-1.12,-1.4,1.1
Derrick Rose,2017,NYK,64,"2,074.60",0.95,-2.36,-1.41,1.8
Deyonta Davis,2017,MEM,39,248.6,-2.05,0.64,-1.41,0.2
K.J. McDaniels,2017,TOT,49,502.9,-1.51,0.09,-1.42,0.4
Dragan Bender,2017,PHO,43,573,-1.67,0.23,-1.43,0.5
Troy Daniels,2017,MEM,73,"1,246.80",-0.2,-1.26,-1.46,1
Kris Dunn,2017,MIN,78,"1,327.90",-2.55,1.07,-1.48,1.1
