Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
LeBron James,2017,CLE,92,"3,528.10",7.33,1.08,8.42,23.8
Stephen Curry,2017,GSW,96,"3,225.60",8.21,0.11,8.32,21.6
Chris Paul,2017,LAC,68,"2,176.00",5.24,2.65,7.88,14.3
Russell Westbrook,2017,OKC,86,"2,983.40",5.74,1.04,6.78,18
Draymond Green,2017,GSW,93,"3,051.40",2.1,4.5,6.59,17.9
Kevin Durant,2017,GSW,77,"2,592.50",5.3,0.63,5.93,14.1
Kawhi Leonard,2017,SAS,86,"2,891.30",5.44,0.43,5.87,15.9
DeAndre Jordan,2017,LAC,88,"2,828.30",2.39,3.38,5.77,15.3
Rudy Gobert,2017,UTA,90,"2,977.40",0.99,4.44,5.42,15.8
Nikola Jokic,2017,DEN,73,"2,031.50",4.21,0.65,4.86,9.8
James Harden,2017,HOU,92,"3,343.00",5.64,-0.95,4.69,15.8
Blake Griffin,2017,LAC,64,"2,168.50",3.66,0.95,4.61,10.2
Kyle Lowry,2017,TOR,68,"2,534.70",3.96,0.61,4.57,12
Jimmy Butler,2017,CHI,82,"3,037.40",3.17,1.24,4.41,14.2
Anthony Davis,2017,NOP,75,"2,697.90",1.2,2.9,4.1,12.2
Mike Conley,2017,MEM,75,"2,507.70",4.05,-0.1,3.95,10.9
Joel Embiid,2017,PHI,31,783.2,0.83,2.94,3.76,3.4
Kevin Love,2017,CLE,78,"2,462.10",2.67,1.05,3.72,10.2
Giannis Antetokounmpo,2017,MIL,86,"3,076.00",1.69,1.89,3.58,12.7
Kemba Walker,2017,CHO,79,"2,730.00",3.55,0,3.54,11.2
George Hill,2017,UTA,57,"1,819.10",2.02,1.15,3.17,7.1
Jae Crowder,2017,BOS,90,"2,919.20",2.55,0.54,3.09,11
DeMarcus Cousins,2017,TOT,72,"2,455.50",2.7,0.17,2.87,9
John Wall,2017,WAS,91,"3,330.70",3.74,-0.93,2.81,12
Myles Turner,2017,IND,85,"2,666.60",0.59,2.18,2.77,9.6
Lucas Nogueira,2017,TOR,60,"1,091.70",-0.23,2.87,2.65,3.8
Paul Millsap,2017,ATL,75,"2,551.20",0.92,1.73,2.65,9.1
