Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Cody Zeller,2014,CHA,86,"1,464.80",-2.12,0.24,-1.88,0.5
Jeremy Tyler,2014,NYK,41,398.9,-1.54,-0.34,-1.88,0.2
Martell Webster,2014,WAS,89,"2,343.20",-0.21,-1.67,-1.88,0.9
Will Bynum,2014,DET,56,"1,051.10",-0.78,-1.11,-1.89,0.4
Carl Landry,2014,SAC,18,233.4,-1,-0.9,-1.9,0.1
Carlos Boozer,2014,CHI,81,"2,255.40",-2.63,0.73,-1.91,0.7
Andrew Bynum,2014,TOT,26,513.9,-1.96,0.03,-1.93,0.2
Hasheem Thabeet,2014,OKC,25,200.2,-2.16,0.22,-1.94,0.1
Kyle Singler,2014,DET,82,"2,328.90",-0.9,-1.04,-1.94,0.8
Jason Maxiell,2014,ORL,34,486.8,-2.08,0.13,-1.95,0.2
Norris Cole,2014,MIA,102,"2,409.40",-1.35,-0.6,-1.95,0.8
Mirza Teletovic,2014,BRK,84,"1,613.00",1.03,-2.98,-1.96,0.6
Jeff Green,2014,BOS,82,"2,801.30",-1.46,-0.51,-1.97,0.8
Diante Garrett,2014,UTA,71,"1,044.90",-2.19,0.21,-1.98,0.3
Pau Gasol,2014,LAL,60,"1,881.70",-0.53,-1.45,-1.98,0.6
Toure' Murry,2014,NYK,51,375.6,-1.61,-0.37,-1.98,0.1
Gal Mekel,2014,DAL,31,290,-1.54,-0.45,-1.99,0.1
Derrick Rose,2014,CHI,10,309.8,-1.02,-0.98,-2,0.1
Monta Ellis,2014,DAL,89,"3,258.30",0.48,-2.48,-2,1.1
Andre Roberson,2014,OKC,42,409.6,-2.35,0.32,-2.03,0.1
Arron Afflalo,2014,ORL,73,"2,545.80",0.08,-2.13,-2.06,0.6
Al Harrington,2014,WAS,40,568.1,-0.94,-1.13,-2.07,0.1
Darius Morris,2014,TOT,27,312,-2.15,0.08,-2.07,0.1
James Anderson,2014,PHI,80,"2,304.40",-1.57,-0.49,-2.07,0.5
Beno Udrih,2014,TOT,48,757.4,-0.76,-1.35,-2.11,0.2
Jorge Gutierrez,2014,BRK,17,248.3,-1.17,-0.94,-2.11,0.1
Hollis Thompson,2014,PHI,77,"1,738.40",-1.06,-1.07,-2.13,0.4
Chauncey Billups,2014,DET,19,308.5,-1.71,-0.44,-2.15,0.1
Derrick Williams,2014,TOT,78,"1,815.10",-1.11,-1.04,-2.15,0.4
Richard Jefferson,2014,UTA,82,"2,207.70",-1.23,-0.93,-2.16,0.4
Alan Anderson,2014,BRK,90,"2,029.40",-1.15,-1.03,-2.18,0.4
Michael Beasley,2014,MIA,59,853.1,-0.9,-1.3,-2.19,0.2
Perry Jones,2014,OKC,73,821.7,-1.54,-0.65,-2.19,0.1
Willie Green,2014,LAC,60,886.1,-2.41,0.22,-2.19,0.1
Brian Roberts,2014,NOP,72,"1,664.30",-0.54,-1.67,-2.21,0.3
Trevor Booker,2014,WAS,81,"1,694.20",-0.36,-1.84,-2.21,0.3
Wesley Johnson,2014,LAL,79,"2,235.40",-1.67,-0.61,-2.28,0.3
Jarrett Jack,2014,CLE,80,"2,249.40",-1.44,-0.86,-2.3,0.2
Quincy Acy,2014,TOT,63,844.7,-1.55,-0.78,-2.32,0.1
Alonzo Gee,2014,CLE,65,"1,017.70",-2.23,-0.11,-2.33,0.1
Brandon Bass,2014,BOS,82,"2,264.50",-1.82,-0.52,-2.34,0.1
Cartier Martin,2014,TOT,62,882.8,-1.57,-0.78,-2.34,0
