Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Stephen Curry,2015,GSW,101,"3,425.90",6.41,1.73,8.14,23.5
Chris Paul,2015,LAC,94,"3,288.60",6.48,0.57,7.05,20.3
LeBron James,2015,CLE,89,"3,320.90",4.79,1.83,6.62,19.9
Draymond Green,2015,GSW,100,"3,260.60",2.66,3.63,6.29,19.1
Anthony Davis,2015,NOP,72,"2,617.30",3.42,2.52,5.94,14.7
DeAndre Jordan,2015,LAC,96,"3,289.60",3.03,2.66,5.69,17.8
Kawhi Leonard,2015,SAS,71,"2,272.30",2.31,2.77,5.08,11.8
Russell Westbrook,2015,OKC,67,"2,294.60",5.54,-0.8,4.73,11.2
James Harden,2015,HOU,98,"3,606.40",6.27,-1.72,4.55,17.2
Kevin Durant,2015,OKC,27,907.10,3.18,1.15,4.33,4.3
Danny Green,2015,SAS,88,"2,505.80",2.01,2.24,4.25,11.7
George Hill,2015,IND,43,"1,263.70",3.2,0.95,4.16,5.8
Kyle Korver,2015,ATL,89,"2,932.90",2.7,1.41,4.1,13.3
Klay Thompson,2015,GSW,98,"3,202.40",3.78,0.29,4.07,14.4
John Wall,2015,WAS,86,"3,092.50",1.86,2.12,3.99,14
Tony Allen,2015,MEM,73,"1,919.90",-0.36,3.96,3.59,8.2
DeMarcus Cousins,2015,SAC,59,"2,003.60",1.04,2.29,3.33,8.1
Paul Millsap,2015,ATL,89,"2,941.60",2.16,1.1,3.26,11.7
Marcin Gortat,2015,WAS,92,"2,745.40",0.4,2.79,3.18,11
Khris Middleton,2015,MIL,85,"2,599.70",0.78,2.31,3.09,10.3
Kyrie Irving,2015,CLE,88,"3,178.90",4.13,-1.08,3.06,12.1
Kevin Love,2015,CLE,79,"2,624.50",2.55,0.46,3.01,10
Tim Duncan,2015,SAS,84,"2,465.20",0.85,2.16,3,9.5
Blake Griffin,2015,LAC,81,"2,901.40",3.42,-0.56,2.87,10.7
Jeff Teague,2015,ATL,89,"2,742.80",2.13,0.71,2.84,10.2
Dwight Howard,2015,HOU,58,"1,790.40",0.16,2.58,2.74,6.6
Tyson Chandler,2015,DAL,80,"2,435.90",0.75,1.97,2.72,8.8
Rudy Gobert,2015,UTA,82,"2,145.10",-1.24,3.95,2.71,7.9
Hassan Whiteside,2015,MIA,48,"1,138.50",0.72,1.97,2.69,4.1
Michael Kidd-Gilchrist,2015,CHO,55,"1,582.50",-0.39,3.08,2.68,5.9
Jimmy Butler,2015,CHI,77,"3,008.80",2.35,0.31,2.66,10.8
Andrew Bogut,2015,GSW,86,"2,015.10",-1.02,3.65,2.63,7.3
Gordon Hayward,2015,UTA,76,"2,603.40",2.55,-0.09,2.47,9.1
Lou Williams,2015,TOR,84,"2,110.60",3.93,-1.47,2.47,7.2
Derrick Favors,2015,UTA,74,"2,268.80",1.07,1.38,2.45,7.9
C.J. Miles,2015,IND,70,"1,834.60",1.08,1.35,2.43,6.4
Zaza Pachulia,2015,MIL,79,"1,851.10",0.54,1.89,2.43,6.5
Wesley Matthews,2015,POR,60,"2,017.40",1.06,1.36,2.42,7
Eric Bledsoe,2015,PHO,81,"2,788.70",1,1.41,2.41,9.6
Kelly Olynyk,2015,BOS,68,"1,469.60",1.09,1.23,2.33,5
LaMarcus Aldridge,2015,POR,76,"2,710.40",2.38,-0.1,2.28,9.1
Kevin Garnett,2015,TOT,47,949.00,-0.68,2.94,2.26,3.2
Marc Gasol,2015,MEM,92,"3,091.70",1.44,0.8,2.25,10.3
Nikola Mirotic,2015,CHI,93,"1,810.80",0.93,1.3,2.23,6
Serge Ibaka,2015,OKC,64,"2,105.70",0.05,2.12,2.17,6.9
Zach Randolph,2015,MEM,82,"2,676.90",1.08,0.99,2.08,8.7
Damian Lillard,2015,POR,87,"3,115.00",3.14,-1.13,2.01,9.9
J.J. Redick,2015,LAC,92,"2,938.70",1.95,0.01,1.96,9.1
Ricky Rubio,2015,MIN,22,687.50,0.64,1.31,1.96,2.2
Andre Roberson,2015,OKC,67,"1,283.80",-0.83,2.76,1.93,4
Darren Collison,2015,SAC,45,"1,558.90",1.73,0.17,1.89,4.8
Kyle Lowry,2015,TOR,74,"2,537.70",1.6,0.26,1.86,7.7
Matt Barnes,2015,LAC,90,"2,670.30",1.19,0.66,1.85,8.1
Paul Pierce,2015,WAS,83,"2,200.50",0.64,1.21,1.85,6.8
Dirk Nowitzki,2015,DAL,82,"2,453.80",2.06,-0.23,1.84,7.4
Mike Dunleavy,2015,CHI,75,"2,219.80",0.56,1.26,1.83,6.8
Jrue Holiday,2015,NOP,43,"1,350.70",1.69,0.11,1.8,4.1
Ty Lawson,2015,DEN,75,"2,656.40",3.03,-1.25,1.78,8
Timofey Mozgov,2015,TOT,101,"2,565.20",-0.01,1.76,1.75,7.7
Al Horford,2015,ATL,92,"2,830.60",0.69,1.03,1.71,8.4
Al-Farouq Aminu,2015,DAL,79,"1,505.70",0.2,1.47,1.67,4.4
Mike Conley,2015,MEM,78,"2,458.30",1.66,0,1.66,7.2
Jonas Jerebko,2015,TOT,79,"1,291.50",0.57,1.09,1.65,3.8
Pau Gasol,2015,CHI,88,"2,987.20",0.84,0.8,1.64,8.7
Thabo Sefolosha,2015,ATL,52,968.30,-0.76,2.4,1.64,2.9
Tiago Splitter,2015,SAS,59,"1,149.80",0.27,1.36,1.63,3.4
Joel Anthony,2015,DET,48,405.6,-2.08,3.67,1.6,1.2
James Johnson,2015,TOR,72,"1,376.70",0.35,1.19,1.54,3.9
Brandon Jennings,2015,DET,41,"1,168.70",1.83,-0.34,1.49,3.3
Manu Ginobili,2015,SAS,77,"1,708.90",0.76,0.74,1.49,4.8
Cody Zeller,2015,CHO,62,"1,481.20",-0.45,1.89,1.44,4.2
Danilo Gallinari,2015,DEN,59,"1,422.20",1.29,0.14,1.44,4
Deron Williams,2015,BRK,74,"2,296.80",1.52,-0.09,1.43,6.4
Bradley Beal,2015,WAS,73,"2,511.40",0.98,0.44,1.42,7
Tyler Hansbrough,2015,TOR,78,"1,101.70",0.54,0.86,1.41,3
Kenneth Faried,2015,DEN,75,"2,079.50",1.47,-0.1,1.37,5.7
Markieff Morris,2015,PHO,82,"2,571.10",-0.22,1.58,1.36,7
Cory Jefferson,2015,BRK,49,529.80,-0.65,1.88,1.22,1.4
Trevor Ariza,2015,HOU,99,"3,572.80",-0.03,1.23,1.2,9.4
Marcus Smart,2015,BOS,71,"1,890.80",0.6,0.54,1.14,4.9
Jeremy Evans,2015,UTA,38,264.60,-0.02,1.15,1.13,0.7
Isaiah Thomas,2015,TOT,71,"1,838.10",3.51,-2.42,1.09,4.6
Patrick Patterson,2015,TOR,85,"2,254.70",2.26,-1.16,1.09,5.7
Robert Covington,2015,PHI,70,"1,943.80",0.63,0.46,1.09,5
Nicolas Batum,2015,POR,76,"2,579.30",0.91,0.17,1.08,6.5
Elfrid Payton,2015,ORL,82,"2,476.70",0.34,0.7,1.04,6.2
Bismack Biyombo,2015,CHO,64,"1,238.40",-1.23,2.27,1.03,3.1
Gerald Henderson,2015,CHO,80,"2,308.60",-0.47,1.49,1.02,5.8
Rudy Gay,2015,SAC,68,"2,399.20",2.05,-1.03,1.02,6
Chandler Parsons,2015,DAL,67,"2,214.70",1.52,-0.51,1.01,5.5
Lavoy Allen,2015,IND,63,"1,064.60",0.12,0.87,1,2.7
Dorell Wright,2015,POR,48,589.70,-0.12,1.1,0.98,1.5
Andre Drummond,2015,DET,82,"2,493.80",0.4,0.57,0.97,6.1
David West,2015,IND,66,"1,890.00",-0.32,1.29,0.97,4.7
Chris Andersen,2015,MIA,60,"1,127.40",-1.13,2.08,0.96,2.8
Nick Calathes,2015,MEM,67,958.90,-1.76,2.69,0.93,2.4
J.R. Smith,2015,TOT,88,"2,627.60",1.35,-0.45,0.9,6.3
Tyreke Evans,2015,NOP,83,"2,805.50",1.98,-1.08,0.9,6.7
Kentavious Caldwell-Pope,2015,DET,82,"2,578.90",1.09,-0.25,0.83,6.1
Luol Deng,2015,MIA,72,"2,411.90",2.17,-1.35,0.82,5.7
Brook Lopez,2015,BRK,78,"2,324.30",0.5,0.3,0.8,5.5
Al Jefferson,2015,CHO,65,"1,986.30",-0.58,1.37,0.79,4.7
Greg Monroe,2015,DET,69,"2,128.30",0.09,0.63,0.71,4.9
Jae Crowder,2015,TOT,86,"1,741.40",0.87,-0.16,0.71,4
Jeff Adrien,2015,MIN,17,214.80,-0.27,0.93,0.66,0.5
Luigi Datome,2015,TOT,24,222.50,0.35,0.31,0.66,0.5
Carmelo Anthony,2015,NYK,40,"1,420.60",3.11,-2.46,0.64,3.2
DeMarre Carroll,2015,ATL,86,"2,736.30",1.03,-0.41,0.62,6.1
Phil Pressey,2015,BOS,52,603.90,-0.61,1.22,0.61,1.4
Kemba Walker,2015,CHO,62,"2,112.40",0.53,0.07,0.59,4.7
Nene Hilario,2015,WAS,77,"1,941.10",-1.13,1.71,0.58,4.3
Joakim Noah,2015,CHI,79,"2,436.60",-0.83,1.39,0.56,5.3
Harrison Barnes,2015,GSW,103,"2,989.40",-0.12,0.62,0.5,6.4
Omer Asik,2015,NOP,80,"2,053.60",-1.3,1.79,0.49,4.4
Monta Ellis,2015,DAL,85,"2,884.70",1.24,-0.76,0.48,6.1
Quincy Miller,2015,TOT,10,119.10,-0.2,0.63,0.43,0.3
Ronnie Price,2015,LAL,43,977.50,-0.06,0.47,0.41,2
Jared Dudley,2015,MIL,78,"1,820.40",-0.58,0.98,0.4,3.8
Dewayne Dedmon,2015,ORL,59,839.80,-2.01,2.41,0.39,1.8
Derrick Rose,2015,CHI,63,"1,977.50",0.99,-0.62,0.38,4.1
C.J. Watson,2015,IND,57,"1,415.90",0.13,0.25,0.37,2.9
Reggie Jackson,2015,TOT,77,"2,256.30",1.06,-0.69,0.37,4.6
Ed Davis,2015,LAL,79,"1,833.70",0.16,0.21,0.36,3.8
Elijah Millsap,2015,UTA,47,917.00,-1.91,2.26,0.35,1.9
Chris Bosh,2015,MIA,44,"1,547.40",0.47,-0.14,0.34,3.2
Patty Mills,2015,SAS,58,910.8,0.8,-0.46,0.34,1.9
Anthony Morrow,2015,OKC,74,"1,794.10",1.35,-1.02,0.33,3.6
Brandan Wright,2015,TOT,75,"1,442.10",-0.04,0.36,0.32,2.9
CJ McCollum,2015,POR,67,"1,134.90",-0.86,1.18,0.32,2.3
Jared Sullinger,2015,BOS,62,"1,641.40",0.37,-0.07,0.31,3.3
Luis Scola,2015,IND,81,"1,651.20",-0.39,0.67,0.28,3.3
Anthony Tolliver,2015,TOT,76,"1,427.10",0.59,-0.35,0.24,2.8
Ian Mahinmi,2015,IND,61,"1,141.10",-1.94,2.18,0.24,2.3
Kosta Koufos,2015,MEM,92,"1,468.10",-2.12,2.36,0.23,2.9
Jusuf Nurkic,2015,DEN,62,"1,098.60",-2.11,2.31,0.2,2.1
Steven Adams,2015,OKC,70,"1,766.00",-1.13,1.32,0.19,3.4
Iman Shumpert,2015,TOT,82,"2,231.90",-0.25,0.43,0.18,4.3
Shayne Whittington,2015,IND,20,107.90,0.29,-0.12,0.17,0.2
Markel Brown,2015,BRK,49,788.80,-0.48,0.63,0.16,1.5
Ben McLemore,2015,SAC,82,"2,661.20",-0.16,0.31,0.15,5.1
Robin Lopez,2015,POR,64,"1,750.20",-0.57,0.71,0.15,3.3
Arinze Onuaku,2015,MIN,6,68.3,0.13,0,0.13,0.1
Ersan Ilyasova,2015,MIL,64,"1,455.90",0.89,-0.76,0.13,2.8
Sean Kilpatrick,2015,MIN,4,70.8,-0.01,0.14,0.13,0.1
Paul George,2015,IND,6,90.80,-0.01,0.13,0.12,0.2
Rodney Hood,2015,UTA,50,"1,059.40",-0.43,0.55,0.12,2
David Stockton,2015,SAC,3,33.1,0.03,0.07,0.1,0.1
Toney Douglas,2015,NOP,12,175.20,-0.35,0.45,0.1,0.3
Xavier Henry,2015,LAL,9,85,0.08,0.03,0.1,0.2
Cory Joseph,2015,SAS,83,"1,458.70",-0.5,0.58,0.09,2.7
Thaddeus Young,2015,TOT,82,"2,612.10",0.19,-0.11,0.08,4.8
Alexey Shved,2015,TOT,42,763.7,1.03,-0.95,0.07,1.4
J.J. Barea,2015,DAL,82,"1,508.80",1.52,-1.49,0.04,2.8
Chuck Hayes,2015,TOR,29,254.7,-0.46,0.49,0.03,0.5
Miroslav Raduljica,2015,MIN,5,22.9,-0.02,0.05,0.03,0
Nikola Pekovic,2015,MIN,31,811.3,-0.09,0.12,0.02,1.5
Patrick Beverley,2015,HOU,56,"1,721.60",-0.06,0.07,0.01,3.1
Ronny Turiaf,2015,MIN,2,19.30,-0.01,0.02,0.01,0
Eric Moreland,2015,SAC,3,2.1,0,0,0,0
Jerrelle Benimon,2015,UTA,2,2.8,0,0.01,0,0
Malcolm Lee,2015,PHI,1,2,0,0,0,0
Sim Bhullar,2015,SAC,3,2.8,0,0,0,0
Donatas Motiejunas,2015,HOU,71,"2,029.30",-0.67,0.65,-0.01,3.6
Garrett Temple,2015,WAS,56,758,-1.95,0.95,-1,0.8
Kalin Lucas,2015,MEM,1,5.5,-0.01,0,-0.01,0
Tyrus Thomas,2015,MEM,2,6.5,0,-0.01,-0.01,0
Will Bynum,2015,WAS,10,97.70,-0.46,-0.54,-1,0.1
David Wear,2015,SAC,2,7,0,-0.01,-0.02,0
Giannis Antetokounmpo,2015,MIL,87,"2,731.70",-1.07,1.05,-0.02,4.9
Mo Williams,2015,TOT,68,"1,971.60",0.9,-0.92,-0.02,3.5
Victor Claver,2015,POR,10,76.10,-0.3,0.27,-0.02,0.1
Devyn Marble,2015,ORL,16,207.4,-0.62,0.59,-0.03,0.4
Marcus Thornton,2015,TOT,48,716.6,0.41,-0.44,-0.03,1.3
Seth Curry,2015,PHO,2,7.80,-0.03,0,-0.03,0
Roy Hibbert,2015,IND,76,"1,921.70",-1.35,1.31,-0.04,3.4
Mitch McGary,2015,OKC,32,483.00,-0.36,0.3,-0.05,0.9
Andre Dawkins,2015,MIA,4,21.70,-0.07,0,-0.07,0
Jamaal Franklin,2015,DEN,3,13.2,-0.04,-0.03,-0.07,0
Lucas Nogueira,2015,TOR,6,23.1,-0.07,0.01,-0.07,0
Toure' Murry,2015,TOT,5,18.2,-0.06,-0.01,-0.07,0
Jack Cooley,2015,UTA,16,87.1,-0.27,0.18,-0.08,0.2
Jarnell Stokes,2015,MEM,19,125.8,-0.36,0.28,-0.08,0.2
Julius Randle,2015,LAL,1,13.3,-0.04,-0.04,-0.08,0
Jannero Pargo,2015,CHO,9,72.9,-0.01,-0.08,-0.09,0.1
Sergey Karasev,2015,BRK,33,552.6,-0.61,0.52,-0.09,1
Jordan Adams,2015,MEM,34,258.10,-0.53,0.42,-0.1,0.5
Patrick Christopher,2015,UTA,4,28.7,-0.11,0.02,-0.1,0.1
Russ Smith,2015,TOT,14,68.30,-0.27,0.17,-0.1,0.1
Devin Harris,2015,DAL,80,"1,749.70",1.05,-1.17,-0.12,3
Nick Young,2015,LAL,42,996.2,0.85,-0.96,-0.12,1.7
Alex Kirk,2015,CLE,5,13.8,-0.09,-0.04,-0.13,0
Gal Mekel,2015,NOP,4,43.5,-0.14,0.01,-0.13,0.1
Kendall Marshall,2015,MIL,28,416.3,0.68,-0.81,-0.13,0.7
Andrei Kirilenko,2015,BRK,7,36.1,-0.11,-0.05,-0.16,0.1
Jerel McNeal,2015,PHO,6,36.30,-0.21,0.04,-0.16,0.1
Nick Collison,2015,OKC,66,"1,094.00",-1.16,1,-0.16,1.9
Dwyane Wade,2015,MIA,62,"1,962.60",1.73,-1.9,-0.17,3.3
Thomas Robinson,2015,TOT,54,796,-1.3,1.12,-0.17,1.3
Bernard James,2015,DAL,17,157.80,-0.65,0.47,-0.18,0.3
Meyers Leonard,2015,POR,60,947.80,-1.59,1.4,-0.19,1.6
Nazr Mohammed,2015,CHI,26,141.70,-0.53,0.35,-0.19,0.2
Bruno Caboclo,2015,TOR,8,23.3,-0.14,-0.06,-0.2,0
Shannon Brown,2015,MIA,5,87.90,-0.11,-0.08,-0.2,0.2
Goran Dragic,2015,TOT,78,"2,631.70",1.12,-1.34,-0.22,4.3
Kenyon Martin,2015,MIL,11,104.20,-0.24,0.02,-0.22,0.2
Robert Sacre,2015,LAL,67,"1,129.90",-1.45,1.22,-0.23,1.9
Glenn Robinson,2015,TOT,35,260.10,0.25,-0.5,-0.24,0.4
Trevor Booker,2015,UTA,79,"1,553.80",-0.3,0.06,-0.24,2.5
Jeremy Lin,2015,LAL,74,"1,900.60",0.31,-0.57,-0.25,3.1
Josh McRoberts,2015,MIA,17,293.3,-1.06,0.81,-0.25,0.5
Darius Miller,2015,NOP,5,43.40,-0.27,0.01,-0.26,0.1
Kyle O'Quinn,2015,ORL,51,818.10,-2.1,1.84,-0.26,1.3
Clint Capela,2015,HOU,29,216.30,-0.79,0.52,-0.27,0.4
Alex Len,2015,PHO,69,"1,513.60",-2.07,1.79,-0.28,2.4
Gorgui Dieng,2015,MIN,73,"2,181.30",-0.88,0.6,-0.29,3.5
Nikola Vucevic,2015,ORL,74,"2,517.00",0.09,-0.38,-0.29,4
