Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Wayne Ellington,2015,LAL,65,"1,670.90",-0.29,0,-0.29,2.7
Vander Blue,2015,LAL,2,73.7,-0.17,-0.13,-0.3,0.1
Grant Jerrett,2015,TOT,8,50.9,-0.15,-0.17,-0.31,0.1
Zoran Dragic,2015,TOT,16,75,-0.18,-0.14,-0.32,0.1
Brandon Knight,2015,TOT,63,"2,028.00",0.19,-0.53,-0.33,3.2
Glen Rice,2015,WAS,5,42.7,-0.19,-0.14,-0.33,0.1
Earl Clark,2015,BRK,12,105.90,-0.6,0.26,-0.35,0.2
Elliot Williams,2015,TOT,13,117.9,-0.33,-0.03,-0.36,0.2
Darrell Arthur,2015,DEN,58,981.1,-1.96,1.58,-0.37,1.5
P.J. Tucker,2015,PHO,78,"2,373.70",-0.88,0.5,-0.38,3.7
Greg Stiemsma,2015,TOR,18,67.70,-0.22,-0.18,-0.39,0.1
Will Cherry,2015,CLE,8,68.8,-0.37,-0.02,-0.39,0.1
Victor Oladipo,2015,ORL,72,"2,559.00",0.45,-0.85,-0.4,3.9
Bryce Cotton,2015,UTA,15,158.60,-0.15,-0.29,-0.43,0.2
Drew Gordon,2015,PHI,9,71.20,-0.2,-0.23,-0.43,0.1
Joe Johnson,2015,BRK,86,"3,026.50",1.04,-1.48,-0.43,4.6
Cameron Bairstow,2015,CHI,18,63.5,-0.16,-0.29,-0.44,0.1
Jonas Valanciunas,2015,TOR,84,"2,195.80",-0.92,0.46,-0.46,3.3
Alan Anderson,2015,BRK,80,"1,877.50",-1.37,0.89,-0.48,2.8
Dwight Buycks,2015,LAL,6,122.80,-0.17,-0.3,-0.48,0.2
Henry Walker,2015,MIA,24,625.20,-1.08,0.6,-0.49,0.9
DeMar DeRozan,2015,TOR,64,"2,251.10",0.14,-0.64,-0.5,3.3
Gerald Wallace,2015,BOS,33,288.7,-1.27,0.77,-0.5,0.4
Larry Sanders,2015,MIL,27,583.4,-1.76,1.25,-0.51,0.8
Tarik Black,2015,TOT,63,"1,192.30",-0.79,0.26,-0.52,1.7
Boris Diaw,2015,SAS,88,"2,168.70",-0.21,-0.33,-0.53,3.1
Jeff Withey,2015,NOP,37,257.9,-0.53,-0.03,-0.55,0.4
Joel Freeland,2015,POR,50,622.00,-2.22,1.67,-0.55,0.9
Lorenzo Brown,2015,MIN,29,546.30,-0.34,-0.21,-0.55,0.8
Rodney Stuckey,2015,IND,71,"1,865.70",-0.62,0.07,-0.55,2.6
Shavlik Randolph,2015,TOT,21,126.3,-0.65,0.09,-0.56,0.2
Maurice Harkless,2015,ORL,45,671.40,-2,1.4,-0.6,0.9
Amir Johnson,2015,TOR,79,"2,084.50",-0.62,0,-0.62,2.9
Pablo Prigioni,2015,TOT,84,"1,481.30",-0.45,-0.18,-0.63,2
Rajon Rondo,2015,TOT,70,"2,047.20",-1.27,0.64,-0.63,2.8
Alexis Ajinca,2015,NOP,71,961.4,-0.81,0.13,-0.67,1.3
Aron Baynes,2015,SAS,74,"1,158.40",-1.13,0.46,-0.67,1.5
Miles Plumlee,2015,TOT,74,"1,207.70",-0.83,0.16,-0.67,1.6
Mason Plumlee,2015,BRK,88,"1,783.70",-0.6,-0.1,-0.69,2.4
Aaron Brooks,2015,CHI,94,"2,008.50",0.69,-1.39,-0.7,2.7
Andre Iguodala,2015,GSW,98,"2,689.60",-0.49,-0.2,-0.7,3.6
Chris Johnson,2015,TOT,29,524.90,-0.72,0.02,-0.7,0.7
Mirza Teletovic,2015,BRK,43,902.7,-1.46,0.75,-0.72,1.2
Tyler Zeller,2015,BOS,86,"1,815.20",-0.76,0.02,-0.74,2.3
Reggie Williams,2015,SAS,20,104.1,-0.25,-0.5,-0.75,0.1
Tony Parker,2015,SAS,75,"2,152.00",0.59,-1.33,-0.75,2.8
James Ennis,2015,MIA,62,"1,046.80",-0.94,0.18,-0.76,1.3
Pero Antic,2015,ATL,78,"1,228.60",-1.31,0.55,-0.77,1.6
Dante Exum,2015,UTA,82,"1,808.30",-1.51,0.74,-0.78,2.3
Cartier Martin,2015,DET,23,197.4,-1.02,0.22,-0.79,0.3
John Henson,2015,MIL,73,"1,376.20",-2.31,1.52,-0.79,1.7
Terrence Jones,2015,HOU,50,"1,287.80",-0.46,-0.34,-0.8,1.6
Marvin Williams,2015,CHO,78,"2,028.60",-1.03,0.22,-0.81,2.5
Shabazz Napier,2015,MIA,51,"1,005.10",-1.42,0.61,-0.81,1.2
Nerlens Noel,2015,PHI,75,"2,298.30",-3.57,2.75,-0.82,2.8
Tristan Thompson,2015,CLE,102,"2,907.80",-0.29,-0.54,-0.82,3.6
JaMychal Green,2015,TOT,29,172.1,-0.85,0.02,-0.83,0.2
Charlie Villanueva,2015,DAL,69,719.1,0.92,-1.76,-0.84,0.9
Dwight Powell,2015,TOT,31,237.00,-0.66,-0.2,-0.86,0.3
Caron Butler,2015,DET,78,"1,618.50",-1.12,0.23,-0.89,1.9
Amar'e Stoudemire,2015,TOT,64,"1,312.00",0.37,-1.29,-0.92,1.6
Jameer Nelson,2015,TOT,63,"1,401.30",0.03,-0.96,-0.93,1.6
Josh Smith,2015,TOT,100,"2,686.00",-0.99,0.05,-0.93,3.1
Lester Hudson,2015,LAC,12,93.3,-0.9,-0.04,-0.94,0.1
Aaron Gordon,2015,ORL,47,794.4,-1.58,0.63,-0.95,0.9
Ian Clark,2015,TOT,30,192.00,-0.59,-0.37,-0.96,0.2
Noah Vonleh,2015,CHO,25,258.2,-1.32,0.36,-0.97,0.3
Jorge Gutierrez,2015,TOT,21,186.60,-0.85,-0.13,-0.98,0.2
Lou Amundson,2015,TOT,53,933.70,-2.48,1.5,-0.98,1
Shabazz Muhammad,2015,MIN,38,861.9,0.93,-1.92,-0.98,1
Michael Carter-Williams,2015,TOT,72,"2,328.10",-2.09,1.06,-1.02,2.5
Corey Brewer,2015,TOT,97,"2,504.60",-0.45,-0.57,-1.03,2.8
Anderson Varejao,2015,CLE,26,631,-1.13,0.08,-1.04,0.7
Jared Cunningham,2015,LAC,19,89.30,-0.87,-0.18,-1.04,0.1
Joey Dorsey,2015,HOU,75,865.9,-1.94,0.89,-1.04,0.9
Jordan Clarkson,2015,LAL,59,"1,471.70",0.27,-1.31,-1.04,1.6
Tim Frazier,2015,TOT,13,242.70,-0.98,-0.07,-1.04,0.3
Evan Turner,2015,BOS,86,"2,369.30",-1.13,0.08,-1.05,2.6
Reggie Evans,2015,SAC,47,761.8,-0.79,-0.26,-1.05,0.8
Ryan Kelly,2015,LAL,52,"1,229.50",-1.21,0.15,-1.05,1.3
Donald Sloan,2015,IND,53,"1,101.40",-0.69,-0.37,-1.07,1.2
E'Twaun Moore,2015,CHI,59,510.40,-0.98,-0.09,-1.07,0.5
Quincy Acy,2015,NYK,68,"1,281.20",-2.18,1.11,-1.07,1.3
Cole Aldrich,2015,NYK,61,971.9,-2.51,1.43,-1.08,1
James Young,2015,BOS,31,331.40,0.22,-1.31,-1.09,0.4
Jason Terry,2015,HOU,94,"2,119.00",-0.61,-0.48,-1.09,2.2
Steve Blake,2015,POR,86,"1,561.20",-1.16,0.07,-1.09,1.6
Gerald Green,2015,PHO,74,"1,440.80",1.24,-2.34,-1.1,1.5
Tyler Johnson,2015,MIA,32,600.4,-1.6,0.5,-1.1,0.6
Earl Barron,2015,PHO,16,142.30,-1.16,0.05,-1.12,0.1
Courtney Lee,2015,MEM,88,"2,711.10",0.15,-1.29,-1.14,2.8
Otto Porter,2015,WAS,84,"1,754.50",-0.22,-0.93,-1.15,1.8
Tobias Harris,2015,ORL,68,"2,356.80",-0.21,-0.94,-1.15,2.4
Francisco Garcia,2015,HOU,14,199.40,-1.17,0,-1.17,0.2
Vince Carter,2015,MEM,77,"1,281.60",-1.09,-0.09,-1.18,1.3
Jerami Grant,2015,PHI,65,"1,367.00",-1.6,0.41,-1.19,1.3
Ognjen Kuzmic,2015,GSW,16,72.4,-0.72,-0.48,-1.2,0.1
Drew Gooden,2015,WAS,61,"1,035.40",-0.82,-0.39,-1.21,1
Greivis Vasquez,2015,TOR,86,"2,086.30",0.25,-1.46,-1.21,2.1
Will Barton,2015,TOT,58,979.5,-1.8,0.59,-1.21,0.9
Eric Gordon,2015,NOP,65,"2,153.60",0.21,-1.45,-1.24,2.1
Ryan Hollins,2015,SAC,45,440.10,-1.68,0.43,-1.24,0.4
Spencer Dinwiddie,2015,DET,34,453.60,-1.53,0.29,-1.24,0.4
Mike Muscala,2015,ATL,50,600.1,-1.08,-0.17,-1.25,0.6
Dante Cunningham,2015,NOP,70,"1,720.80",-1.46,0.2,-1.26,1.6
John Jenkins,2015,ATL,27,315.1,-1.08,-0.19,-1.26,0.3
James Michael McAdoo,2015,GSW,20,146.9,-0.73,-0.54,-1.27,0.1
Jeff Green,2015,TOT,89,"2,744.40",-0.9,-0.4,-1.3,2.5
Richard Jefferson,2015,DAL,78,"1,288.40",-0.68,-0.62,-1.3,1.2
Brandon Bass,2015,BOS,86,"2,006.50",-0.68,-0.64,-1.32,1.8
Langston Galloway,2015,NYK,45,"1,452.60",-1.07,-0.25,-1.32,1.3
Taj Gibson,2015,CHI,74,"1,960.50",-1,-0.32,-1.32,1.8
Avery Bradley,2015,BOS,81,"2,551.80",-1.29,-0.04,-1.33,2.2
Furkan Aldemir,2015,PHI,41,536.7,-0.69,-0.66,-1.35,0.5
Jason Richardson,2015,PHI,19,414.9,-0.49,-0.86,-1.35,0.3
Jodie Meeks,2015,DET,60,"1,456.70",-0.37,-0.99,-1.35,1.3
Gary Neal,2015,TOT,54,"1,186.50",-0.65,-0.71,-1.36,1
Joe Ingles,2015,UTA,79,"1,662.60",-1.72,0.37,-1.36,1.4
Brendan Haywood,2015,CLE,23,120.80,-1.43,0.05,-1.38,0.1
JaVale McGee,2015,TOT,23,254.80,-1.26,-0.12,-1.39,0.2
Terrence Ross,2015,TOR,86,"2,192.30",0.55,-1.94,-1.39,1.9
Shawne Williams,2015,TOT,63,"1,082.80",-0.64,-0.77,-1.41,0.9
Marcus Morris,2015,PHO,81,"2,038.20",0.28,-1.72,-1.44,1.7
Samuel Dalembert,2015,NYK,32,541.6,-2.87,1.4,-1.47,0.4
Wesley Johnson,2015,LAL,76,"2,236.80",-0.29,-1.19,-1.48,1.8
John Lucas III,2015,DET,21,271.5,-0.68,-0.8,-1.49,0.2
Chris Douglas-Roberts,2015,LAC,12,102.20,-1,-0.54,-1.53,0.1
Evan Fournier,2015,ORL,58,"1,651.50",-0.17,-1.36,-1.53,1.2
Wilson Chandler,2015,DEN,78,"2,463.70",0.1,-1.67,-1.56,1.8
