RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Paul George, SG",OKC,77,36.9,4.55,3.08,7.63,19.86
2,"James Harden, SG",HOU,78,36.8,7.4,0.02,7.42,18.54
3,"Stephen Curry, PG",GS,69,33.8,5.99,0.85,6.84,15.24
4,"Giannis Antetokounmpo, PF",MIL,72,32.8,3.16,3.53,6.69,15.22
5,"Nikola Jokic, C",DEN,80,31.3,3.89,2.59,6.48,14.91
6,"Joel Embiid, C",PHI,64,33.7,2.68,3.72,6.4,12.9
7,"Anthony Davis, PF",NO,56,33,2.54,3.2,5.74,10.81
8,"Nikola Vucevic, C",ORL,80,31.4,1.9,3.59,5.49,13.67
9,"LeBron James, SF",LAL,55,35.2,3.61,1.83,5.44,11.04
10,"Damian Lillard, PG",POR,80,35.5,5.67,-0.59,5.08,14.52
11,"Kevin Durant, SF",GS,78,34.6,4.36,0.6,4.96,14.1
12,"Chris Paul, PG",HOU,58,32,2.49,2.27,4.76,9.17
13,"Danny Green, SG",TOR,80,27.7,2.66,2.07,4.73,11.23
14,"Jimmy Butler, SF",MIN/PHI,65,33.6,2.55,2.16,4.71,10.97
15,"Kyle Lowry, PG",TOR,65,34,2.83,1.82,4.65,10.97
16,"Rudy Gobert, C",UTAH,81,31.8,0.29,4.35,4.64,13.1
17,"Jrue Holiday, SG",NO,67,35.9,3.38,1.23,4.61,12.28
18,"Al Horford, PF",BOS,68,29,1.77,2.66,4.43,9.51
19,"Paul Millsap, PF",DEN,70,27.1,1.57,2.74,4.31,8.77
20,"Kyrie Irving, PG",BOS,67,33,3.77,0.46,4.23,10.34
21,"Jusuf Nurkic, C",POR,72,27.4,0.81,3.35,4.16,9.04
22,"Brook Lopez, C",MIL,81,28.7,0.53,3.54,4.07,11.07
23,"Karl-Anthony Towns, C",MIN,77,33.1,3.02,0.84,3.86,11.37
24,"Pascal Siakam, PF",TOR,80,31.9,1.64,2.16,3.8,11.3
25,"Eric Bledsoe, PG",MIL,78,29.1,2.47,1.3,3.77,10.43
26,"Danilo Gallinari, PF",LAC,68,30.3,3.58,0,3.58,8.69
27,"Kevon Looney, PF",GS,80,18.5,1.3,2.18,3.48,6.27
