RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Chris Paul, PG",HOU,58,31.8,5.36,1.63,6.99,11.75
2,"James Harden, PG",HOU,72,35.4,6.69,0.02,6.71,16.03
3,"Stephen Curry, PG",GS,51,32,6.59,0.06,6.65,10.97
4,"Jimmy Butler, SG",MIN,59,36.7,3.61,2.78,6.39,12.8
5,"Nikola Jokic, C",DEN,75,32.5,4.02,1.95,5.97,14.03
6,"Victor Oladipo, SG",IND,75,34,2.74,3.17,5.91,14.77
7,"Anthony Davis, PF",NO,75,36.4,1.85,3.7,5.55,15.56
8,"Robert Covington, SF",PHI,80,31.6,1.21,4.24,5.45,14.31
9,"Kyle Lowry, PG",TOR,78,32.2,4.15,1.03,5.18,13.59
10,"Russell Westbrook, PG",OKC,80,36.4,3.96,1.2,5.16,15.73
11,"Joel Embiid, C",PHI,63,30.3,1.51,3.59,5.1,10.13
12,"LeBron James, SF",CLE,82,36.9,5.64,-0.68,4.96,15.86
13,"Otto Porter Jr., SF",WSH,77,31.6,2.91,2.05,4.96,12.51
14,"Damian Lillard, PG",POR,73,36.6,5.28,-0.38,4.9,13.67
15,"Tyus Jones, PG",MIN,82,17.9,2.38,2.4,4.78,7.27
16,"Karl-Anthony Towns, SF",MIN,82,35.6,3.8,0.44,4.24,13.5
17,"Giannis Antetokounmpo, PF",MIL,75,36.7,2.63,1.6,4.23,12.9
18,"Draymond Green, PF",GS,70,32.7,0.7,3.34,4.04,10.98
19,"Al Horford, PF",BOS,72,31.6,1.21,2.68,3.89,10.05
20,"Rudy Gobert, C",UTAH,56,32.4,-1.24,5.06,3.82,8.02
21,"Kemba Walker, PG",CHA,80,34.2,4.36,-0.55,3.81,12.27
22,"Jrue Holiday, PG",NO,81,36.1,1.63,2.1,3.73,13.12
23,"DeMarcus Cousins, C",NO,48,36.2,2.06,1.6,3.66,7.5
24,"Kevin Durant, SF",GS,68,34.2,4.26,-0.65,3.61,10.51
25,"Joe Ingles, SF",UTAH,82,31.5,2.14,1.36,3.5,10.81
26,"Tyreke Evans, SG",MEM,52,30.9,2.91,0.55,3.46,6.46
27,"Kevin Love, PF",CLE,59,28,1.81,1.59,3.4,6.92
28,"Fred VanVleet, PG",TOR,76,20,2.6,0.8,3.4,6.18
29,"Kelly Olynyk, PF",MIA,76,23.4,2.44,0.9,3.34,7.11
30,"Nikola Mirotic, PF",NO/CHI,55,27.2,1.76,1.39,3.15,6.2
31,"LaMarcus Aldridge, PF",SA,75,33.5,1.9,1.24,3.14,9.79
32,"Kyle Anderson, SF",SA,74,26.7,-0.08,3.2,3.12,7.79
33,"Jayson Tatum, SF",BOS,80,30.5,0.95,1.97,2.92,9.23
34,"Paul George, SF",OKC,79,36.6,2.25,0.65,2.9,11.12
35,"Ben Simmons, PG",PHI,81,33.7,1.44,1.45,2.89,10.89
36,"Nene Hilario, C",HOU,52,14.6,-0.54,3.37,2.83,2.96
37,"Jordan Bell, PF",GS,57,14.2,0.37,2.44,2.81,3.16
38,"Kyle Korver, SG",CLE,73,21.6,1.87,0.83,2.7,5.99
39,"Kristaps Porzingis, PF",NY,48,32.4,0.34,2.27,2.61,5.64
40,"Larry Nance Jr., PF",CLE/LAL,66,21.5,-0.53,3.1,2.57,5.33
41,"Eric Bledsoe, PG",MIL/PHX,74,31.4,2.49,0.06,2.55,8.45
42,"Dwight Powell, PF",DAL,79,21.2,0.32,2.11,2.43,5.82
43,"Spencer Dinwiddie, PG",BKN,80,28.8,2.61,-0.21,2.4,8.09
44,"Ricky Rubio, PG",UTAH,77,29.3,0.41,1.98,2.39,7.85
45,"Kyrie Irving, PG",BOS,60,32.2,3.74,-1.35,2.39,6.74
46,"David West, F",GS,73,13.7,-1.25,3.63,2.38,3.51
47,"Ekpe Udoh, C",UTAH,63,12.9,-1.35,3.66,2.31,2.78
48,"Darren Collison, PG",IND,69,29.2,2.89,-0.65,2.24,6.89
49,"Nikola Vucevic, C",ORL,57,29.5,-0.27,2.5,2.23,5.92
50,"Donovan Mitchell, SG",UTAH,79,33.4,1.55,0.6,2.15,8.83
51,"Clint Capela, C",HOU,74,27.5,-0.74,2.88,2.14,6.81
52,"Blake Griffin, PF",DET/LAC,58,34,1.9,0.21,2.11,6.59
53,"Al-Farouq Aminu, PF",POR,69,30,-0.37,2.37,2,6.75
