RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Stephen Curry, PG",GS,80,32.7,7.43,1.91,9.34,20.1
2,"LeBron James, SF",CLE,69,36.1,6.02,2.76,8.78,17
3,"James Harden, PG",HOU,81,36.8,8.66,-0.16,8.5,20.6
4,"Anthony Davis, PF",NO,68,36.1,3.98,4.2,8.18,15.9
5,"Kawhi Leonard, SF",SA,64,31.8,2.98,4.59,7.57,12.7
6,"Russell Westbrook, PG",OKC,67,34.4,7.79,-0.71,7.08,14.2
7,"Chris Paul, PG",LAC,82,34.8,6.45,0.47,6.92,16.8
8,"Draymond Green, PF",GS,79,31.5,1.57,5.23,6.8,14.8
9,"DeMarcus Cousins, C",SAC,59,34.1,1.41,4.71,6.12,10.9
10,"Khris Middleton, SF",MIL,79,30.1,1.97,4.09,6.06,12.4
11,"Kyle Korver, SG",ATL,75,32.2,4.08,1.34,5.42,11.6
12,"Danny Green, SG",SA,81,28.5,3.25,2.16,5.41,11
13,"Tim Duncan, C",SA,77,28.9,0.53,4.67,5.2,10.3
14,"Paul Millsap, PF",ATL,73,32.7,2.87,2.22,5.09,11
15,"Tony Allen, SG",MEM,63,26.2,-0.11,4.92,4.81,7.2
16,"Zaza Pachulia, C",MIL,73,23.7,1.38,3.42,4.8,7.7
17,"Tyson Chandler, C",DAL,75,30.5,1.04,3.54,4.58,10
18,"Zach Randolph, PF",MEM,71,32.5,1.84,2.71,4.55,9.6
19,"Gordon Hayward, SF",UTAH,76,34.4,3.3,1.19,4.49,10.8
20,"DeAndre Jordan, C",LAC,82,34.4,2.03,2.43,4.46,12.1
21,"Cody Zeller, C",CHA,62,24,1.12,3.23,4.35,6.1
23,"Jimmy Butler, SG",CHI,65,38.7,3.87,0.43,4.3,10.3
22,"John Wall, PG",WSH,79,35.9,2.57,1.73,4.3,11.6
24,"Kevin Durant, SF",OKC,27,33.8,3.53,0.67,4.2,3.9
25,"LaMarcus Aldridge, PF",POR,71,35.4,3.7,0.36,4.06,10
26,"Kyle Lowry, PG",TOR,70,34.5,2.58,1.25,3.83,9.3
28,"Damian Lillard, PG",POR,82,35.7,4.14,-0.37,3.77,11.2
27,"George Hill, PG",IND,43,29.5,4.64,-0.87,3.77,4.8
29,"Wesley Matthews, SG",POR,60,33.7,1.38,2.27,3.65,7.6
30,"Klay Thompson, SG",GS,77,31.9,4.36,-0.72,3.64,9.6
31,"Marc Gasol, C",MEM,81,33.2,1.7,1.91,3.61,9.7
33,"Kelly Olynyk, C",BOS,64,22.3,1.79,1.71,3.5,5.3
32,"Nikola Mirotic, PF",CHI,82,20.2,1.75,1.75,3.5,5.9
35,"Eric Bledsoe, PG",PHX,81,34.6,1.61,1.85,3.46,10.4
34,"Serge Ibaka, PF",OKC,64,33.1,-0.05,3.51,3.46,7.8
36,"Markieff Morris, PF",PHX,82,31.5,0.4,3.03,3.43,9.5
38,"Kyrie Irving, PG",CLE,75,36.4,4.29,-0.89,3.4,9.7
37,"Derrick Favors, PF",UTAH,74,30.8,1.22,2.18,3.4,7.8
39,"Luol Deng, SF",MIA,72,33.6,3.7,-0.33,3.37,8.4
40,"Blake Griffin, PF",LAC,67,35.2,2.97,0.38,3.35,8.5
41,"Mike Dunleavy, SG",CHI,63,29.2,1.18,2.15,3.33,6.4
42,"Tiago Splitter, C",SA,52,19.8,0.59,2.7,3.29,3.6
43,"Manu Ginobili, SG",SA,70,22.7,1.53,1.75,3.28,5.5
44,"Jrue Holiday, PG",NO,40,32.6,2.45,0.77,3.22,4.5
45,"Matt Barnes, SF",LAC,76,29.9,1.34,1.83,3.17,7.9
46,"Andrew Bogut, C",GS,67,23.6,-1.81,4.97,3.16,5.6
47,"Tyreke Evans, SG",NO,79,34.1,3.8,-0.65,3.15,9
48,"Timofey Mozgov, C",CLE/DEN,81,25.3,-0.57,3.43,2.86,6.7
49,"Carmelo Anthony, PF",NY,40,35.7,4.9,-2.08,2.82,4.4
50,"Michael Kidd-Gilchrist, SF",CHA,55,28.9,-0.82,3.63,2.81,5.1
51,"Anthony Morrow, SG",OKC,74,24.4,2.33,0.43,2.76,5.9
53,"Ricky Rubio, PG",MIN,22,31.5,0.38,2.33,2.71,2.3
52,"Kevin Love, PF",CLE,75,33.8,1.75,0.96,2.71,7.9
54,"Al-Farouq Aminu, PF",DAL,74,18.5,-0.26,2.93,2.67,4.3
55,"Greg Monroe, C",DET,69,31,0.37,2.28,2.65,6.5
57,"Jonas Jerebko, PF",BOS/DET,75,16.4,0.95,1.65,2.6,3.7
56,"Thabo Sefolosha, SF",ATL,52,18.8,-0.37,2.97,2.6,2.9
58,"Chandler Parsons, SF",DAL,66,33.1,2.47,0.07,2.54,6.8
59,"Lou Williams, SG",TOR,80,25.2,4.49,-1.97,2.52,6
60,"Bradley Beal, SG",WSH,63,33.4,1.93,0.55,2.48,6.1
62,"Tyler Hansbrough, PF",TOR,74,14.3,0.67,1.79,2.46,3.1
61,"Marcin Gortat, C",WSH,82,29.9,-0.1,2.56,2.46,7.3
63,"Jared Dudley, SF",MIL,72,23.8,-0.1,2.47,2.37,5
64,"Jusuf Nurkic, C",DEN,62,17.8,-1.69,4.02,2.33,3.3
65,"Pau Gasol, C",CHI,78,34.4,0.85,1.45,2.3,7.7
66,"Iman Shumpert, SG",CLE/NY,62,24.9,0.33,1.92,2.25,4.3
67,"Marcus Smart, PG",BOS,67,27,1.17,1.05,2.22,5.2
68,"Kenneth Faried, PF",DEN,75,27.8,1.9,0.25,2.15,6
69,"Al Horford, PF",ATL,76,30.5,0.32,1.82,2.14,6.3
70,"Mike Conley, PG",MEM,70,31.8,2.36,-0.25,2.11,6
72,"Elfrid Payton, PG",ORL,82,30.4,1.23,0.87,2.1,7
71,"Robert Covington, SF",PHI,70,27.9,2.08,0.02,2.1,5.5
73,"Lavoy Allen, PF",IND,63,17,0.42,1.62,2.04,2.9
74,"Andre Roberson, SG",OKC,67,19.2,-1.3,3.3,2,3.6
75,"James Johnson, PF",TOR,70,19.6,0.33,1.66,1.99,3.7
76,"Danilo Gallinari, SF",DEN,59,24.2,2.05,-0.07,1.98,3.9
77,"Rudy Gobert, C",UTAH,82,26.3,-1.66,3.63,1.97,5.5
78,"Dwight Howard, C",HOU,41,29.8,-0.12,2.08,1.96,3.3
79,"Anthony Tolliver, PF",DET/PHX,76,18.8,2.09,-0.14,1.95,3.8
80,"Monta Ellis, SG",DAL,80,33.7,1.81,0.11,1.92,7.4
81,"Deron Williams, PG",BKN,68,31.1,2.36,-0.45,1.91,5.5
83,"Jeff Teague, PG",ATL,73,30.5,0.92,0.95,1.87,5.9
82,"Nick Calathes, SG",MEM,58,14.4,-1.86,3.73,1.87,2.2
85,"Darrell Arthur, PF",DEN,58,17,-2.08,3.91,1.83,2.6
84,"Amir Johnson, PF",TOR,75,26.4,0.51,1.32,1.83,5.1
86,"Darren Collison, PG",SAC,45,34.8,1.53,0.26,1.79,4.1
88,"Jared Sullinger, C",BOS,58,27,1.51,0.15,1.66,4
87,"Jeremy Lin, PG",LAL,74,25.8,1.39,0.27,1.66,4.8
89,"Ty Lawson, PG",DEN,75,35.5,3.96,-2.36,1.6,6.8
91,"CJ Miles, SF",IND,70,26.3,0.41,1.17,1.58,4.5
90,"Trevor Ariza, SF",HOU,82,35.7,-0.78,2.36,1.58,7.3
92,"Isaiah Thomas, PG",BOS/PHX,67,25.8,4.14,-2.69,1.45,4.2
93,"Elijah Millsap, SG",UTAH,47,19.7,-1.99,3.42,1.43,2.1
94,"JJ Redick, SF",LAC,78,30.9,1.14,0.26,1.4,5.7
95,"Andre Iguodala, SF",GS,77,26.9,0.37,0.99,1.36,4.9
96,"CJ McCollum, SG",POR,62,15.7,0.46,0.89,1.35,2.3
97,"Pero Antic, PF",ATL,63,16.5,-0.12,1.46,1.34,2.4
99,"Alan Anderson, SG",BKN,74,23.6,-0.91,2.21,1.3,3.9
98,"Nick Collison, PF",OKC,66,16.7,-0.83,2.13,1.3,2.5
100,"Kentavious Caldwell-Pope, SG",DET,82,31.5,1.66,-0.37,1.29,5.8
102,"Otto Porter Jr., SF",WSH,74,19.4,1.82,-0.59,1.23,3
101,"Brandon Jennings, PG",DET,41,28.6,2.64,-1.41,1.23,2.6
103,"Thaddeus Young, PF",MIN/BKN,76,32,0.05,1.15,1.2,5.4
104,"Reggie Jackson, PG",DET/OKC,77,29.5,2.28,-1.1,1.18,4.9
105,"Joakim Noah, C",CHI,67,30.6,-1.12,2.21,1.09,4.3
106,"Patty Mills, PG",SA,51,15.7,0.53,0.43,0.96,1.7
107,"Ben McLemore, SG",SAC,82,32.6,0.2,0.71,0.91,5.5
108,"Kevin Garnett, PF",MIN/BKN,47,20.3,-1.42,2.32,0.9,1.9
110,"Jeremy Evans, SF",UTAH,38,7,0.17,0.72,0.89,0.5
109,"Derrick Rose, PG",CHI,51,30,1.15,-0.26,0.89,3.1
111,"Cory Joseph, PG",SA,79,18.3,-0.05,0.93,0.88,2.8
114,"Giannis Antetokounmpo, PF",MIL,81,31.4,-0.63,1.5,0.87,5
113,"Josh McRoberts, PF",MIA,17,17.4,-0.37,1.24,0.87,0.6
112,"Joe Johnson, SG",BKN,80,34.9,2.11,-1.24,0.87,5.4
116,"Tristan Thompson, C",CLE,82,26.8,1.34,-0.48,0.86,4.3
115,"Joel Anthony, PF",DET,49,8.3,-1.82,2.68,0.86,0.8
117,"Mike Muscala, PF",ATL,40,12.6,-0.1,0.92,0.82,1
118,"J.J. Barea, PG",DAL,77,17.7,2.71,-1.93,0.78,2.6
120,"Andre Drummond, C",DET,82,30.5,-0.07,0.81,0.74,4.8
119,"Kosta Koufos, C",MEM,81,16.6,-2.56,3.3,0.74,2.6
122,"Hassan Whiteside, C",MIA,48,23.8,-0.96,1.64,0.68,2.1
121,"Chris Bosh, PF",MIA,44,35.4,0.72,-0.04,0.68,2.8
123,"Dirk Nowitzki, PF",DAL,77,29.6,2.51,-1.89,0.62,4.2
124,"Nene Hilario, C",WSH,67,25.3,-2.31,2.91,0.6,3
125,"Tyler Zeller, C",BOS,82,21.1,-0.78,1.36,0.58,3.3
126,"Luis Scola, PF",IND,81,20.5,-0.3,0.87,0.57,3
128,"Nikola Pekovic, C",MIN,31,26.3,-0.43,0.99,0.56,1.5
127,"Ronnie Price, PG",LAL,43,22.8,0.17,0.39,0.56,1.8
129,"Harrison Barnes, SF",GS,82,28.3,-0.68,1.23,0.55,4.4
130,"Robin Lopez, C",POR,59,27.8,-1.21,1.74,0.53,2.9
131,"JR Smith, SG",CLE/NY,70,29.7,1.02,-0.54,0.48,3.6
132,"Marvin Williams, PF",CHA,78,26.1,-0.6,1.03,0.43,3.5
134,"DeMarre Carroll, SF",ATL,70,31.3,0.79,-0.38,0.41,3.8
133,"Rudy Gay, SF",SAC,68,35.4,2.87,-2.46,0.41,4.2
135,"Nicolas Batum, SG",POR,71,33.5,0.26,0.12,0.38,4.1
136,"C.J. Watson, PG",IND,57,24.9,0.72,-0.35,0.37,2.4
137,"Gerald Henderson, SG",CHA,80,28.9,-0.65,1.01,0.36,3.8
139,"Patrick Patterson, PF",TOR,81,26.6,2.17,-1.83,0.34,3.5
138,"Lou Amundson, PF",CLE/NY,53,17.7,-2.57,2.91,0.34,1.5
141,"Cory Jefferson, PF",BKN,50,10.6,-1.23,1.53,0.3,0.9
140,"Paul Pierce, SF",WSH,73,26.2,0.05,0.25,0.3,3.1
142,"Dorell Wright, SF",POR,48,12.4,0.43,-0.16,0.27,1
143,"Jeff Adrien, SF",MIN,17,12.6,-0.48,0.67,0.19,0.3
144,"Jason Terry, SG",HOU,77,21.3,-0.19,0.36,0.17,2.7
145,"Sim Bhullar, C",SAC,3,1,-0.31,0.46,0.15,0
146,"Aron Baynes, C",SA,70,16,-1.13,1.25,0.12,1.8
147,"Mitch McGary, PF",OKC,32,15.2,-0.25,0.35,0.1,0.8
148,"Donatas Motiejunas, PF",HOU,71,28.7,-1.04,1.13,0.09,3.1
149,"Boris Diaw, C",SA,81,24.5,-0.2,0.26,0.06,2.9
150,"David Lee, PF",GS,49,18.4,0.4,-0.35,0.05,1.4
151,"Luigi Datome, SF",BOS/DET,21,10,-0.18,0.18,0,0.3
152,"Roy Hibbert, C",IND,76,25.3,-2.44,2.43,-0.01,2.7
153,"David West, PF",IND,66,28.7,-1.06,1,-0.06,2.7
154,"Alexis Ajinca, C",NO,68,14.1,-1.01,0.9,-0.11,1.3
155,"Chris Andersen, PF",MIA,60,18.9,-2.08,1.94,-0.14,1.5
156,"Wayne Ellington, SG",LAL,65,25.8,-0.69,0.53,-0.16,2.2
157,"Meyers Leonard, C",POR,55,15.4,-1.88,1.71,-0.17,1.2
158,"DeMar DeRozan, SG",TOR,60,35,0.21,-0.39,-0.18,2.8
160,"James Ennis III, SF",MIA,62,17,0.11,-0.36,-0.25,1.3
159,"Chuck Hayes, PF",TOR,29,8.8,-0.33,0.08,-0.25,0.3
161,"Elliot Williams, SG",NO/UTAH,13,9.2,0.53,-0.82,-0.29,0.1
162,"Victor Oladipo, SG",ORL,72,35.7,1.28,-1.59,-0.31,3.3
