RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"LeBron James, SF",CLE,74,37.8,6.49,1.93,8.42,20.4
2,"Chris Paul, PG",LAC,61,31.5,5.16,2.76,7.92,13.5
3,"Stephen Curry, PG",GS,79,33.4,7.27,0.14,7.41,18.8
4,"Draymond Green, PF",GS,76,32.5,1.55,5.59,7.14,16.8
5,"Kawhi Leonard, SF",SA,74,33.4,5.83,1.25,7.08,15.5
6,"Nikola Jokic, C",DEN,73,27.9,4.44,2.29,6.73,13.2
7,"Jimmy Butler, SG",CHI,76,37,4.82,1.8,6.62,17.4
8,"Rudy Gobert, C",UTAH,81,33.9,0.35,6.02,6.37,15.6
9,"Russell Westbrook, PG",OKC,81,34.6,6.74,-0.47,6.27,17.3
10,"Kyle Lowry, PG",TOR,60,37.4,4.7,1.18,5.88,12.7
11,"Kevin Durant, SF",GS,62,33.4,4.41,1.33,5.74,12.2
12,"Kevin Love, PF",CLE,60,31.4,2.77,2.26,5.03,9.8
13,"James Harden, PG",HOU,81,36.4,6.38,-1.57,4.81,15.5
14,"Paul Millsap, PF",ATL,69,34,1.23,3.35,4.58,11.5
15,"DeAndre Jordan, C",LAC,81,31.7,1.11,3.44,4.55,12.6
16,"Mike Conley, PG",MEM,69,33.2,4.67,-0.2,4.47,10.5
17,"Anthony Davis, PF",NO,75,36.1,0.45,3.9,4.35,12.8
18,"Giannis Antetokounmpo, PF",MIL,80,35.6,2.35,1.86,4.21,13
19,"DeMarcus Cousins, C",NO/SAC,72,34.2,3.56,0.64,4.2,11.3
20,"Jae Crowder, PF",BOS,72,32.4,2.2,1.69,3.89,10.5
21,"Amir Johnson, PF",BOS,80,20.1,0.22,3.58,3.8,7
22,"Blake Griffin, PF",LAC,61,34,3.02,0.76,3.78,9.2
23,"George Hill, PG",UTAH,49,31.5,2.64,1.11,3.75,6.3
24,"Otto Porter Jr., SF",WSH,80,32.6,3.12,0.44,3.56,11.2
25,"Robert Covington, SF",PHI,67,31.6,-0.77,4.32,3.55,9.2
26,"Andre Iguodala, SF",GS,76,26.3,2.01,1.52,3.53,8.7
27,"Cody Zeller, C",CHA,62,27.8,-0.07,3.42,3.35,7
28,"Damian Lillard, PG",POR,75,35.9,4.63,-1.49,3.14,10.7
29,"Gordon Hayward, SF",UTAH,73,34.5,3.14,-0.08,3.06,9.5
30,"Zaza Pachulia, C",GS,70,18.1,-0.31,3.23,2.92,5.1
31,"Danilo Gallinari, SF",DEN,63,33.9,2.67,0.21,2.88,8.4
32,"Lucas Nogueira, C",TOR,57,19.1,-0.61,3.34,2.73,4
33,"Gorgui Dieng, C",MIN,82,32.4,-0.8,3.52,2.72,9.7
34,"Kemba Walker, PG",CHA,79,34.7,3.93,-1.25,2.68,10
35,"Myles Turner, C",IND,81,31.4,0.09,2.57,2.66,9.3
37,"Paul George, SF",IND,75,35.9,2.67,-0.09,2.58,9.7
36,"Marc Gasol, C",MEM,74,34.2,1.86,0.72,2.58,8.7
38,"Joe Ingles, SF",UTAH,82,24,2.29,0.26,2.55,6.7
39,"Ricky Rubio, PG",MIN,75,32.9,1.73,0.76,2.49,8.7
40,"Patrick Beverley, PG",HOU,67,30.7,1.11,1.37,2.48,7.6
41,"Manu Ginobili, SG",SA,69,18.7,1.43,1,2.43,4.6
42,"James Johnson, PF",MIA,76,27.4,0.42,1.94,2.36,7.3
43,"Pau Gasol, C",SA,64,25.4,0.86,1.49,2.35,5.5
44,"Klay Thompson, SG",GS,78,34,2.78,-0.45,2.33,9.5
47,"Dewayne Dedmon, C",SA,76,17.5,-1.63,3.94,2.31,4.5
