"PLAYER_ID","PLAYER_NAME","bref_Player","espn_player","espn_id","lcname","bref_id","Season","Age","Tm","TEAM","G","GS","MP","Pos","GSpct","OPIPM","DPIPM","PIPM","Wins_Added","DRTG_On_Off","ORPM","DRPM","RPM","WAR","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","poss","raptor_box_o","raptor_box_d","raptor_box","raptor_onoff_o","raptor_onoff_d","raptor_onoff","raptor_o","raptor_d","raptor","war","war_RS","predator_o","predator_d","predator","pace_impact","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off"
"203458","Alex Len","Alex Len","Alex Len",2596107,"alex-len","lenal01","2013-14",20,"PHO","PHX",42,3,362,"C",0.0714285714285714,-3.462625333,-0.218472024,-3.681097357,-0.297109669,-2.692976234,"-3.02","-0.23","-3.25","-0.21",7.3,0.469,14.3,-0.2,0.4,0.2,0.024,-5.9,-0.7,-6.6,-0.4,755,-3.946989626,-5.233046747,-9.180036372,-4.283525179,-3.006193165,-7.289718343,-4.290994226,-5.106581952,-9.397576178,-1.235189778,-1.235189778,-3.887165821,-3.834712206,-7.721878026,0.580679776,-3.12,-1.53,-1.59,-1.91,-0.76,-1.15
"203144","Alexey Shved","Alexey Shved","Alexey Shved",3882,"alexey-shved","shvedal01","2013-14",25,"MIN","MIN",63,0,664,"SG",0,-2.218318538,-0.395559447,-2.613877984,-0.099049482,0.170120126,"-0.23","-0.47","-0.70","0.68",10.2,0.452,20.8,-0.4,0.7,0.2,0.017,-1.8,-0.1,-1.9,0,1347,-1.974227457,-0.261977393,-2.23620485,-2.758022337,1.127876345,-1.630145992,-2.300613776,-0.021957503,-2.322571279,0.145905993,0.145905993,-0.962816748,-1.287977543,-2.250794291,0.731787582,-0.78,0.47,-1.25,0.22,0.83,-0.61
"201582","Alexis Ajinca","Alexis Ajinca","Alexis Ajinca",3410,"alexis-ajinca","ajincal01","2013-14",25,"NOP","NO",56,30,951,"C",0.535714285714286,-1.478632461,0.671568973,-0.807063488,1.042227505,0.630976987,"-2.89","0.92","-1.97","0.22",14.6,0.589,16.3,1.2,0.9,2.1,0.104,-2.7,0.1,-2.6,-0.1,1855,-2.2052968,-0.79243784,-2.997734641,-0.854935199,-0.527870622,-1.382805821,-2.054606668,-0.75344482,-2.808051489,-0.028102436,-0.028102436,-1.741946245,-0.194303761,-1.936250006,-0.218473544,0.18,0.58,-0.4,-1.03,-0.45,-0.59
"203459","Allen Crabbe","Allen Crabbe","Allen Crabbe",2531210,"allen-crabbe","crabbal01","2013-14",21,"POR","POR",15,0,100,"SG",0,-0.488515841,-0.119406087,-0.607921928,0.124505173,-0.394241832,"-0.44","-1.04","-1.48","0.05",7.7,0.475,16.5,0,0.1,0.1,0.037,-4.6,-1.4,-6.1,-0.1,208,-0.570583011,-7.361154482,-7.931737493,1.36193485,1.37417253,2.73610738,-0.295464206,-6.04545193,-6.340916136,-0.183356754,-0.183356754,0.154741098,-6.389972387,-6.235231289,0.077593714,-0.87,-0.43,-0.44,0.12,-0.11,0.24
"202087","Alonzo Gee","Alonzo Gee","Alonzo Gee",4232,"alonzo-gee","geeal01","2013-14",26,"CLE","CLE",65,24,1020,"SF",0.369230769230769,-2.215778068,-0.11451859,-2.330296658,0.052833126,-2.587862075,"-2.67","-1.96","-4.63","-1.46",8.6,0.491,13.4,-0.1,1,0.9,0.041,-3.7,0.6,-3.1,-0.3,2055,-2.895136971,-2.129485945,-5.024622916,-4.049399511,-1.524700615,-5.574100126,-3.300852499,-2.111005286,-5.411857785,-1.390884227,-1.390884227,-3.294311153,-2.211826464,-5.506137617,0.390709869,-3.27,-1.29,-1.98,-2.86,-1.4,-1.46
"2405","Amar'e Stoudemire","Amar'e Stoudemire","Amar'e Stoudemire",1727,"amar'e-stoudemire","stoudam01","2013-14",31,"NYK","NY",65,21,1466,"C",0.323076923076923,-0.939175256,-1.952307177,-2.891482433,-0.399734646,-3.802768516,"-3.25","-2.16","-5.41","-2.58",18.8,0.596,23.4,2.9,0.9,3.8,0.124,0.3,-1.8,-1.6,0.2,2769,-0.511120679,0.503227803,-0.007892876,-2.318171849,-3.382024234,-5.700196084,-0.942576863,-0.238217657,-1.18079452,1.162911083,1.162911083,-0.956225982,-1.06585962,-2.022085602,-0.881044917,-2.48,-1.55,-0.93,-2.49,-1.49,-1
"101161","Amir Johnson","Amir Johnson","Amir Johnson",2769,"amir-johnson","johnsam01","2013-14",26,"TOR","TOR",77,72,2214,"PF",0.935064935064935,-0.06465348,1.155689441,1.091035961,5.276149729,-0.087228739,"1.47","3.14","4.61","9.22",15.4,0.592,16.4,3.2,3.1,6.3,0.136,-0.4,1.1,0.7,1.5,4276,-0.553576049,1.395203456,0.841627407,1.218587594,0.188784838,1.407372432,-0.250058624,1.207261579,0.957202954,4.175588296,4.175588296,-0.137400689,1.508536841,1.371136152,-0.274955267,2.34,1.51,0.84,1.75,1.32,0.43
"2760","Anderson Varejao","Anderson Varejao","Anderson Varejao",2419,"anderson-varejao","varejan01","2013-14",31,"CLE","CLE",65,29,1800,"C",0.446153846153846,0.43666135,2.597944579,3.034605929,6.669996666,4.461006266,"0.47","3.59","4.06","6.88",17,0.527,14.6,2.7,2.7,5.4,0.144,0.3,1.1,1.4,1.6,3507,0.105923531,3.421403441,3.527326972,1.807934818,3.078438331,4.886373149,0.489470779,3.59090183,4.08037261,6.245318776,6.245318776,0.614140425,2.787764922,3.401905348,-0.419306189,3.47,1.75,1.72,2.6,1.02,1.58
"101154","Andray Blatche","Andray Blatche","Andray Blatche",2746,"andray-blatche","blatcan01","2013-14",27,"BRK","BKN",73,7,1618,"PF",0.0958904109589041,0.414924727,-1.127687388,-0.712762661,1.884603653,-2.128045855,"-0.63","0.42","-0.21","2.11",18.8,0.532,25.6,1.6,2.1,3.7,0.109,0.1,-0.1,0,0.8,3178,-1.203111948,1.690247735,0.487135788,0.694101672,-1.703334214,-1.009232542,-0.865506832,1.09722597,0.231719137,2.460243002,2.460243002,-0.621351186,0.680813053,0.059461867,-0.045859835,-2.39,-2.08,-0.31,0.08,-0.81,0.89
"203083","Andre Drummond","Andre Drummond","Andre Drummond",6585,"andre-drummond","drumman01","2013-14",20,"DET","DET",81,81,2619,"C",1,0.809104163,0.644913399,1.454017562,6.850604054,-0.376511015,"0.58","-0.06","0.52","4.71",22.6,0.599,16.7,6.4,3.5,9.9,0.182,2,-0.6,1.4,2.3,5215,1.063542321,1.156970993,2.220513314,1.996864814,-3.968138508,-1.971273694,1.321477285,0.220975065,1.54245235,5.72519476,5.72519476,1.51250429,0.854177444,2.366681735,-0.174572698,1.12,-0.03,1.15,-0.43,-0.94,0.51
